0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
28.1102362205,29.4763779528,28.1692913386,27.1771653543,27.0866141732,27.9527559055,27.2244094488,26.7125984252,26.5984251969,31.6771653543,26.7283464567,26.2165354331,25.0511811024,24.5905511811,25.3503937008,24.7322834646,23.437007874,23.5787401575,26.0078740157,25.031496063,24.594488189,24.3188976378,25.4448818898,25.9212598425,25.5748031496,25.0511811024,25.2755905512,26.0236220472,24.2047244094,24.3464566929,23.8937007874,24.1732283465,25.8582677165,25.1811023622,25.4173228346,25.2834645669,25.0551181102,25.2440944882,24.437007874,23.6968503937,24.6141732283,24.5393700787,24.5393700787,23.9960629921,24.2795275591,24.0393700787,23.6496062992,23.4330708661,23.4606299213,23.9094488189,23.937007874,23.3700787402,23.9448818898,24.6732283465,24.5551181102,24.0984251969,23.9921259843,23.0866141732,22.7677165354,23.9251968504,23.937007874,22.468503937,22.9488188976,22.6692913386,23.1811023622,23.0551181102,22.4409448819
28.0275590551,29.0118110236,28.1456692913,27.6141732283,27.3464566929,27.5511811024,27.1850393701,26.9094488189,26.5157480315,31.8976377953,26.7952755906,26.0590551181,24.6299212598,25.0472440945,25.1456692913,24.7480314961,23.4960629921,22.9606299213,25.7401574803,24.8385826772,24.5039370079,24.3346456693,25.905511811,25.7244094488,25.8661417323,25.0078740157,25.3307086614,25.8897637795,24.3503937008,24.2913385827,23.9133858268,23.9842519685,26.0078740157,25.2992125984,25.4409448819,25.531496063,25.1338582677,25.3188976378,24.4803149606,23.9291338583,24.4330708661,24.4842519685,24.5472440945,24.2165354331,24.4724409449,23.7795275591,23.5511811024,23.6850393701,23.3661417323,24.0,23.8582677165,23.5,24.1496062992,24.5866141732,24.5196850394,24.0708661417,23.8307086614,23.1496062992,22.9251968504,24.0433070866,23.7992125984,22.6732283465,23.0157480315,22.5551181102,23.1456692913,23.2401574803,22.4881889764
28.0826771654,28.6181102362,27.7125984252,27.8070866142,26.905511811,27.657480315,27.157480315,26.8385826772,26.5748031496,31.9645669291,26.7559055118,26.1850393701,24.874015748,25.1850393701,25.1220472441,24.8622047244,23.5118110236,22.9881889764,25.9133858268,25.0275590551,24.625984252,24.1181102362,25.3582677165,25.5748031496,25.657480315,24.7992125984,25.4606299213,25.8464566929,24.4251968504,24.094488189,24.1062992126,23.5866141732,25.9921259843,25.2519685039,25.2086614173,25.5748031496,25.374015748,24.9763779528,24.5748031496,23.9566929134,24.6614173228,24.468503937,24.3779527559,24.1299212598,24.2401574803,23.7874015748,23.4960629921,23.7322834646,23.4881889764,23.7165354331,23.7047244094,23.0433070866,24.1417322835,24.4881889764,24.6811023622,23.905511811,23.657480315,23.2283464567,22.9448818898,23.9606299213,23.6102362205,23.0118110236,22.811023622,22.6732283465,23.4291338583,23.0590551181,22.4645669291
28.6023622047,28.031496063,27.531496063,28.1692913386,26.5118110236,27.2362204724,27.0393700787,26.9015748031,26.9251968504,31.3582677165,26.437007874,26.3622047244,24.9409448819,25.1338582677,25.2007874016,24.7952755906,23.5,22.9094488189,25.874015748,24.8897637795,24.8543307087,24.3267716535,25.437007874,25.8464566929,25.6181102362,24.6929133858,25.3543307087,26.0236220472,24.3228346457,24.2362204724,24.0590551181,23.0787401575,25.7047244094,25.0826771654,25.1456692913,25.6338582677,25.0866141732,24.8622047244,24.3779527559,23.625984252,24.5433070866,24.3188976378,24.4330708661,23.9921259843,24.2165354331,23.7755905512,23.3661417323,23.7795275591,23.7519685039,23.9212598425,23.531496063,23.0393700787,24.3188976378,24.7125984252,24.6614173228,23.7322834646,23.6929133858,23.188976378,22.8031496063,24.0472440945,23.4291338583,22.8779527559,22.9488188976,22.7755905512,23.2677165354,23.1614173228,22.5393700787
28.1102362205,28.3267716535,27.9251968504,28.1338582677,27.2204724409,27.1220472441,27.7125984252,27.1929133858,27.2047244094,30.157480315,26.2755905512,26.3661417323,25.2047244094,24.8070866142,25.3937007874,24.6456692913,23.6850393701,23.0118110236,25.7401574803,24.7874015748,24.9212598425,24.2716535433,25.6062992126,25.6968503937,25.6338582677,24.7559055118,25.4291338583,25.7795275591,24.4330708661,24.1496062992,24.125984252,23.2913385827,25.7362204724,25.188976378,25.2834645669,25.4842519685,25.2125984252,25.0039370079,24.3503937008,23.8818897638,24.4763779528,24.5669291339,24.6456692913,24.0984251969,24.3464566929,23.9842519685,23.3188976378,23.4291338583,23.6338582677,23.7362204724,23.5118110236,23.2401574803,23.842519685,24.6299212598,24.5,24.1023622047,23.8897637795,23.1102362205,22.7755905512,23.7913385827,23.4409448819,22.6692913386,22.7559055118,22.842519685,23.1496062992,23.1299212598,22.874015748
27.8464566929,28.1496062992,27.5590551181,28.3464566929,26.905511811,26.7992125984,27.2598425197,27.2007874016,28.2322834646,29.2834645669,26.6535433071,26.0,25.2952755906,24.842519685,25.0708661417,24.5708661417,23.7834645669,23.1102362205,25.6968503937,25.1220472441,24.7283464567,24.3976377953,25.5157480315,25.5866141732,25.5039370079,24.4330708661,25.3346456693,25.5984251969,24.7952755906,24.2401574803,24.3267716535,23.4527559055,25.9448818898,25.1102362205,25.5511811024,25.5511811024,25.0393700787,25.3149606299,24.4763779528,24.0669291339,24.5787401575,24.342519685,24.6102362205,24.062992126,24.4212598425,23.7480314961,23.374015748,23.5433070866,23.7716535433,23.8661417323,23.5826771654,23.5708661417,23.968503937,24.6220472441,24.5354330709,24.3267716535,24.0866141732,22.9803149606,23.0078740157,23.8976377953,23.1181102362,22.7637795276,22.9645669291,22.7165354331,23.0905511811,23.1377952756,22.3661417323
28.157480315,28.0354330709,27.3622047244,27.6220472441,27.2440944882,25.2559055118,27.1102362205,26.9488188976,27.9921259843,29.0866141732,26.374015748,26.1771653543,24.9960629921,25.1692913386,25.1811023622,24.6968503937,23.5905511811,23.5433070866,25.7480314961,25.0826771654,24.5157480315,24.1496062992,25.4645669291,25.968503937,25.5393700787,24.6377952756,25.2480314961,25.8228346457,24.7204724409,24.2362204724,24.188976378,23.6141732283,26.0157480315,25.1299212598,25.5196850394,25.7401574803,25.1850393701,25.0433070866,24.531496063,23.688976378,24.5472440945,24.2637795276,24.5590551181,24.0590551181,24.2519685039,23.7677165354,23.2559055118,23.5039370079,23.6692913386,23.8582677165,23.6811023622,23.7401574803,24.0275590551,24.562992126,25.0866141732,24.3976377953,24.0708661417,23.0826771654,22.905511811,24.0472440945,23.2952755906,22.7795275591,23.094488189,22.8031496063,22.9881889764,23.3622047244,22.5039370079
27.8307086614,27.9291338583,28.0905511811,27.4606299213,27.6377952756,25.2716535433,27.5748031496,26.8464566929,28.1338582677,28.5,26.2952755906,26.1653543307,24.9724409449,25.374015748,25.2125984252,24.5393700787,23.8582677165,23.8464566929,25.7559055118,25.1456692913,24.5236220472,24.2559055118,25.6614173228,25.7283464567,25.5511811024,24.5118110236,25.5078740157,25.8267716535,24.3897637795,24.0551181102,24.2913385827,24.0590551181,25.9527559055,25.4015748031,25.5905511811,25.5472440945,25.1535433071,25.0511811024,24.1417322835,23.9448818898,24.7244094488,24.1062992126,24.594488189,24.0905511811,24.3582677165,23.8661417323,23.4763779528,23.6692913386,23.4921259843,23.7125984252,23.8464566929,23.7952755906,24.3031496063,24.3858267717,24.9724409449,24.6496062992,24.0,23.188976378,22.9094488189,23.937007874,23.3897637795,22.8897637795,22.8897637795,23.1062992126,23.1102362205,22.9803149606,22.5236220472
28.0551181102,28.1220472441,27.8622047244,27.937007874,27.8661417323,25.3661417323,27.4133858268,26.905511811,28.2834645669,28.1141732283,26.2598425197,26.1456692913,25.1181102362,25.1023622047,25.3070866142,24.342519685,23.625984252,23.8543307087,25.7992125984,25.1141732283,24.594488189,24.2362204724,25.4212598425,25.531496063,25.4566929134,24.3976377953,25.4330708661,25.6456692913,24.4566929134,24.3385826772,24.3937007874,24.0354330709,25.6456692913,25.2716535433,25.5708661417,25.3976377953,25.0354330709,25.031496063,24.2755905512,23.9803149606,24.5196850394,24.1181102362,24.2637795276,24.1023622047,24.311023622,23.7047244094,23.4803149606,23.5708661417,23.5669291339,23.625984252,23.5826771654,23.7165354331,24.2795275591,24.7795275591,24.6771653543,24.3897637795,23.8622047244,23.1496062992,22.9212598425,23.6771653543,23.2480314961,22.9921259843,22.8070866142,22.7795275591,23.0196850394,23.0472440945,22.3976377953
27.9606299213,28.3818897638,27.7007874016,27.7952755906,27.9527559055,25.562992126,27.2440944882,26.9921259843,29.0472440945,27.5787401575,26.2519685039,25.842519685,25.2283464567,25.1377952756,25.0078740157,24.3346456693,23.6062992126,23.8779527559,26.031496063,25.1535433071,24.6062992126,24.3858267717,25.4251968504,26.0078740157,25.5354330709,24.7125984252,25.374015748,25.6535433071,24.625984252,24.2755905512,24.2165354331,24.0590551181,25.7086614173,25.2362204724,25.5039370079,25.4921259843,24.9881889764,25.0236220472,24.4881889764,23.6417322835,24.7086614173,24.311023622,24.531496063,23.8622047244,24.1811023622,23.4094488189,23.5236220472,23.5275590551,23.5236220472,23.7559055118,23.562992126,23.8543307087,24.2716535433,24.6181102362,24.5984251969,24.1811023622,24.094488189,22.8779527559,22.9251968504,23.6535433071,23.342519685,23.0551181102,22.9330708661,22.7165354331,22.9803149606,23.1496062992,22.3385826772
27.9566929134,28.5275590551,28.0787401575,27.5236220472,27.5511811024,25.6850393701,27.2559055118,27.031496063,30.1141732283,27.9488188976,26.4881889764,26.2165354331,24.9842519685,25.2086614173,24.9251968504,24.6062992126,23.5708661417,23.874015748,25.9645669291,25.0551181102,24.4173228346,24.4409448819,25.3976377953,25.7204724409,25.6102362205,25.2125984252,25.4606299213,25.8622047244,24.6929133858,24.094488189,24.3307086614,24.094488189,26.0472440945,25.3228346457,25.4566929134,25.7283464567,25.157480315,25.0118110236,24.4763779528,23.8661417323,24.5393700787,24.0905511811,24.2125984252,24.0118110236,24.1181102362,23.7677165354,23.5905511811,23.4330708661,23.3228346457,23.9842519685,23.6496062992,23.9212598425,24.1732283465,24.6732283465,24.6062992126,24.2952755906,23.9133858268,23.0590551181,22.9606299213,23.7952755906,23.4960629921,23.0708661417,22.8149606299,22.6732283465,22.9251968504,23.1850393701,22.531496063
28.311023622,29.4527559055,27.9645669291,27.1535433071,27.657480315,26.1338582677,27.4330708661,27.0866141732,31.374015748,27.4251968504,26.3503937008,26.0354330709,25.1299212598,24.9645669291,24.8346456693,24.4842519685,23.6496062992,23.8070866142,25.8858267717,25.1456692913,24.4606299213,24.1692913386,25.6220472441,25.7125984252,25.3228346457,25.4409448819,25.1771653543,25.6811023622,24.6377952756,24.2322834646,24.188976378,24.5,25.7480314961,24.9094488189,25.5472440945,25.5393700787,25.1456692913,25.1732283465,24.3700787402,23.7952755906,24.4842519685,24.2086614173,24.2559055118,24.0551181102,24.0984251969,23.7874015748,23.4488188976,23.6062992126,23.4724409449,24.125984252,23.6968503937,23.9763779528,24.0551181102,24.342519685,24.6968503937,24.6181102362,23.8385826772,22.9330708661,22.7559055118,23.7519685039,23.342519685,22.9173228346,22.8937007874,22.7559055118,22.8188976378,23.1692913386,22.531496063
27.8307086614,29.3267716535,27.3346456693,27.0669291339,27.2362204724,26.5905511811,27.2992125984,27.1023622047,32.2716535433,27.1417322835,26.1850393701,25.7992125984,25.0275590551,25.0590551181,25.0511811024,24.5354330709,23.6692913386,23.8622047244,25.9803149606,25.1850393701,24.3937007874,24.0905511811,25.3779527559,25.9291338583,25.3937007874,25.2165354331,25.3149606299,25.6102362205,24.5866141732,24.2598425197,24.0748031496,24.5984251969,25.9212598425,25.0157480315,25.8070866142,25.2125984252,25.0,24.968503937,24.2480314961,24.0905511811,24.468503937,24.1850393701,24.1535433071,23.968503937,24.0275590551,23.8149606299,23.4960629921,23.7362204724,23.468503937,23.7795275591,23.8700787402,23.7755905512,24.374015748,24.405511811,24.6732283465,24.7047244094,23.7874015748,22.8779527559,22.9212598425,23.7637795276,23.4291338583,22.8858267717,22.6496062992,22.7559055118,22.8661417323,22.8700787402,22.3700787402
27.9173228346,29.6141732283,27.2874015748,27.0866141732,27.1220472441,26.5669291339,27.0708661417,26.9291338583,31.0905511811,27.125984252,26.2047244094,25.8188976378,24.9527559055,25.157480315,24.9409448819,24.5511811024,23.6377952756,23.9527559055,25.9960629921,24.9763779528,24.2401574803,24.562992126,25.374015748,25.7125984252,25.4251968504,25.2204724409,25.4645669291,25.5039370079,24.8149606299,24.1141732283,24.1732283465,24.4133858268,25.6338582677,25.0866141732,25.9173228346,25.6377952756,25.0039370079,24.9173228346,24.3464566929,24.0433070866,24.3188976378,24.1338582677,24.1653543307,24.062992126,24.0433070866,23.7283464567,23.4842519685,23.5511811024,23.468503937,23.7795275591,23.5984251969,23.625984252,24.2401574803,24.4803149606,24.5275590551,24.5354330709,23.8700787402,22.8622047244,22.9566929134,23.937007874,23.3188976378,22.7125984252,22.7322834646,22.7401574803,23.0905511811,22.8188976378,22.4763779528
27.9842519685,28.8582677165,27.3897637795,27.3464566929,26.7992125984,26.5511811024,27.2519685039,26.6732283465,29.6181102362,27.2559055118,26.188976378,26.0472440945,25.0708661417,24.7362204724,25.0236220472,24.6850393701,23.5787401575,23.7755905512,25.9173228346,25.0,24.2401574803,24.5984251969,25.7047244094,25.6023622047,25.3543307087,24.7598425197,25.2598425197,25.9015748031,24.7677165354,24.3385826772,23.9842519685,24.5905511811,25.562992126,25.0787401575,25.968503937,25.5,25.1496062992,25.0,24.3622047244,23.8582677165,24.5669291339,24.1456692913,24.1968503937,24.2480314961,23.811023622,23.5748031496,23.5196850394,23.5196850394,23.5551181102,23.8543307087,23.4881889764,23.6692913386,24.188976378,24.6614173228,24.157480315,24.5039370079,23.657480315,22.8700787402,22.5236220472,23.7992125984,23.3503937008,22.9094488189,22.9606299213,22.7362204724,22.8700787402,22.8031496063,22.5433070866
27.5866141732,28.342519685,26.5354330709,26.905511811,25.2559055118,26.2440944882,26.8622047244,25.9960629921,30.0354330709,26.8661417323,25.5669291339,25.4724409449,24.905511811,24.4251968504,24.4724409449,24.0669291339,22.9606299213,23.0905511811,25.5039370079,24.4330708661,24.0393700787,24.0393700787,25.2834645669,25.4921259843,25.2362204724,24.8582677165,24.8070866142,24.6181102362,24.2204724409,24.2362204724,23.5866141732,24.5196850394,25.5511811024,24.8976377953,25.4803149606,25.3031496063,24.9173228346,25.0196850394,23.8779527559,23.7007874016,24.342519685,23.8818897638,23.8149606299,23.6102362205,23.6023622047,23.1968503937,23.4133858268,23.6929133858,23.3976377953,23.8779527559,23.6535433071,23.405511811,23.9409448819,24.374015748,23.968503937,24.0826771654,23.8700787402,22.4527559055,22.4921259843,23.6102362205,23.2755905512,22.811023622,22.9960629921,22.5078740157,22.6377952756,22.6850393701,22.2874015748
27.594488189,28.2362204724,25.905511811,26.5118110236,25.2716535433,25.6220472441,26.3779527559,25.9133858268,31.6771653543,26.2795275591,24.5236220472,25.3543307087,24.6102362205,24.2952755906,24.3464566929,23.4291338583,22.9881889764,23.2598425197,25.0472440945,24.531496063,23.8307086614,24.0275590551,24.905511811,24.9960629921,24.7322834646,24.625984252,24.657480315,24.3307086614,24.2047244094,23.8937007874,23.0787401575,24.0,25.5275590551,24.1653543307,25.0196850394,25.2007874016,24.3582677165,24.6653543307,23.7913385827,23.5826771654,24.2637795276,23.3464566929,23.7283464567,23.6653543307,23.2401574803,23.4173228346,23.3779527559,23.5393700787,23.0984251969,23.405511811,23.3700787402,23.5590551181,23.874015748,24.2755905512,24.0157480315,23.9251968504,23.5511811024,22.7322834646,22.6929133858,23.4291338583,22.7362204724,22.437007874,22.625984252,22.4645669291,22.4173228346,22.3937007874,21.7952755906
27.8858267717,27.842519685,26.2834645669,27.2204724409,25.3661417323,25.562992126,26.4803149606,26.0669291339,31.8976377953,26.4645669291,24.4212598425,25.4173228346,24.188976378,24.1417322835,24.4015748031,23.4094488189,22.9094488189,23.437007874,24.9448818898,24.594488189,23.874015748,23.7401574803,24.9212598425,24.8661417323,24.6496062992,24.2637795276,24.437007874,24.2047244094,24.3976377953,23.9133858268,23.2913385827,24.0472440945,25.2992125984,24.0275590551,25.2362204724,25.0866141732,24.3779527559,24.5157480315,23.9133858268,23.7795275591,24.1062992126,23.7244094488,23.9763779528,23.7204724409,23.2952755906,23.3031496063,23.2007874016,23.437007874,23.0039370079,23.3307086614,23.5,23.5118110236,23.8818897638,24.2834645669,24.1141732283,24.0984251969,23.9094488189,22.5354330709,22.6062992126,23.4409448819,22.468503937,22.6220472441,22.6771653543,22.2637795276,22.3385826772,22.3818897638,21.8700787402
