0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
28.4770114943,29.0431034483,29.0833333333,28.9367816092,29.2155172414,27.6954022989,28.341954023,28.066091954,27.1149425287,26.841954023,26.933908046,27.5718390805,28.0316091954,26.9856321839,26.8103448276,26.4827586207,26.1925287356,25.9137931034,26.2672413793,25.9195402299,25.0775862069,26.0775862069,25.3735632184,25.9022988506,25.9913793103,26.5344827586,25.3936781609,25.1551724138,24.8620689655,26.5,27.1091954023,26.5229885057,26.5229885057,25.6810344828,26.367816092,26.3304597701,26.6034482759,26.0718390805,26.7356321839,26.341954023,26.0804597701,26.6235632184,27.0373563218,26.4022988506,27.7097701149,25.8994252874,25.9655172414,25.6005747126,25.8936781609,25.2816091954,25.525862069,25.0718390805,25.1724137931
28.6293103448,28.8362068966,28.9568965517,28.6752873563,28.683908046,28.2270114943,27.9971264368,27.9798850575,27.1034482759,27.117816092,27.0431034483,27.7413793103,27.8218390805,26.974137931,26.816091954,26.6149425287,26.2643678161,26.2902298851,26.2413793103,25.908045977,25.1781609195,25.9195402299,25.4885057471,25.632183908,25.9568965517,26.4454022989,25.5086206897,25.132183908,25.2672413793,26.5862068966,26.8362068966,26.6781609195,26.6637931034,25.9482758621,26.6637931034,26.3218390805,26.5201149425,26.3333333333,26.7270114943,26.3218390805,26.1867816092,26.9885057471,27.3448275862,26.3189655172,27.6925287356,25.9971264368,26.0977011494,25.4942528736,25.591954023,25.2844827586,25.5143678161,25.2155172414,24.8390804598
28.5373563218,28.6235632184,28.8908045977,29.0517241379,28.5316091954,28.158045977,26.7931034483,28.183908046,27.0747126437,26.816091954,26.7442528736,27.6982758621,28.0086206897,26.8103448276,26.8017241379,26.3793103448,26.5545977011,26.4942528736,26.2212643678,25.9597701149,25.1091954023,25.8706896552,25.474137931,25.9597701149,25.7385057471,26.4770114943,25.6637931034,25.2614942529,25.275862069,26.5373563218,26.7873563218,26.6005747126,26.2643678161,25.8333333333,26.2672413793,26.2931034483,26.5488505747,26.3304597701,26.7298850575,26.3534482759,25.9913793103,27.0402298851,27.2816091954,26.2787356322,27.9022988506,26.1120689655,25.775862069,25.6091954023,25.8045977011,25.4281609195,25.7068965517,25.0287356322,25.0057471264
28.6867816092,28.8448275862,29.0890804598,28.9310344828,28.8908045977,28.525862069,27.0,28.2959770115,27.1695402299,26.6465517241,26.8304597701,27.7672413793,28.2212643678,26.9568965517,26.7155172414,26.3965517241,26.6005747126,26.4166666667,26.0143678161,25.9396551724,25.0632183908,25.7327586207,25.3534482759,25.8994252874,25.8275862069,26.6551724138,25.6925287356,25.0804597701,25.1954022989,26.5,26.841954023,26.5316091954,26.1206896552,25.9971264368,26.1149425287,26.3074712644,26.3247126437,26.1063218391,26.632183908,26.408045977,26.0775862069,27.1264367816,27.5373563218,26.2011494253,27.9971264368,26.0459770115,26.0488505747,25.525862069,25.3189655172,25.5287356322,25.5488505747,25.0747126437,24.9482758621
28.8218390805,28.7212643678,29.7471264368,28.6034482759,28.7126436782,28.8017241379,27.1436781609,28.0804597701,27.3563218391,26.7068965517,26.7931034483,27.7557471264,28.1666666667,26.9540229885,26.8649425287,26.4885057471,26.4913793103,26.3764367816,26.2873563218,25.8936781609,25.2155172414,25.6752873563,25.2442528736,26.0229885057,25.7327586207,26.4511494253,25.3103448276,25.2988505747,25.132183908,26.6724137931,26.9137931034,26.5143678161,26.5862068966,25.6522988506,26.132183908,26.1293103448,26.474137931,26.0402298851,26.6408045977,26.2586206897,26.3275862069,27.0172413793,27.6293103448,26.1522988506,28.0287356322,26.0373563218,25.9971264368,25.566091954,25.2672413793,25.3620689655,25.7212643678,25.0344827586,24.8620689655
28.6149425287,28.6408045977,29.867816092,28.4454022989,28.6063218391,28.9252873563,27.275862069,28.2471264368,27.382183908,26.7471264368,26.8764367816,27.9597701149,28.1034482759,26.8448275862,26.7413793103,26.1724137931,26.566091954,26.5057471264,26.2327586207,25.7959770115,25.0373563218,25.7844827586,25.3045977011,25.8620689655,25.6666666667,26.5459770115,25.4252873563,25.091954023,25.4885057471,26.6379310345,26.7528735632,26.7068965517,26.4482758621,25.7442528736,26.2787356322,26.2040229885,26.2902298851,26.1551724138,26.5028735632,26.0804597701,26.2126436782,27.1264367816,27.75,26.5086206897,27.6522988506,25.9597701149,25.9396551724,25.7787356322,25.1810344828,25.1982758621,25.5316091954,25.2270114943,24.7327586207
28.5201149425,28.9626436782,29.2614942529,28.632183908,28.4166666667,29.0545977011,27.3735632184,28.4425287356,26.7844827586,26.8074712644,27.0316091954,27.7844827586,28.0229885057,27.0948275862,26.7902298851,26.367816092,26.4655172414,26.2844827586,26.408045977,25.9310344828,25.1120689655,25.7959770115,25.4568965517,25.8908045977,25.9511494253,26.5114942529,25.3965517241,24.9137931034,25.4885057471,26.5287356322,26.5833333333,26.7126436782,26.4109195402,25.8017241379,26.2413793103,26.1925287356,26.2356321839,26.2413793103,26.5545977011,26.2126436782,26.3218390805,27.091954023,27.5775862069,26.4051724138,27.9367816092,25.8563218391,26.1379310345,25.8563218391,25.2959770115,25.3879310345,25.5833333333,25.3275862069,24.7959770115
28.6034482759,28.8103448276,29.0775862069,27.8103448276,28.1149425287,28.683908046,27.5057471264,28.3534482759,26.816091954,26.632183908,26.6925287356,27.6982758621,28.2097701149,27.025862069,26.9224137931,26.4913793103,26.4655172414,26.3275862069,26.3448275862,25.8189655172,25.1465517241,25.6235632184,25.4022988506,25.7442528736,25.632183908,26.474137931,25.6293103448,25.0488505747,25.3879310345,26.6350574713,26.5574712644,26.5775862069,26.4540229885,25.9626436782,26.2844827586,26.1091954023,26.2931034483,26.0086206897,26.5057471264,26.316091954,26.1206896552,27.2068965517,27.5747126437,26.3994252874,27.7816091954,25.8563218391,26.0747126437,25.7672413793,25.4367816092,25.3850574713,25.617816092,25.158045977,24.8936781609
28.4195402299,28.5689655172,28.7183908046,27.2586206897,28.2614942529,28.6896551724,27.9626436782,28.0,26.9051724138,26.6235632184,26.7528735632,27.5890804598,28.0517241379,26.8103448276,26.9942528736,26.2816091954,26.4482758621,26.25,26.3505747126,25.8591954023,25.1494252874,25.6925287356,25.4310344828,25.5948275862,25.6436781609,26.3879310345,25.6206896552,24.9252873563,25.4252873563,26.4195402299,26.9022988506,26.4770114943,26.2528735632,25.5402298851,26.3333333333,26.2528735632,26.1293103448,26.1551724138,26.3362068966,26.316091954,26.2385057471,27.0459770115,27.7988505747,26.5287356322,27.7298850575,26.0,26.0545977011,25.6954022989,25.4942528736,25.4224137931,25.3563218391,24.9712643678,24.7931034483
28.3965517241,29.0057471264,29.1925287356,27.6350574713,28.4252873563,28.3247126437,27.9511494253,27.7614942529,26.5287356322,26.8879310345,26.525862069,27.8591954023,27.9942528736,26.816091954,26.867816092,26.4195402299,26.4137931034,25.8908045977,26.1522988506,25.7442528736,25.0862068966,25.6379310345,25.3304597701,25.4597701149,25.7298850575,26.2873563218,25.5373563218,24.5373563218,25.2701149425,26.4281609195,26.9022988506,26.5862068966,26.3132183908,25.7672413793,26.2701149425,26.1379310345,26.2155172414,26.2643678161,26.1034482759,26.2298850575,26.0977011494,26.8477011494,27.5,26.4770114943,28.2097701149,25.8994252874,26.1034482759,25.5747126437,25.5459770115,25.382183908,25.4166666667,24.9913793103,24.9482758621
28.5431034483,28.7959770115,29.2471264368,28.1379310345,28.0114942529,28.341954023,27.8390804598,27.5459770115,26.6752873563,26.6551724138,26.632183908,27.8017241379,27.8649425287,26.8017241379,27.0632183908,26.4683908046,26.1982758621,26.0229885057,26.3333333333,25.816091954,25.1522988506,25.5545977011,25.3247126437,25.5344827586,25.6925287356,26.6867816092,25.6896551724,24.1752873563,25.0890804598,26.4597701149,27.0,26.4051724138,26.2011494253,25.6522988506,26.1925287356,26.3591954023,26.025862069,26.1752873563,25.7471264368,26.2385057471,26.2068965517,26.841954023,27.6408045977,26.3965517241,28.1465517241,26.0143678161,25.9683908046,25.5,25.1925287356,25.4310344828,25.4683908046,25.0114942529,24.8879310345
28.2931034483,28.591954023,29.1522988506,28.6896551724,27.6954022989,27.9971264368,27.6436781609,27.6120689655,26.7729885057,26.7471264368,26.5488505747,27.7614942529,27.8218390805,26.7155172414,27.0086206897,26.3591954023,25.8591954023,25.7557471264,26.3534482759,25.8477011494,24.9626436782,25.5718390805,25.0948275862,25.3477011494,25.816091954,25.4425287356,25.6206896552,24.4827586207,24.9482758621,26.4913793103,26.933908046,26.0603448276,26.3936781609,25.7471264368,26.1034482759,26.367816092,25.658045977,25.867816092,25.7327586207,25.7614942529,26.2557471264,26.7126436782,27.2844827586,26.3390804598,27.8850574713,26.183908046,26.0488505747,25.632183908,25.3247126437,25.2011494253,25.2643678161,24.9511494253,24.5948275862
28.2356321839,29.0833333333,29.0488505747,28.3304597701,28.2270114943,26.7931034483,27.1465517241,27.4798850575,26.8275862069,26.5402298851,26.1954022989,27.6724137931,27.1522988506,26.8649425287,26.7844827586,26.2729885057,25.683908046,25.3936781609,26.4540229885,25.7701149425,24.4540229885,25.2327586207,25.2614942529,25.5344827586,25.7643678161,25.1436781609,25.2126436782,24.6005747126,25.1293103448,26.2902298851,26.7212643678,26.0114942529,26.224137931,25.9971264368,25.9310344828,26.3132183908,25.8189655172,26.0488505747,25.9913793103,25.9425287356,26.1724137931,26.841954023,27.2356321839,26.1867816092,27.8505747126,26.1005747126,25.8620689655,25.5862068966,25.2614942529,25.0804597701,25.2643678161,25.0057471264,24.2643678161
28.367816092,28.9568965517,29.1034482759,28.4655172414,28.158045977,27.0,27.0948275862,27.1408045977,26.8505747126,26.6724137931,26.4540229885,27.5775862069,26.4597701149,26.7413793103,27.1005747126,26.4597701149,25.525862069,25.5086206897,26.433908046,25.7787356322,24.4224137931,25.0689655172,25.1954022989,25.5114942529,25.6465517241,25.1551724138,25.0028735632,24.8620689655,25.0948275862,25.6810344828,26.8563218391,26.1465517241,26.2126436782,25.8189655172,25.6264367816,26.3965517241,25.9597701149,26.2212643678,25.9770114943,26.0632183908,26.066091954,26.9482758621,27.4022988506,26.2586206897,28.2327586207,26.1695402299,25.3074712644,25.1637931034,25.0718390805,25.0086206897,25.1063218391,24.9597701149,24.4022988506
28.3620689655,28.8908045977,29.382183908,28.7614942529,28.525862069,27.1436781609,27.1982758621,27.5,26.9482758621,26.6637931034,26.3103448276,27.816091954,26.5603448276,26.7902298851,27.1896551724,26.5316091954,25.7068965517,25.7586206897,26.525862069,25.8735632184,24.6206896552,25.1724137931,25.275862069,25.3965517241,25.8649425287,25.183908046,25.3103448276,25.2672413793,25.0086206897,25.5143678161,26.867816092,26.2327586207,26.1867816092,25.9224137931,25.9655172414,26.4540229885,26.0459770115,26.0229885057,26.1954022989,25.9511494253,26.0804597701,27.1408045977,27.4454022989,26.5977011494,27.974137931,26.0086206897,25.0718390805,25.3275862069,25.275862069,24.9281609195,25.316091954,24.8965517241,24.5775862069
28.4310344828,29.0890804598,29.3534482759,28.8448275862,28.8017241379,27.275862069,27.6810344828,27.4770114943,27.2528735632,26.9454022989,26.8505747126,27.9195402299,26.908045977,26.9224137931,27.4798850575,26.6350574713,25.9137931034,25.9454022989,26.6954022989,26.2183908046,24.6522988506,25.3706896552,25.3936781609,25.5402298851,26.0287356322,25.3103448276,25.4856321839,25.275862069,25.1436781609,25.8390804598,27.0517241379,26.3218390805,26.4051724138,26.3189655172,25.7672413793,26.5775862069,26.183908046,26.3103448276,26.224137931,26.1781609195,26.2270114943,27.25,27.5833333333,26.7902298851,28.0172413793,26.3362068966,25.4051724138,25.7097701149,25.474137931,25.0517241379,25.7068965517,25.0229885057,24.7787356322
28.8965517241,29.7471264368,29.9913793103,29.1896551724,28.9252873563,27.3735632184,27.7011494253,27.5804597701,27.5689655172,27.0977011494,27.2959770115,27.9712643678,26.8132183908,26.9942528736,27.7097701149,27.0287356322,26.2902298851,25.9109195402,27.0402298851,26.132183908,24.7701149425,25.3448275862,25.4022988506,26.066091954,25.9166666667,25.3936781609,25.6666666667,25.1954022989,25.6637931034,26.0201149425,27.3304597701,26.5948275862,26.7586206897,26.6522988506,25.7528735632,26.6264367816,26.4454022989,26.1264367816,26.4224137931,26.1982758621,26.1379310345,27.5114942529,27.6609195402,26.9942528736,28.3333333333,26.4109195402,25.7155172414,25.8390804598,25.4511494253,25.2643678161,25.683908046,25.158045977,24.9022988506
28.7902298851,29.867816092,30.1264367816,29.0775862069,29.0545977011,27.5057471264,27.8649425287,27.75,27.5517241379,27.1695402299,27.5057471264,27.2988505747,27.1810344828,26.867816092,27.6206896552,27.0574712644,26.4942528736,26.3448275862,26.9195402299,26.2988505747,25.1954022989,25.4798850575,25.6091954023,26.2385057471,25.9770114943,25.5086206897,25.4281609195,25.132183908,25.841954023,26.0977011494,27.4568965517,26.8304597701,26.9568965517,26.6867816092,25.8017241379,26.8965517241,26.066091954,26.3706896552,26.5057471264,26.1120689655,26.2586206897,27.4770114943,28.0862068966,27.1436781609,28.025862069,26.7557471264,25.6005747126,25.8275862069,25.6609195402,25.4655172414,25.8103448276,25.3649425287,24.9022988506
28.8304597701,29.2614942529,30.2528735632,29.2155172414,28.683908046,27.9626436782,27.75,27.8132183908,27.3965517241,27.1522988506,27.4798850575,27.0632183908,27.1465517241,27.0632183908,27.9511494253,27.0028735632,26.4166666667,26.6465517241,26.8735632184,26.3879310345,25.4540229885,25.5114942529,25.6091954023,26.0689655172,25.8936781609,25.6637931034,25.5948275862,25.4885057471,25.5028735632,26.2614942529,27.0574712644,26.8563218391,26.9655172414,26.6637931034,26.025862069,26.8620689655,26.1350574713,26.382183908,26.3620689655,26.4971264368,26.474137931,27.525862069,28.1293103448,27.1120689655,28.8132183908,26.5574712644,25.4942528736,25.7356321839,25.4597701149,25.3275862069,25.4109195402,25.3591954023,24.7844827586
29.0431034483,29.0775862069,29.6954022989,28.683908046,28.6896551724,27.9511494253,27.7528735632,27.4942528736,27.6264367816,27.158045977,27.1781609195,27.1896551724,27.1293103448,27.0086206897,27.8505747126,26.7155172414,26.3764367816,26.4454022989,26.8965517241,26.3735632184,25.3390804598,25.4022988506,25.5402298851,26.0488505747,25.8879310345,25.6925287356,25.4568965517,25.4885057471,25.6063218391,26.1551724138,26.5632183908,26.8247126437,27.0143678161,26.5287356322,25.8448275862,26.7959770115,26.091954023,26.3649425287,26.525862069,26.5172413793,26.591954023,27.091954023,27.9482758621,27.2413793103,28.7183908046,26.3649425287,25.6091954023,25.7672413793,25.5229885057,25.6637931034,25.4109195402,25.2442528736,24.8045977011
28.8362068966,28.7183908046,29.3706896552,28.5316091954,28.3247126437,27.8390804598,27.9137931034,27.4195402299,27.7097701149,27.3591954023,27.0143678161,27.3764367816,27.1724137931,26.7844827586,27.433908046,26.8189655172,26.5057471264,26.25,26.7988505747,26.132183908,25.4051724138,25.6551724138,25.474137931,25.6896551724,26.2931034483,25.3103448276,25.7126436782,25.3879310345,25.4568965517,26.2068965517,26.7442528736,26.7385057471,26.933908046,26.2097701149,25.8706896552,26.8017241379,26.0603448276,26.2270114943,26.6408045977,26.6982758621,26.2902298851,27.4367816092,28.1120689655,27.2614942529,28.7471264368,26.3764367816,25.525862069,25.8074712644,25.4683908046,25.5201149425,25.382183908,25.2528735632,24.9281609195
28.6235632184,29.1925287356,29.25,28.8908045977,28.341954023,27.6436781609,27.8017241379,27.632183908,27.5574712644,27.1954022989,27.2442528736,27.8074712644,27.1494252874,27.1005747126,27.908045977,26.6724137931,26.2844827586,26.5086206897,26.908045977,26.1752873563,25.3965517241,25.7183908046,25.4022988506,25.7011494253,26.183908046,25.4252873563,25.6120689655,25.4252873563,25.2528735632,26.1551724138,26.8362068966,26.8333333333,26.9022988506,26.4885057471,25.8218390805,26.7270114943,26.2183908046,26.0862068966,26.4913793103,26.4885057471,26.5545977011,27.4310344828,28.0775862069,26.9712643678,29.0316091954,26.4655172414,25.566091954,25.9425287356,25.5488505747,25.5143678161,25.5229885057,25.316091954,24.7787356322
28.8448275862,29.2471264368,29.0114942529,28.7126436782,27.9971264368,27.1465517241,27.8563218391,27.6551724138,27.5316091954,27.1810344828,27.4511494253,27.8074712644,27.2787356322,27.1896551724,27.5804597701,27.0545977011,26.3275862069,26.1867816092,26.9942528736,26.3218390805,25.3247126437,25.5,25.4051724138,25.5114942529,26.1982758621,25.3965517241,25.4856321839,25.2701149425,25.3074712644,26.3649425287,27.2126436782,26.5545977011,26.7356321839,26.5229885057,25.7873563218,26.8017241379,26.1494252874,26.1465517241,26.4798850575,26.3965517241,26.3132183908,27.1235632184,27.8390804598,27.2528735632,29.2643678161,26.4425287356,25.7787356322,25.6149425287,25.6724137931,25.367816092,25.7816091954,25.1724137931,24.816091954
28.7212643678,29.1522988506,29.1005747126,28.6063218391,26.7931034483,27.0948275862,27.908045977,27.6408045977,27.3074712644,27.158045977,27.2356321839,27.9913793103,27.1522988506,27.4798850575,27.3563218391,26.933908046,26.25,26.0833333333,26.7040229885,26.408045977,25.2701149425,25.5143678161,25.474137931,25.2988505747,26.3275862069,25.6293103448,25.5632183908,25.0890804598,25.2614942529,26.2643678161,26.9597701149,26.6609195402,26.9281609195,26.4971264368,25.7959770115,26.6120689655,26.0545977011,26.2614942529,26.4482758621,26.4655172414,26.3218390805,27.1551724138,28.0488505747,27.2471264368,29.3132183908,26.6091954023,25.8563218391,25.841954023,25.4281609195,25.2586206897,25.867816092,25.3936781609,24.7356321839
28.6408045977,29.0488505747,29.2385057471,28.4166666667,27.0,27.1982758621,27.7873563218,27.3764367816,27.1954022989,27.4281609195,27.2844827586,28.3362068966,27.0862068966,27.7097701149,27.7471264368,26.683908046,25.8908045977,26.2471264368,26.7988505747,26.2528735632,25.4022988506,25.6264367816,25.3936781609,25.3908045977,26.316091954,25.6206896552,25.5948275862,24.9482758621,25.2701149425,26.2873563218,26.9137931034,26.7471264368,26.9540229885,26.5229885057,25.6666666667,26.5948275862,26.0201149425,26.3362068966,26.4281609195,26.6379310345,26.3045977011,27.3132183908,27.7471264368,27.117816092,28.7672413793,26.7155172414,25.7672413793,25.8620689655,25.4798850575,25.6091954023,25.9367816092,25.3304597701,24.6436781609
28.9626436782,29.1034482759,29.0028735632,28.1149425287,27.1436781609,27.6810344828,27.7701149425,27.4971264368,27.5603448276,27.341954023,27.0459770115,28.25,27.2701149425,27.6206896552,27.6408045977,26.8735632184,26.0229885057,26.3764367816,26.7701149425,26.4224137931,25.3132183908,25.5718390805,25.1781609195,25.7787356322,26.3304597701,25.5373563218,25.6752873563,25.1293103448,25.224137931,26.1637931034,26.882183908,26.5373563218,27.1120689655,26.5488505747,25.775862069,26.9482758621,26.0689655172,26.275862069,26.4281609195,26.5373563218,26.2959770115,27.3218390805,28.0,27.4195402299,28.75,26.724137931,25.6954022989,25.6551724138,25.4137931034,25.5603448276,25.5459770115,25.3132183908,24.8735632184
28.8103448276,29.382183908,29.4942528736,28.2614942529,27.275862069,27.7011494253,27.6666666667,27.9425287356,27.4482758621,27.158045977,27.1005747126,27.9568965517,27.2068965517,27.9511494253,27.2643678161,26.5804597701,25.7557471264,26.4022988506,26.841954023,26.4310344828,24.683908046,25.5632183908,25.4885057471,26.0,26.316091954,25.6896551724,25.6149425287,25.0948275862,25.2672413793,26.2787356322,27.275862069,26.7068965517,27.0316091954,26.6465517241,25.6781609195,26.6896551724,25.9367816092,26.2729885057,26.3362068966,26.3362068966,26.1494252874,27.5804597701,28.0517241379,27.3505747126,29.6896551724,26.6235632184,25.5747126437,25.8505747126,25.275862069,25.4770114943,25.7586206897,25.2356321839,24.724137931
28.5689655172,29.3534482759,29.3333333333,28.4252873563,27.3735632184,27.8649425287,27.7701149425,27.4798850575,27.4770114943,27.275862069,27.316091954,28.1752873563,27.2931034483,27.8505747126,27.6494252874,26.2586206897,25.3936781609,26.2356321839,27.0172413793,26.4109195402,24.8304597701,25.3563218391,25.4511494253,25.8390804598,26.5028735632,25.6206896552,25.6350574713,25.0086206897,25.1925287356,26.6264367816,27.224137931,26.566091954,26.7988505747,26.3936781609,25.775862069,27.1465517241,26.0316091954,26.1264367816,26.5057471264,26.1091954023,26.3793103448,27.0373563218,28.0517241379,27.5143678161,30.066091954,26.4827586207,25.5,25.8534482759,25.4482758621,25.4454022989,25.6752873563,25.2097701149,24.6724137931
29.0057471264,29.9913793103,29.5172413793,28.0114942529,27.5057471264,27.75,27.9109195402,27.566091954,27.3850574713,27.2385057471,27.3477011494,28.5689655172,27.5201149425,27.433908046,27.6091954023,26.382183908,25.5086206897,26.2988505747,27.0373563218,26.4655172414,25.0028735632,25.4942528736,25.6494252874,25.8103448276,26.5,25.2126436782,25.5890804598,25.1436781609,25.2816091954,26.5459770115,27.0,26.5574712644,26.882183908,26.9022988506,26.0718390805,26.9798850575,26.2327586207,26.3103448276,26.341954023,26.0488505747,26.4109195402,27.3448275862,27.8994252874,27.7413793103,30.5344827586,26.5545977011,25.632183908,25.4971264368,25.25,25.3620689655,25.9827586207,25.2844827586,24.7011494253
28.7959770115,30.1264367816,29.0804597701,27.6954022989,27.9626436782,27.7528735632,27.7212643678,27.433908046,27.5028735632,27.2988505747,27.2040229885,28.6235632184,27.0373563218,27.908045977,27.3850574713,26.275862069,25.7586206897,26.3936781609,26.8793103448,26.5201149425,25.0862068966,25.4885057471,25.3534482759,25.775862069,26.7183908046,25.0028735632,25.8132183908,25.6637931034,24.8333333333,26.2902298851,27.3965517241,26.6494252874,27.1264367816,26.6350574713,25.8017241379,27.0632183908,26.0,26.2844827586,26.4051724138,26.025862069,26.341954023,27.2816091954,27.882183908,27.7068965517,31.0287356322,26.5517241379,25.5862068966,25.6695402299,25.2471264368,25.6408045977,25.8045977011,25.408045977,24.8448275862
