0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
15.8404384896,16.1169305725,16.2399512789,16.2484774665,16.2911084044,16.2119366626,16.065773447,16.1607795371,16.1425091352,15.8246041413,16.3739342266,16.2253349574,16.6772228989,15.9841656516,16.0730816078,16.227771011,15.6552984166,15.5261875761,16.1339829476,15.802679659,15.7174177832,15.8014616322,15.7929354446,15.7685749086,15.8879415347,16.2362971985,15.6382460414,15.5554202192,15.2728380024,15.7356881851,16.6772228989,16.0755176614,15.8842874543,15.580998782,15.7503045067,15.8660170524,16.0901339829,15.7612667479,15.8112058465,15.9147381242,15.7454323995,15.3617539586,15.5408038977,15.6881851401,15.9074299635,15.3848964677,15.4725943971,15.3580998782,15.646772229,15.4823386114,15.7405602923,15.3970767357,15.4482338611
15.8112058465,16.1303288672,16.2484774665,16.1510353228,16.3032886724,16.4019488429,16.1035322777,16.1546894032,16.1875761267,15.8635809988,16.3142509135,16.2850182704,16.6516443362,16.1425091352,16.0730816078,16.1632155907,15.7868453106,15.6211936663,16.1266747868,15.8282582217,15.8051157125,15.7758830694,15.7612667479,15.640682095,15.9512789281,16.15590743,15.7673568819,15.503045067,15.5347137637,15.8221680877,16.6004872107,16.1169305725,15.9257003654,15.7685749086,15.8477466504,15.7393422655,15.9500609013,15.8051157125,15.862362972,15.8757612667,15.7990255786,15.4872107186,15.6820950061,15.658952497,15.9208282582,15.4165651644,15.5261875761,15.3227771011,15.6077953715,15.4835566382,15.7551766139,15.4616321559,15.4409257004
15.8526187576,16.0548112058,16.2046285018,16.1790499391,16.1656516443,16.3398294762,15.8002436054,16.1120584653,16.1388550548,15.9147381242,16.149817296,16.3861144945,16.7734470158,16.077953715,16.0767356882,16.1388550548,15.8769792935,15.7490864799,16.197320341,15.7539585871,15.7417783191,15.7941534714,15.6711327649,15.8075517661,15.8587088916,16.1729598051,15.8197320341,15.5347137637,15.5712545676,15.9074299635,16.5176613886,16.0085261876,15.8830694275,15.6516443362,15.7710109622,15.8221680877,15.915956151,15.6760048721,15.8867235079,15.9293544458,15.8099878197,15.5651644336,15.6626065773,15.6869671133,16.0267965895,15.4701583435,15.4762484775,15.4323995128,15.6601705238,15.4604141291,15.7758830694,15.3946406821,15.4409257004
15.8855054811,16.0414129111,16.2777101096,16.2545676005,16.1863580999,16.2387332521,16.0401948843,16.0974421437,16.1449451888,15.8477466504,16.0828258222,16.3325213155,16.7563946407,16.0267965895,16.0791717418,16.1546894032,15.8002436054,15.7807551766,16.1108404385,15.724725944,15.6747868453,15.8063337393,15.6699147381,15.7807551766,15.8282582217,16.1729598051,15.7539585871,15.6236297199,15.5298416565,15.8099878197,16.4628501827,15.9451887942,15.7929354446,15.7454323995,15.6090133983,15.7466504263,15.9829476248,15.6747868453,15.790499391,15.9476248477,15.7381242387,15.6784409257,15.7478684531,15.580998782,16.1766138855,15.3507917174,15.6138855055,15.371498173,15.509135201,15.496954933,15.6017052375,15.412911084,15.371498173
15.8453105968,16.1047503045,16.6053593179,16.2387332521,16.1936662607,16.2947624848,16.3495736906,15.9841656516,16.1778319123,15.8306942753,16.1839220463,16.3398294762,16.8148599269,16.1827040195,16.0694275274,16.0389768575,15.862362972,15.7356881851,16.1449451888,15.7235079172,15.7442143727,15.7503045067,15.6881851401,15.7710109622,15.8112058465,16.197320341,15.7088915956,15.6236297199,15.6138855055,15.8282582217,16.5042630938,15.9695493301,15.8538367844,15.5992691839,15.6333739342,15.7137637028,15.9756394641,15.7990255786,15.790499391,15.9658952497,15.7661388551,15.6991473812,15.5919610231,15.6187576127,16.3361753959,15.4141291108,15.5639464068,15.3641900122,15.4677222899,15.3191230207,15.7649208283,15.3812423873,15.3081607795
15.8367844093,16.084043849,16.7515225335,16.1887941535,16.0475030451,16.2643118149,16.5992691839,16.0024360536,16.4567600487,15.8696711328,16.1522533496,16.3093788063,16.6601705238,16.0755176614,16.1035322777,16.0341047503,15.8781973203,15.6954933009,16.0682095006,15.7539585871,15.7442143727,15.7819732034,15.7320341048,15.8148599269,15.8989037759,16.1827040195,15.71863581,15.5310596833,15.706455542,15.7515225335,16.4993909866,16.0548112058,15.9196102314,15.5420219245,15.6272838002,15.7990255786,15.8258221681,15.7344701583,15.7454323995,15.7953714982,15.7210718636,15.7259439708,15.5554202192,15.6419001218,16.1924482339,15.3690621194,15.5054811206,15.4007308161,15.4774665043,15.3885505481,15.6906211937,15.4287454324,15.3995127893
15.8294762485,16.0499390987,16.5956151035,16.1230207065,16.1485992692,16.3422655298,16.5200974421,16.1485992692,15.9841656516,16.0219244823,16.1473812424,16.3812423873,16.6163215591,16.1291108404,16.12545676,16.0109622412,15.772228989,15.7381242387,16.1814859927,15.8075517661,15.6808769793,15.8099878197,15.7101096224,15.7344701583,15.9610231425,16.1144945189,15.6565164434,15.5298416565,15.646772229,15.790499391,16.4360535932,16.1120584653,15.9439707674,15.6138855055,15.5822168088,15.7734470158,15.8708891596,15.7892813642,15.8294762485,15.8769792935,15.7490864799,15.5858708892,15.7052375152,15.6601705238,16.2521315469,15.4116930572,15.5919610231,15.5383678441,15.5164433618,15.3447015834,15.7369062119,15.5286236297,15.353227771
15.8038976857,16.1619975639,16.4567600487,16.0267965895,16.0341047503,16.2399512789,16.3398294762,16.077953715,15.84409257,15.9573690621,16.0414129111,16.3154689403,16.6784409257,16.1875761267,16.0609013398,15.940316687,15.7807551766,15.7503045067,16.1717417783,15.8514007308,15.7697929354,15.7174177832,15.5858708892,15.6784409257,15.7637028015,16.1814859927,15.6674786845,15.6017052375,15.7673568819,15.8258221681,16.3568818514,16.0182704019,15.8806333739,15.646772229,15.6309378806,15.8087697929,15.9123020706,15.7685749086,15.784409257,15.8599269184,15.7320341048,15.5493300853,15.7563946407,15.5700365408,16.1924482339,15.4506699147,15.6419001218,15.4421437272,15.5615103532,15.4811205847,15.7673568819,15.4360535932,15.3386114495
15.8721071864,16.0901339829,16.2655298417,15.9378806334,16.0,16.2570036541,16.3641900122,16.0706455542,15.8696711328,15.9305724726,16.2314250914,16.3739342266,16.6236297199,16.0730816078,16.269183922,15.9451887942,15.8392204629,15.6358099878,16.1656516443,15.9183922046,15.6894031669,15.8404384896,15.6138855055,15.7393422655,15.7795371498,16.1863580999,15.7405602923,15.4738124239,15.7795371498,15.7710109622,16.4323995128,15.9500609013,15.8830694275,15.574908648,15.6601705238,15.8380024361,15.8891595615,15.7612667479,15.7356881851,15.8647990256,15.8367844093,15.509135201,15.7771010962,15.7417783191,16.1948842875,15.4957369062,15.6260657734,15.3848964677,15.515225335,15.5493300853,15.6942752741,15.3105968331,15.3836784409
15.8002436054,16.1510353228,16.2484774665,16.065773447,16.1035322777,16.1510353228,16.2046285018,15.9853836784,15.8465286236,16.0267965895,16.0280146163,16.3739342266,16.6954933009,16.0730816078,16.2168087698,15.993909866,15.7235079172,15.6065773447,16.1132764921,15.9110840438,15.640682095,15.8233861145,15.6516443362,15.6699147381,15.9622411693,16.1278928136,15.7478684531,15.2594397077,15.6394640682,15.7210718636,16.3678440926,15.9074299635,15.9293544458,15.6211936663,15.6163215591,15.8136419001,15.8112058465,15.71863581,15.7235079172,15.8282582217,15.7600487211,15.5213154689,15.6175395859,15.7149817296,16.2289890378,15.5359317905,15.5883069428,15.3727161998,15.5018270402,15.4628501827,15.6991473812,15.4007308161,15.4056029233
