0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
23.3607142857,23.9357142857,24.1678571429,24.1214285714,24.3964285714,23.7035714286,23.7357142857,23.8035714286,23.9214285714,23.6928571429,24.2285714286,24.1392857143,24.3428571429,23.6071428571,23.675,23.8857142857,23.15,22.8607142857,23.7035714286,22.9107142857,22.5392857143,23.1285714286,22.7464285714,23.0071428571,23.2714285714,23.5964285714,22.5678571429,22.4607142857,22.175,23.1607142857,23.9892857143,23.075,23.0571428571,22.7892857143,23.0964285714,23.0035714286,23.6,22.8035714286,23.5535714286,23.1321428571,22.8321428571,22.4285714286,22.5107142857,22.7,23.2678571429,22.4214285714,22.5392857143,22.175,22.6857142857,22.1892857143,22.3964285714,22.3,22.4
23.5142857143,23.7571428571,23.9357142857,24.0,24.0071428571,24.425,23.4607142857,23.7142857143,23.925,23.925,24.225,24.1464285714,24.4,23.6571428571,23.8392857143,24.1571428571,23.2464285714,23.0785714286,23.6642857143,23.0071428571,22.6857142857,23.025,22.8035714286,22.7535714286,23.1678571429,23.4428571429,22.7178571429,22.475,22.5857142857,23.2107142857,23.6607142857,23.1928571429,23.2035714286,22.8714285714,23.4464285714,23.1107142857,23.4107142857,23.0214285714,23.5535714286,23.1285714286,22.8107142857,22.6178571429,22.7392857143,22.4285714286,23.3178571429,22.5857142857,22.5892857143,22.1571428571,22.4107142857,22.1607142857,22.4714285714,22.3428571429,22.1821428571
23.4,23.5464285714,24.1,24.2535714286,23.8321428571,23.9821428571,22.7285714286,23.7535714286,23.8535714286,23.7,23.8785714286,24.0964285714,24.8714285714,23.6071428571,23.6571428571,23.7214285714,23.3964285714,23.475,23.6535714286,22.9142857143,22.6607142857,23.0357142857,22.8214285714,22.9571428571,22.9714285714,23.5928571429,22.8071428571,22.6214285714,22.65,23.2178571429,23.7035714286,23.1107142857,22.9678571429,22.7857142857,23.1392857143,23.0678571429,23.6678571429,23.05,23.6678571429,23.1892857143,22.7357142857,22.6392857143,22.5464285714,22.6178571429,23.6178571429,22.5464285714,22.5607142857,22.25,22.4214285714,22.1714285714,22.6892857143,22.2357142857,22.2428571429
23.4178571429,23.8285714286,24.2714285714,24.2392857143,24.0535714286,24.0071428571,23.4714285714,23.75,23.975,23.6,23.7928571429,23.9357142857,24.9035714286,23.7428571429,23.6107142857,23.7321428571,23.5892857143,23.3714285714,23.45,22.9107142857,22.6357142857,22.9535714286,22.8571428571,22.9357142857,22.9821428571,23.6928571429,22.8357142857,22.4071428571,22.4821428571,23.1857142857,23.7357142857,23.1178571429,22.8214285714,23.0,23.0178571429,23.0464285714,23.3964285714,22.8678571429,23.5285714286,23.3,22.6857142857,22.7535714286,22.8285714286,22.3714285714,23.7678571429,22.6357142857,22.5964285714,22.0928571429,22.0607142857,22.4071428571,22.425,22.1642857143,22.2428571429
23.5928571429,23.6214285714,24.7321428571,23.9964285714,23.8321428571,24.2714285714,23.9821428571,23.4964285714,24.2071428571,23.6571428571,23.7964285714,24.1392857143,24.6392857143,23.7642857143,23.9535714286,23.8392857143,23.4321428571,23.2678571429,23.6714285714,23.0321428571,22.8142857143,22.9321428571,22.6607142857,23.1,22.8714285714,23.5642857143,22.5571428571,22.5321428571,22.425,23.4,23.8428571429,23.1964285714,23.1464285714,22.6107142857,22.9285714286,22.8964285714,23.4035714286,22.7964285714,23.4857142857,23.1464285714,22.875,22.6357142857,22.8428571429,22.3642857143,23.9107142857,22.45,22.5571428571,22.2428571429,22.1392857143,22.1642857143,22.6892857143,22.1535714286,22.1285714286
23.425,23.6357142857,25.0071428571,23.8571428571,23.825,24.2285714286,24.5928571429,23.7821428571,24.1428571429,23.9357142857,23.7107142857,24.3678571429,24.4214285714,23.6821428571,23.5857142857,23.6071428571,23.4714285714,23.4428571429,23.6821428571,22.9464285714,22.8035714286,22.9214285714,22.7142857143,22.9285714286,22.8392857143,23.5214285714,22.5428571429,22.4178571429,22.7392857143,23.3678571429,23.6607142857,23.2928571429,23.1464285714,22.775,22.8464285714,23.0571428571,23.2607142857,22.8464285714,23.3071428571,22.85,22.8964285714,22.7142857143,22.9071428571,22.6357142857,23.6571428571,22.5714285714,22.4964285714,22.425,21.9571428571,22.1392857143,22.4714285714,22.2642857143,22.0107142857
23.375,23.7964285714,24.55,24.0071428571,23.6678571429,24.3535714286,24.1892857143,23.775,23.5071428571,23.7964285714,23.8607142857,24.2392857143,24.4464285714,23.9714285714,23.7821428571,23.5535714286,23.4321428571,23.3035714286,23.8714285714,23.0821428571,22.7107142857,23.025,22.725,22.825,23.1357142857,23.6107142857,22.6107142857,22.3285714286,22.8178571429,23.2785714286,23.5035714286,23.2535714286,22.95,22.6821428571,22.9642857143,23.0785714286,23.2785714286,23.0642857143,23.4357142857,22.9464285714,23.0,22.6571428571,22.7964285714,22.5321428571,24.0285714286,22.4821428571,22.7464285714,22.5178571429,21.9892857143,22.0357142857,22.5607142857,22.425,22.1
23.5535714286,23.6714285714,24.1714285714,23.3071428571,23.4321428571,24.0321428571,24.0892857143,23.7821428571,23.4428571429,23.5285714286,23.6964285714,24.1,24.7464285714,23.7892857143,23.8857142857,23.6142857143,23.3428571429,23.2,23.7071428571,22.9428571429,22.5535714286,22.8535714286,22.7285714286,22.8857142857,22.9142857143,23.6,22.7821428571,22.3535714286,22.6964285714,23.3178571429,23.5571428571,23.1178571429,23.0357142857,22.9535714286,23.0285714286,22.9214285714,23.2035714286,22.7857142857,23.35,23.0928571429,22.8357142857,22.7678571429,22.7857142857,22.4964285714,23.8035714286,22.4607142857,22.6607142857,22.3428571429,22.1357142857,22.1428571429,22.4928571429,22.1392857143,22.1785714286
23.425,23.7142857143,23.8357142857,23.1678571429,23.45,24.0821428571,24.0857142857,23.525,23.625,23.7928571429,23.8535714286,24.1214285714,24.6214285714,23.675,23.9107142857,23.3821428571,23.3607142857,23.15,23.6214285714,23.0,22.5678571429,22.8285714286,22.9214285714,22.6571428571,22.7428571429,23.5142857143,22.7,22.2,22.8142857143,23.0821428571,23.7857142857,23.05,22.9642857143,22.5,23.0321428571,23.0607142857,23.1214285714,22.7107142857,23.1964285714,23.1714285714,22.8642857143,22.6678571429,22.9571428571,22.625,23.8142857143,22.6,22.5428571429,22.1357142857,22.1428571429,22.2,22.3321428571,21.9964285714,22.1178571429
23.3392857143,23.9428571429,24.0714285714,23.8392857143,23.6,23.7464285714,24.0035714286,23.3535714286,23.2357142857,24.0821428571,23.5035714286,24.425,24.4285714286,23.8392857143,23.6857142857,23.4035714286,23.2821428571,22.8214285714,23.4071428571,22.8857142857,22.6464285714,22.7142857143,22.7464285714,22.5928571429,22.9714285714,23.4928571429,22.5107142857,21.9142857143,22.7642857143,23.0428571429,23.7464285714,23.0571428571,22.9964285714,22.7035714286,23.0035714286,22.9214285714,23.1964285714,22.8357142857,22.9678571429,23.1178571429,22.7178571429,22.4607142857,22.6464285714,22.5857142857,24.0857142857,22.5107142857,22.6321428571,22.2678571429,22.3607142857,22.25,22.2857142857,22.0428571429,22.0821428571
