0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154
21.4842519685,21.1771653543,20.562992126,20.3346456693,23.4566929134,20.437007874,22.4724409449,21.7125984252,21.6102362205,21.5826771654,24.2165354331,24.1692913386,23.5196850394,23.1062992126,24.2716535433,22.5118110236,22.7913385827,24.1732283465,23.1496062992,24.1141732283,24.1968503937,23.7795275591,24.1023622047,23.5157480315,23.1771653543,23.7795275591,23.7559055118,23.1850393701,23.1062992126,22.9960629921,22.7362204724,22.8346456693,23.0984251969,24.0472440945,23.6338582677,23.7047244094,23.6968503937,23.7795275591,23.6141732283,23.6338582677,23.8188976378,23.7204724409,23.157480315,22.9409448819,22.7992125984,23.0039370079,22.9212598425,23.157480315,24.8976377953,23.2874015748,22.125984252,22.5118110236,23.125984252,23.2244094488,23.1614173228,22.2283464567,22.7440944882,22.5787401575,22.6692913386,22.8976377953,23.6102362205,23.4488188976,23.562992126,22.8661417323,23.3031496063,24.1141732283,23.2440944882,22.9448818898,22.9409448819,23.3385826772,23.1771653543,22.9291338583,22.6692913386,22.4488188976,23.188976378,23.2559055118,22.3779527559,22.7440944882,22.437007874,22.3464566929,22.2795275591,21.9212598425,22.5118110236,22.3818897638,22.3464566929,21.7559055118,21.6417322835,22.5472440945,21.531496063,22.2440944882,22.8307086614,22.3543307087,22.7755905512,22.9921259843,22.7047244094,21.9330708661,22.688976378,22.5236220472,22.7086614173,22.7874015748,22.3622047244,21.8503937008,21.8779527559,22.3582677165,22.2716535433,22.0551181102,22.1417322835,22.1496062992,22.6377952756,21.7165354331,22.7086614173,22.4842519685,22.0511811024,22.2125984252,21.9133858268,22.4606299213,22.2362204724,21.6220472441,21.7086614173,21.5748031496,21.1850393701,20.7125984252,21.0039370079,21.9921259843,22.1377952756,22.2559055118,22.6653543307,22.2047244094,22.8346456693,22.4094488189,22.0905511811,21.2716535433,21.7795275591,22.1496062992,22.3858267717,21.7677165354,22.0157480315,21.9488188976,22.5236220472,22.0826771654,22.1181102362,22.1496062992,21.0196850394,22.2637795276,21.7795275591,21.1456692913,21.7834645669,21.7086614173,21.8779527559,21.7755905512,21.8464566929,21.5078740157,21.4488188976,21.3031496063,20.8622047244
21.4527559055,21.4409448819,20.6929133858,20.6456692913,23.437007874,20.2755905512,22.5196850394,21.8622047244,21.562992126,21.2834645669,24.5196850394,24.2440944882,23.5118110236,23.1496062992,24.125984252,22.4763779528,22.8228346457,24.0551181102,23.2125984252,24.2165354331,24.1456692913,23.811023622,23.8503937008,23.4921259843,22.8661417323,23.6732283465,23.8582677165,23.2007874016,23.1417322835,23.0157480315,22.7559055118,22.8700787402,23.1614173228,24.0039370079,23.5078740157,23.7086614173,23.6062992126,23.9173228346,23.5433070866,23.7519685039,23.8307086614,23.7047244094,23.1377952756,23.1141732283,22.9133858268,23.0905511811,22.9724409449,23.094488189,25.0866141732,22.937007874,22.0275590551,22.7440944882,23.1456692913,22.905511811,23.1220472441,22.4212598425,22.5275590551,22.531496063,22.811023622,22.8543307087,23.5708661417,23.5354330709,23.6811023622,23.0787401575,23.4251968504,23.8346456693,23.1732283465,22.7795275591,22.9763779528,23.1181102362,23.3267716535,23.1062992126,22.6456692913,22.6535433071,22.8346456693,23.2204724409,22.437007874,22.7559055118,22.4763779528,22.4015748031,22.5472440945,22.1732283465,22.4763779528,22.2283464567,22.6377952756,21.8267716535,21.7165354331,22.2322834646,21.657480315,22.3503937008,22.8228346457,22.5984251969,22.8070866142,23.0866141732,22.5866141732,22.1692913386,22.625984252,22.6496062992,22.8779527559,22.5157480315,22.1929133858,21.9409448819,21.8779527559,22.1141732283,22.311023622,22.2834645669,22.2677165354,22.157480315,22.5275590551,21.6220472441,22.6850393701,22.4645669291,22.1614173228,22.311023622,21.8188976378,22.4212598425,22.1496062992,21.8503937008,21.7677165354,21.6181102362,21.1771653543,20.968503937,20.7401574803,22.0078740157,22.1062992126,22.1850393701,22.6614173228,22.3503937008,23.0157480315,22.2125984252,22.0157480315,21.1102362205,21.937007874,22.0669291339,22.4251968504,21.657480315,22.0433070866,21.9094488189,22.6614173228,21.9763779528,22.0511811024,22.1023622047,20.9133858268,22.4330708661,21.625984252,21.2362204724,21.811023622,21.8070866142,21.7007874016,21.7401574803,21.9015748031,21.3897637795,21.1338582677,21.2559055118,20.842519685
21.4251968504,21.5393700787,20.5354330709,20.6929133858,23.468503937,20.2913385827,22.0787401575,22.0511811024,21.4488188976,21.4212598425,24.5905511811,23.9724409449,23.6023622047,23.1929133858,24.1338582677,22.4291338583,22.7519685039,24.0196850394,23.1771653543,24.094488189,24.0275590551,23.8976377953,24.2165354331,23.405511811,22.8385826772,23.7165354331,23.9251968504,23.1338582677,23.0433070866,23.0551181102,22.7834645669,22.9330708661,23.0472440945,24.0118110236,23.5118110236,23.7401574803,23.4133858268,23.9842519685,23.7401574803,23.7165354331,24.1614173228,23.5354330709,22.7795275591,22.4488188976,23.1496062992,23.1141732283,22.9881889764,23.1102362205,24.7716535433,22.8464566929,22.2086614173,22.6653543307,23.1968503937,22.9960629921,23.0393700787,22.7007874016,22.4527559055,22.5590551181,23.2834645669,22.7677165354,23.5551181102,23.4566929134,23.6299212598,23.0590551181,23.1141732283,23.9488188976,23.1968503937,22.9606299213,22.7244094488,23.1377952756,23.2559055118,23.0472440945,22.5511811024,22.7559055118,22.7401574803,22.9173228346,22.688976378,22.7992125984,22.4803149606,22.405511811,22.4645669291,22.1653543307,22.3346456693,22.2165354331,22.6338582677,21.8543307087,21.7559055118,22.5748031496,21.8228346457,22.4133858268,22.7913385827,22.7716535433,22.8031496063,22.937007874,22.625984252,22.0433070866,22.5511811024,22.5354330709,22.7007874016,22.062992126,22.3228346457,22.1535433071,21.9763779528,22.188976378,22.3661417323,22.0354330709,22.2952755906,22.1417322835,22.4488188976,21.4291338583,22.5866141732,22.6299212598,22.2637795276,22.3779527559,21.9251968504,22.3464566929,22.2834645669,21.7362204724,21.7952755906,21.6141732283,20.9133858268,20.9488188976,21.1220472441,22.0826771654,22.2007874016,22.2677165354,22.6614173228,22.2598425197,22.842519685,22.3976377953,21.9960629921,21.1456692913,21.8307086614,22.0511811024,22.4448818898,21.7677165354,21.8858267717,21.7834645669,22.4803149606,22.0669291339,21.9842519685,22.2244094488,21.0196850394,22.5984251969,21.7322834646,21.2401574803,21.8779527559,21.6220472441,21.7598425197,21.8031496063,21.8543307087,21.3267716535,21.2874015748,21.311023622,20.9645669291
21.2440944882,21.4330708661,20.6535433071,20.6771653543,23.2992125984,20.3149606299,22.0748031496,22.1377952756,21.2322834646,21.2755905512,24.4448818898,24.031496063,23.4763779528,23.2874015748,24.1732283465,22.5748031496,22.8228346457,23.9251968504,23.3267716535,24.1062992126,23.9291338583,23.6811023622,24.0590551181,23.3031496063,22.8897637795,23.8149606299,23.9527559055,23.3188976378,23.157480315,23.0984251969,23.0039370079,22.9921259843,23.1062992126,24.2440944882,23.531496063,23.7992125984,23.5157480315,23.7440944882,23.8543307087,23.7716535433,24.0118110236,23.8070866142,22.7716535433,22.5866141732,23.0472440945,23.0157480315,22.9409448819,23.0511811024,24.8385826772,22.9094488189,22.3149606299,22.7244094488,23.0433070866,23.0354330709,22.9921259843,22.8070866142,22.311023622,22.5826771654,23.4251968504,22.8070866142,23.688976378,23.3700787402,23.6220472441,23.3582677165,23.1535433071,24.0118110236,23.1377952756,22.7047244094,22.6929133858,23.1220472441,23.0669291339,22.9842519685,22.6181102362,22.5551181102,22.8976377953,22.7795275591,22.5236220472,22.8779527559,22.5748031496,22.5984251969,22.4724409449,21.9960629921,22.2480314961,22.3464566929,22.7047244094,21.7007874016,21.9488188976,22.5118110236,21.6653543307,22.3582677165,22.688976378,22.5708661417,22.8070866142,22.9566929134,22.6456692913,21.9094488189,22.5118110236,22.4566929134,22.7165354331,22.4094488189,22.1614173228,21.9133858268,22.2007874016,22.1377952756,22.2834645669,22.1811023622,22.2795275591,22.2204724409,22.4921259843,21.3228346457,22.6023622047,22.6732283465,22.2047244094,22.3779527559,21.8228346457,22.405511811,22.2125984252,21.657480315,21.7834645669,21.594488189,21.2637795276,20.8937007874,21.094488189,22.1220472441,22.3149606299,22.2716535433,22.6299212598,22.2480314961,22.7322834646,22.2637795276,22.0551181102,21.2440944882,21.9566929134,22.0669291339,22.2952755906,21.688976378,22.1062992126,21.9566929134,22.6299212598,22.1614173228,22.0118110236,22.0787401575,21.2362204724,22.5433070866,21.7007874016,21.1535433071,21.905511811,21.8464566929,21.7362204724,21.8267716535,21.7322834646,21.4291338583,21.1338582677,21.4251968504,21.0866141732
21.2244094488,21.3661417323,20.4803149606,20.9566929134,23.3307086614,20.5196850394,22.1377952756,22.2244094488,21.1023622047,21.3700787402,24.3622047244,23.9763779528,23.562992126,23.0866141732,23.9291338583,22.4251968504,22.8228346457,23.9448818898,23.4212598425,24.0905511811,23.9527559055,23.688976378,24.1771653543,23.4133858268,23.3385826772,23.7913385827,23.8818897638,23.5669291339,23.1377952756,23.0905511811,22.9645669291,22.9133858268,23.2322834646,24.2086614173,23.6771653543,23.6929133858,23.4881889764,23.7677165354,23.7559055118,23.7047244094,23.8267716535,23.5196850394,23.125984252,22.374015748,22.9409448819,22.9803149606,22.9842519685,23.0826771654,24.4015748031,23.0039370079,22.5590551181,22.7755905512,23.0551181102,22.9330708661,22.9566929134,22.9803149606,22.468503937,22.688976378,23.0472440945,23.1456692913,23.8543307087,23.5039370079,23.6653543307,23.4488188976,23.2834645669,24.125984252,23.3779527559,23.1771653543,22.6614173228,23.1141732283,23.1968503937,23.0275590551,22.8700787402,22.6535433071,23.4094488189,23.2519685039,22.4803149606,22.9488188976,22.5354330709,22.562992126,22.3149606299,22.0551181102,22.4606299213,22.3070866142,22.5,21.811023622,21.8582677165,22.3700787402,21.937007874,22.3188976378,22.8188976378,22.4527559055,23.031496063,22.9566929134,22.5590551181,21.7913385827,22.5275590551,22.4015748031,22.657480315,22.3818897638,22.2559055118,21.8031496063,22.1181102362,22.2755905512,22.1614173228,22.1614173228,22.3622047244,22.2992125984,22.5511811024,21.5905511811,22.7992125984,22.3858267717,22.1968503937,22.4015748031,22.0196850394,22.3700787402,22.3070866142,21.5551181102,21.7204724409,21.5708661417,21.1535433071,21.0236220472,20.8700787402,22.3070866142,22.3897637795,22.157480315,22.7125984252,22.1929133858,22.3228346457,22.3622047244,21.9645669291,21.1929133858,21.9645669291,21.9212598425,22.4566929134,21.8149606299,22.1141732283,21.8385826772,22.5511811024,22.1377952756,21.9842519685,22.2362204724,21.1771653543,22.5157480315,21.9133858268,21.2637795276,21.937007874,21.6771653543,21.8543307087,21.874015748,21.811023622,21.5866141732,21.1653543307,21.2125984252,21.062992126
21.3188976378,21.0866141732,20.4448818898,21.2362204724,23.3582677165,20.7362204724,22.188976378,22.3385826772,21.1771653543,21.2874015748,24.2677165354,23.9566929134,23.6496062992,23.3622047244,24.2204724409,22.7322834646,22.7677165354,24.2519685039,23.5236220472,24.1417322835,23.937007874,23.7677165354,24.0866141732,23.7992125984,23.5393700787,23.7047244094,24.1102362205,23.811023622,23.1811023622,23.0472440945,22.7440944882,23.2401574803,23.2125984252,24.2519685039,23.6023622047,23.8228346457,23.6220472441,23.9173228346,23.6653543307,23.6220472441,23.8188976378,23.5157480315,23.2047244094,22.5,22.7795275591,22.9960629921,22.6811023622,23.2125984252,23.8543307087,23.1338582677,22.5,22.8228346457,23.1181102362,23.0236220472,23.1102362205,22.8976377953,22.2559055118,23.0708661417,22.905511811,23.3976377953,23.5236220472,23.6417322835,23.5984251969,23.3228346457,23.2795275591,23.9960629921,23.1929133858,22.8267716535,22.8267716535,23.2007874016,22.9330708661,23.1062992126,22.7952755906,22.594488189,23.1929133858,23.6102362205,22.6692913386,22.7677165354,22.657480315,22.6968503937,22.4133858268,21.9803149606,22.5275590551,22.1929133858,22.3582677165,21.6850393701,21.9448818898,22.594488189,21.5826771654,22.1850393701,22.6929133858,22.4724409449,22.8700787402,22.9173228346,22.6535433071,21.9212598425,22.7165354331,22.5393700787,22.6732283465,22.2519685039,22.2992125984,21.9842519685,22.2125984252,22.1417322835,22.1850393701,22.2677165354,22.2755905512,22.311023622,22.3779527559,21.6456692913,22.5196850394,22.4251968504,22.1535433071,22.3661417323,21.9251968504,22.3267716535,22.1850393701,21.6771653543,21.7204724409,21.5669291339,21.0748031496,20.9015748031,20.7007874016,22.1968503937,22.4645669291,22.3937007874,22.688976378,22.1338582677,22.468503937,22.2086614173,22.0275590551,21.2047244094,21.8582677165,22.1850393701,22.3897637795,21.8818897638,21.9488188976,21.8267716535,22.5787401575,22.2637795276,22.1338582677,22.1417322835,21.1811023622,22.2283464567,21.6653543307,21.1496062992,21.7755905512,21.6732283465,21.8228346457,21.7992125984,21.842519685,21.5472440945,21.0551181102,21.1338582677,21.062992126
21.4488188976,20.8267716535,20.5039370079,21.0236220472,23.5275590551,20.5748031496,22.2677165354,22.3464566929,21.2755905512,21.4251968504,24.2283464567,24.0118110236,23.5275590551,23.3937007874,24.3031496063,22.6535433071,22.531496063,23.9645669291,23.4527559055,24.1102362205,24.1771653543,23.7401574803,24.0078740157,23.8700787402,23.5157480315,23.9448818898,24.1338582677,24.2125984252,23.1929133858,22.8897637795,22.905511811,23.0275590551,23.3464566929,24.1023622047,23.7125984252,23.7677165354,23.5787401575,23.8070866142,23.6377952756,23.5551181102,23.7165354331,23.4921259843,22.9960629921,22.4881889764,22.8700787402,22.8188976378,22.8149606299,23.0157480315,23.9803149606,22.968503937,22.5433070866,22.7519685039,23.0196850394,23.1023622047,23.1811023622,22.8346456693,22.4763779528,23.0078740157,22.9921259843,22.7992125984,23.5196850394,23.4803149606,23.4724409449,23.3937007874,23.2559055118,24.0551181102,23.2283464567,23.2007874016,22.6929133858,23.2401574803,22.9724409449,23.125984252,22.6299212598,22.6181102362,23.3779527559,23.4330708661,22.4960629921,22.937007874,22.6417322835,22.9094488189,22.3346456693,22.1141732283,22.6692913386,22.3228346457,22.5472440945,21.8346456693,22.0275590551,22.4921259843,21.5236220472,22.3031496063,22.6299212598,22.5984251969,22.7480314961,23.1811023622,22.625984252,21.8622047244,22.4015748031,22.3267716535,22.842519685,22.5118110236,22.5236220472,21.8779527559,22.3582677165,22.094488189,22.1850393701,22.1929133858,22.0748031496,22.0433070866,22.4133858268,21.6456692913,22.6614173228,22.468503937,22.1338582677,22.4881889764,21.905511811,22.2874015748,22.3503937008,21.8385826772,21.6614173228,21.4251968504,21.1771653543,21.0354330709,20.5787401575,22.2834645669,22.3385826772,22.4133858268,22.7165354331,22.2598425197,22.5118110236,22.3188976378,22.0078740157,21.3897637795,21.8897637795,22.0551181102,22.3267716535,22.0866141732,21.905511811,21.8464566929,22.4960629921,22.188976378,22.2598425197,22.1456692913,21.0078740157,21.9803149606,21.7480314961,21.1023622047,21.937007874,21.7755905512,21.7913385827,21.8346456693,21.8031496063,21.5590551181,21.0669291339,21.0157480315,20.8622047244
21.5,20.6771653543,20.3385826772,21.1220472441,23.4409448819,20.6771653543,22.1771653543,22.1614173228,21.3582677165,21.7283464567,24.2874015748,23.9724409449,23.5393700787,23.3700787402,23.9724409449,22.8543307087,22.4409448819,23.9606299213,23.4566929134,24.0787401575,24.1102362205,23.7598425197,24.1181102362,23.531496063,23.6023622047,23.968503937,24.0275590551,24.0275590551,23.0748031496,22.7637795276,22.9842519685,23.0,23.3267716535,24.1141732283,23.6456692913,23.8976377953,23.688976378,23.8858267717,23.625984252,23.9212598425,23.8346456693,23.594488189,23.1614173228,22.6456692913,22.7637795276,22.9448818898,22.905511811,23.3188976378,23.9566929134,23.0669291339,22.594488189,22.842519685,23.1771653543,23.3346456693,22.905511811,22.7755905512,22.4488188976,22.8976377953,22.9566929134,22.8070866142,23.6496062992,23.3307086614,23.6496062992,23.1968503937,23.3582677165,23.8070866142,23.2165354331,23.0354330709,22.7322834646,23.188976378,22.8661417323,23.0748031496,22.9606299213,22.6023622047,23.0472440945,23.1929133858,22.5826771654,22.937007874,22.7755905512,23.1299212598,22.3503937008,22.0275590551,22.5905511811,22.2362204724,22.7007874016,21.8149606299,22.0118110236,22.342519685,21.7401574803,22.3700787402,22.7795275591,22.4291338583,22.8818897638,22.905511811,22.8622047244,21.9724409449,22.5433070866,22.4448818898,23.0039370079,22.6929133858,22.405511811,22.0984251969,22.1771653543,22.1653543307,22.2952755906,22.3622047244,22.2519685039,22.0984251969,22.4409448819,21.5748031496,22.7322834646,22.4645669291,22.2834645669,22.342519685,21.9173228346,22.2913385827,22.2165354331,21.7244094488,21.7283464567,21.531496063,21.1614173228,21.2755905512,20.7165354331,22.2716535433,22.4842519685,22.1771653543,22.7322834646,22.2559055118,22.5275590551,22.2559055118,21.9606299213,21.4133858268,22.0826771654,22.1338582677,22.4566929134,22.1062992126,22.0393700787,21.7283464567,22.3818897638,22.2165354331,22.3385826772,22.031496063,20.9606299213,21.8858267717,21.7362204724,21.1732283465,21.8267716535,21.6220472441,21.5511811024,21.9881889764,21.905511811,21.3818897638,21.4173228346,20.8897637795,20.6535433071
21.5748031496,20.8858267717,20.3346456693,21.1771653543,23.6102362205,20.6181102362,22.5157480315,22.3070866142,21.4015748031,21.5551181102,24.6299212598,24.0905511811,23.5118110236,23.3543307087,23.9921259843,22.8858267717,22.7244094488,23.8582677165,23.4803149606,24.0078740157,23.9724409449,23.5708661417,23.9960629921,23.562992126,23.5905511811,24.0984251969,24.1771653543,24.0157480315,23.0039370079,22.7480314961,22.9803149606,23.0787401575,23.2992125984,24.1771653543,23.6929133858,23.9330708661,23.5236220472,23.7834645669,23.5590551181,23.6614173228,24.3070866142,23.657480315,23.0551181102,22.7086614173,23.1771653543,23.2480314961,23.2125984252,23.4015748031,23.5708661417,23.1417322835,22.6732283465,23.0118110236,23.0669291339,23.2795275591,23.0708661417,22.7519685039,22.6299212598,22.5905511811,22.9527559055,22.9015748031,23.4488188976,23.594488189,23.5118110236,23.0984251969,23.3228346457,23.7559055118,23.0984251969,22.8937007874,22.8031496063,22.9527559055,22.6968503937,22.9409448819,22.7322834646,22.6850393701,22.8385826772,22.9409448819,22.7440944882,22.8622047244,22.6929133858,23.3307086614,22.4330708661,22.0078740157,22.5196850394,22.4133858268,22.8346456693,21.811023622,22.0866141732,22.3307086614,21.6653543307,22.1653543307,22.5669291339,22.6692913386,22.8700787402,22.7086614173,22.7244094488,21.8228346457,22.6496062992,22.5433070866,22.8543307087,22.7795275591,22.3346456693,22.4133858268,22.311023622,22.3188976378,22.188976378,22.5511811024,22.1299212598,22.2204724409,22.3622047244,21.5669291339,22.6535433071,22.3385826772,22.2204724409,22.3937007874,21.9763779528,22.3976377953,22.4291338583,21.6811023622,21.6692913386,21.6771653543,21.2559055118,21.0,20.7086614173,22.1220472441,22.5433070866,22.1653543307,22.594488189,22.1417322835,22.6692913386,22.3543307087,21.7755905512,21.3937007874,21.9015748031,22.1338582677,22.3464566929,21.9960629921,21.9015748031,21.8622047244,22.4015748031,22.2047244094,22.2598425197,22.1653543307,21.4133858268,21.6614173228,21.657480315,21.3346456693,21.8503937008,21.6771653543,21.6968503937,21.7598425197,21.9763779528,21.5275590551,21.4763779528,20.7637795276,20.5708661417
21.6220472441,21.2480314961,20.3858267717,21.3976377953,23.374015748,20.6377952756,22.2204724409,22.2716535433,21.2834645669,21.6929133858,24.6732283465,23.905511811,23.342519685,22.7755905512,24.4921259843,22.9763779528,22.5787401575,23.8543307087,23.4960629921,24.0511811024,23.937007874,23.5275590551,24.094488189,23.5236220472,23.5472440945,23.8582677165,24.0748031496,23.9015748031,23.1023622047,22.6062992126,23.0,23.0590551181,23.5433070866,24.0748031496,23.7598425197,23.8779527559,23.5748031496,23.8070866142,23.4960629921,23.6771653543,24.0866141732,23.562992126,23.0,22.4133858268,23.1377952756,23.1535433071,23.3188976378,23.4133858268,23.5039370079,23.0078740157,22.531496063,22.8582677165,23.0590551181,23.1299212598,23.2204724409,22.9094488189,22.7362204724,22.5118110236,22.8976377953,22.8228346457,23.7598425197,23.5196850394,23.5590551181,23.2322834646,23.5,23.688976378,23.1377952756,22.9960629921,22.8897637795,22.7755905512,22.7283464567,22.905511811,22.4566929134,22.6535433071,22.7440944882,22.5039370079,22.905511811,22.7755905512,22.8188976378,23.1732283465,22.4448818898,21.8070866142,22.4330708661,22.342519685,22.8582677165,21.8228346457,22.0748031496,22.4921259843,21.8307086614,22.1692913386,22.6968503937,22.4606299213,22.7598425197,22.7440944882,22.7874015748,21.9527559055,22.5826771654,22.5196850394,22.905511811,22.7401574803,22.2480314961,21.9291338583,22.2480314961,22.1968503937,22.2519685039,22.3267716535,22.2362204724,22.2204724409,22.3897637795,21.7913385827,22.7086614173,22.3228346457,22.2992125984,22.3858267717,21.8818897638,22.4330708661,22.2480314961,21.688976378,21.7047244094,21.7716535433,21.0826771654,21.1062992126,20.8779527559,22.157480315,22.4763779528,22.2362204724,22.5905511811,22.2283464567,22.6771653543,22.2755905512,21.8858267717,21.4803149606,21.968503937,22.0826771654,22.3779527559,21.9133858268,21.9881889764,21.6220472441,22.4842519685,22.2440944882,22.4763779528,22.311023622,21.1102362205,21.7007874016,21.5748031496,21.1968503937,21.8976377953,21.6023622047,21.7401574803,21.7559055118,21.8937007874,21.6456692913,21.3031496063,20.8622047244,20.5
