0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154
10.915956151,10.6954933009,10.5773447016,10.5505481121,14.059683313,9.77466504263,11.802679659,11.071863581,11.1339829476,11.4896467722,14.6297198538,14.2740560292,14.1851400731,13.8989037759,14.4007308161,13.6540803898,13.8757612667,13.8867235079,13.5992691839,13.9634591961,13.8246041413,13.7332521315,13.9257003654,13.6723507917,13.6772228989,13.8136419001,13.802679659,13.3641900122,12.7235079172,12.5846528624,13.0572472594,13.0073081608,12.9257003654,14.0389768575,13.922046285,13.6881851401,13.9975639464,13.9561510353,13.6211936663,13.556638246,14.1485992692,13.7417783191,13.9366626066,13.8538367844,13.634591961,13.8136419001,13.9208282582,13.9683313033,15.4945188794,13.7356881851,13.4604141291,13.5919610231,13.4762484775,13.6260657734,13.9330085262,13.6504263094,13.7198538368,14.0438489647,13.9293544458,13.9902557856,14.0462850183,13.5797807552,13.7661388551,13.3008526188,13.7929354446,14.2728380024,13.7819732034,13.6760048721,13.7612667479,13.6772228989,13.5517661389,13.7417783191,13.5395858709,13.1230207065,13.8185140073,13.7771010962,13.3788063337,13.4409257004,13.3118148599,13.4007308161,13.4677222899,13.1595615104,13.7819732034,13.5286236297,13.4725943971,13.1985383678,13.1339829476,13.4567600487,13.1875761267,13.3142509135,13.515225335,13.1412911084,13.4640682095,13.5992691839,13.8867235079,13.419001218,13.5408038977,13.3556638246,13.9196102314,13.9451887942,13.7052375152,13.3641900122,13.4750304507,13.3800243605,13.4628501827,13.4275274056,13.5846528624,13.3763702801,13.5310596833,13.2911084044,13.1924482339,13.3093788063,13.0803897686,13.4068209501,13.197320341,13.1132764921,13.3873325213,13.3118148599,13.3215590743,13.2302070646,13.1169305725,13.0341047503,12.9476248477,13.5468940317,13.4360535932,13.3739342266,13.4884287454,13.6053593179,13.850182704,13.5188794153,13.4640682095,12.6638246041,13.2850182704,13.3276492083,13.3580998782,13.2630937881,13.1875761267,13.1425091352,13.131546894,13.3702801462,13.2886723508,13.4141291108,12.9768574909,13.5054811206,13.3641900122,12.8136419001,13.1412911084,13.1693057247,13.3459196102,13.3641900122,13.341047503,13.059683313,13.0669914738,12.8099878197,12.8903775883
10.8416565164,10.7454323995,10.6114494519,10.6662606577,14.0609013398,9.79049939099,11.6967113276,11.2204628502,11.2192448234,11.4360535932,14.646772229,14.2496954933,14.1680876979,13.9549330085,14.4068209501,13.640682095,13.9476248477,13.7953714982,13.6443361754,13.9598051157,13.7758830694,13.7588306943,13.8721071864,13.8051157125,13.4421437272,13.8038976857,13.7892813642,13.4579780755,12.6942752741,12.5639464068,13.0401948843,12.9671132765,12.9123020706,14.0219244823,13.9500609013,13.7490864799,13.9719853837,13.9902557856,13.6613885505,13.5919610231,14.1875761267,13.8136419001,13.9269183922,13.8721071864,13.5761266748,13.9013398295,13.8331303289,14.0584652862,15.2180267966,13.6053593179,13.3629719854,13.574908648,13.4799025579,13.5846528624,13.9488428745,13.6845310597,13.7198538368,13.8660170524,14.0791717418,13.8818514007,13.9963459196,13.6211936663,13.7880633374,13.4701583435,13.7917174178,14.269183922,13.8209500609,13.8087697929,13.7795371498,13.5712545676,13.6029232643,13.7819732034,13.4348355664,13.0755176614,13.6187576127,13.7076735688,13.5359317905,13.4713763703,13.3118148599,13.3861144945,13.5371498173,13.3702801462,13.84409257,13.5006090134,13.4360535932,13.1693057247,13.1583434836,13.3946406821,13.299634592,13.2582216809,13.4786845311,13.1802679659,13.4920828258,13.6382460414,13.7503045067,13.5505481121,13.5676004872,13.4043848965,14.0341047503,13.8185140073,13.587088916,13.4957369062,13.3568818514,13.3751522533,13.490864799,13.4263093788,13.6565164434,13.3727161998,13.5237515225,13.1595615104,13.1084043849,13.3398294762,13.0816077954,13.431181486,13.1729598051,13.0572472594,13.2971985384,13.3751522533,13.3702801462,13.2460414129,13.0182704019,13.1327649208,12.940316687,13.5164433618,13.4056029233,13.3751522533,13.4835566382,13.6175395859,13.8428745432,13.5018270402,13.4409257004,12.5237515225,13.2971985384,13.3361753959,13.3836784409,13.2314250914,13.2984165652,13.0755176614,13.1827040195,13.275274056,13.3288672351,13.4031668697,12.9890377588,13.5992691839,13.2350791717,12.9390986602,13.0864799026,13.2119366626,13.2204628502,13.3093788063,13.3617539586,13.0475030451,12.8842874543,12.9257003654,12.8319123021
10.7746650426,10.8587088916,10.5700365408,10.7551766139,14.0913520097,9.76248477467,11.6114494519,11.299634592,11.1084043849,11.4323995128,14.6699147381,14.1997563946,14.1839220463,13.9196102314,14.4738124239,13.6443361754,13.9488428745,13.8708891596,13.6577344702,14.065773447,13.7454323995,13.7746650426,13.8928136419,13.7758830694,13.2984165652,13.7685749086,13.7710109622,13.2838002436,12.6845310597,12.5420219245,13.0365408039,12.9634591961,12.9622411693,14.0365408039,13.9488428745,13.8099878197,13.84409257,14.0511571255,13.71863581,13.6297198538,14.2204628502,13.6662606577,13.802679659,13.7381242387,13.6845310597,13.7917174178,13.9658952497,14.0572472594,15.3922046285,13.6260657734,13.5286236297,13.6735688185,13.4920828258,13.5968331303,13.940316687,13.7551766139,13.5858708892,13.9768574909,14.077953715,13.8550548112,14.0036540804,13.6504263094,13.8014616322,13.5225334957,13.7734470158,14.287454324,13.8392204629,13.7576126675,13.6102314251,13.6151035323,13.5943970767,13.8063337393,13.4031668697,13.1680876979,13.6613885505,13.7101096224,13.5468940317,13.5200974421,13.3666260658,13.4287454324,13.5140073082,13.2862362972,13.7515225335,13.4884287454,13.5444579781,13.1863580999,13.149817296,13.4043848965,13.1668696711,13.2241169306,13.4799025579,13.2143727162,13.496954933,13.587088916,13.8209500609,13.509135201,13.5371498173,13.3069427527,14.0316686967,13.6686967113,13.6942752741,13.5188794153,13.4397076736,13.3775883069,13.5188794153,13.3824604141,13.7320341048,13.4043848965,13.4981729598,13.1753958587,13.1059683313,13.4153471376,13.1425091352,13.4226552984,13.1827040195,13.0864799026,13.371498173,13.2923264312,13.275274056,13.2959805116,12.928136419,13.0609013398,13.2082825822,13.5773447016,13.4543239951,13.299634592,13.5176613886,13.6041412911,13.8209500609,13.4738124239,13.4153471376,12.6808769793,13.2326431181,13.3495736906,13.3751522533,13.2192448234,13.2789281364,13.0803897686,13.1753958587,13.2923264312,13.3544457978,13.3982947625,13.0438489647,13.4628501827,13.2777101096,12.8806333739,13.1425091352,13.1705237515,13.347137637,13.365408039,13.2777101096,13.0170523752,12.9196102314,12.993909866,12.9208282582
10.7052375152,10.9123020706,10.6394640682,10.8331303289,14.1242387333,9.80876979294,11.4799025579,11.2862362972,11.1912302071,11.4263093788,14.646772229,14.1863580999,14.2082825822,13.9963459196,14.4640682095,13.6906211937,13.9476248477,13.8355663825,13.8319123021,14.0109622412,13.7990255786,13.6613885505,13.8294762485,13.8051157125,13.1863580999,13.772228989,13.8367844093,13.4957369062,12.700365408,12.5420219245,13.0791717418,13.0255785627,12.9476248477,14.0414129111,13.987819732,13.8526187576,13.8550548112,13.9768574909,13.8233861145,13.6090133983,14.2643118149,13.8306942753,13.8282582217,13.6699147381,13.7015834348,13.7941534714,13.8818514007,14.0316686967,15.1510353228,13.6516443362,13.5602923264,13.5529841657,13.5188794153,13.5956151035,13.8867235079,13.7892813642,13.4616321559,13.9196102314,14.1961023143,13.8306942753,14.0621193666,13.5822168088,13.7941534714,13.5883069428,13.7429963459,14.2582216809,13.8355663825,13.7576126675,13.6881851401,13.628501827,13.5481120585,13.8124238733,13.56272838,13.0986601705,13.6686967113,13.5846528624,13.4713763703,13.4774665043,13.4238733252,13.4348355664,13.5298416565,13.3227771011,13.7807551766,13.4811205847,13.4823386114,13.0,13.215590743,13.4872107186,13.2058465286,13.3361753959,13.4336175396,13.1266747868,13.4263093788,13.5883069428,13.7880633374,13.4993909866,13.4933008526,13.3142509135,14.0742996346,13.7198538368,13.5846528624,13.3288672351,13.353227771,13.3386114495,13.4811205847,13.3556638246,13.6857490865,13.4811205847,13.5542021924,13.197320341,13.1218026797,13.4202192448,13.1023142509,13.4457978076,13.2058465286,13.0621193666,13.359317905,13.2655298417,13.3568818514,13.2582216809,12.9829476248,13.1693057247,13.2399512789,13.5554202192,13.5529841657,13.3252131547,13.5334957369,13.6224116931,13.8587088916,13.4799025579,13.4287454324,12.8148599269,13.2959805116,13.2911084044,13.3800243605,13.2643118149,13.3093788063,13.1607795371,13.227771011,13.3239951279,13.3873325213,13.4092570037,13.0925700365,13.4494518879,13.2350791717,12.8538367844,13.1522533496,13.1753958587,13.2362971985,13.2582216809,13.3203410475,12.993909866,12.7295980512,13.0170523752,12.9512789281
10.6833130329,10.850182704,10.515225335,10.9914738124,14.1010962241,9.85992691839,11.4933008526,11.2460414129,11.2119366626,11.4701583435,14.6772228989,14.2338611449,14.1729598051,13.934226553,14.4616321559,13.7320341048,13.9512789281,13.8818514007,13.8392204629,13.9890377588,13.7746650426,13.6711327649,13.9537149817,13.8526187576,13.3495736906,13.7283800244,13.7795371498,13.5797807552,12.7088915956,12.515225335,13.0742996346,12.9598051157,13.0328867235,14.1144945189,14.0292326431,13.7819732034,13.8258221681,13.9841656516,13.7710109622,13.5249695493,14.1327649208,13.7503045067,13.8915956151,13.574908648,13.730816078,13.8063337393,13.9512789281,14.0730816078,15.2180267966,13.6979293544,13.5846528624,13.5761266748,13.4652862363,13.5261875761,13.9232643118,13.8014616322,13.5493300853,14.0633373934,14.0158343484,13.9451887942,14.0511571255,13.5408038977,13.8051157125,13.6772228989,13.7101096224,14.2959805116,13.9646772229,13.8038976857,13.5468940317,13.6309378806,13.5651644336,13.7941534714,13.5858708892,13.1327649208,13.7868453106,13.7990255786,13.5542021924,13.6090133983,13.3179049939,13.4591961023,13.4518879415,13.2618757613,13.790499391,13.4920828258,13.443361754,13.0767356882,13.1717417783,13.3617539586,13.3422655298,13.2314250914,13.4604141291,13.1035322777,13.5261875761,13.5797807552,13.7478684531,13.4701583435,13.5188794153,13.3264311815,13.9439707674,13.6552984166,13.724725944,13.3105968331,13.3885505481,13.3495736906,13.5140073082,13.371498173,13.6650426309,13.4336175396,13.5846528624,13.2423873325,13.071863581,13.3154689403,13.1668696711,13.4567600487,13.2046285018,13.0085261876,13.3422655298,13.3105968331,13.2898903776,13.2143727162,12.8915956151,13.197320341,13.0450669915,13.6126674787,13.5310596833,13.1863580999,13.5115712546,13.6114494519,13.8989037759,13.5602923264,13.425091352,12.7661388551,13.3215590743,13.2764920828,13.4116930572,13.2679658952,13.3288672351,12.987819732,13.2801461632,13.3775883069,13.3398294762,13.425091352,13.0255785627,13.3264311815,13.3690621194,12.8392204629,13.1546894032,13.2253349574,13.3751522533,13.2947624848,13.2923264312,13.0669914738,12.8915956151,12.8818514007,12.9451887942
10.7417783191,10.7332521315,10.5554202192,11.1595615104,14.0937880633,9.94884287454,11.5140073082,11.2789281364,11.2302070646,11.5103532278,14.6272838002,14.1778319123,14.2168087698,13.9317904994,14.4470158343,13.8635809988,13.8599269184,13.8964677223,13.784409257,14.006090134,13.7417783191,13.6370280146,14.0109622412,13.9390986602,13.3105968331,13.7429963459,13.8380024361,13.7710109622,12.7661388551,12.4628501827,13.0950060901,13.006090134,12.9683313033,14.1157125457,14.0194884287,13.7880633374,14.0292326431,13.9866017052,13.8014616322,13.5602923264,14.2448233861,13.7856272838,13.9135200974,13.6163215591,13.56272838,13.7673568819,13.8306942753,14.0645554202,15.1132764921,13.7283800244,13.4823386114,13.5895249695,13.4896467722,13.5493300853,13.946406821,13.850182704,13.4640682095,14.0889159562,14.0755176614,13.9744214373,13.9744214373,13.5298416565,13.7831912302,13.6151035323,13.7356881851,14.2509135201,13.8343483557,13.7807551766,13.7393422655,13.5919610231,13.5347137637,13.8185140073,13.4799025579,13.1680876979,13.7637028015,13.7381242387,13.503045067,13.5054811206,13.3580998782,13.4811205847,13.5493300853,13.2655298417,13.7393422655,13.4323995128,13.3995127893,12.9598051157,13.2082825822,13.4811205847,13.1619975639,13.1839220463,13.4275274056,13.1230207065,13.4628501827,13.5895249695,13.7819732034,13.4457978076,13.5554202192,13.3337393423,13.922046285,13.6577344702,13.652862363,13.5542021924,13.4092570037,13.3848964677,13.5042630938,13.3154689403,13.6540803898,13.412911084,13.5529841657,13.2923264312,13.1108404385,13.3227771011,13.1997563946,13.4116930572,13.2265529842,13.0682095006,13.3057247259,13.2545676005,13.3288672351,13.2228989038,13.0182704019,13.197320341,13.0024360536,13.5651644336,13.6029232643,13.359317905,13.5018270402,13.5956151035,13.8708891596,13.4762484775,13.4799025579,12.7746650426,13.3130328867,13.3166869671,13.3191230207,13.3373934227,13.2314250914,13.1693057247,13.2704019488,13.3373934227,13.4226552984,13.3751522533,12.9805115713,13.4506699147,13.1985383678,12.7892813642,13.0791717418,13.0950060901,13.2764920828,13.3032886724,13.3118148599,13.0426309379,12.7746650426,12.9086479903,12.9671132765
10.7746650426,10.6504263094,10.496954933,11.1948842875,14.1120584653,9.87819732034,11.5554202192,11.371498173,11.2545676005,11.4689403167,14.490864799,14.203410475,14.1827040195,14.0133982948,14.4092570037,13.868453106,13.7771010962,13.8526187576,13.790499391,13.9805115713,13.8038976857,13.6942752741,13.8855054811,13.9415347138,13.4579780755,13.7953714982,13.8867235079,13.8258221681,12.7831912302,12.4043848965,13.0864799026,12.9866017052,13.0414129111,14.0816077954,13.9987819732,13.7917174178,13.796589525,13.9756394641,13.7819732034,13.5736906212,14.1278928136,13.7795371498,13.940316687,13.5651644336,13.6699147381,13.7466504263,13.9257003654,14.0146163216,14.7539585871,13.6954933009,13.6077953715,13.5785627284,13.5261875761,13.6029232643,13.9415347138,13.8282582217,13.5274056029,14.2107186358,13.9610231425,13.8842874543,14.0048721072,13.4652862363,13.7710109622,13.6772228989,13.6650426309,14.3922046285,13.9451887942,13.8867235079,13.6102314251,13.646772229,13.5420219245,13.856272838,13.5298416565,13.1242387333,13.7198538368,13.8355663825,13.4872107186,13.556638246,13.365408039,13.443361754,13.4652862363,13.3130328867,13.8294762485,13.5066991474,13.4226552984,13.1181485993,13.2886723508,13.3995127893,13.1924482339,13.3848964677,13.353227771,13.1364190012,13.4080389769,13.6321559074,13.7466504263,13.4713763703,13.5444579781,13.2423873325,13.9488428745,13.6723507917,13.7271619976,13.4713763703,13.4774665043,13.4263093788,13.4920828258,13.2801461632,13.6248477467,13.3788063337,13.5773447016,13.1948842875,13.1303288672,13.3666260658,13.1851400731,13.4421437272,13.221680877,13.0328867235,13.3848964677,13.4092570037,13.2789281364,13.2265529842,13.0401948843,13.1875761267,12.9768574909,13.5676004872,13.5164433618,13.2204628502,13.5140073082,13.6053593179,13.87454324,13.4750304507,13.6394640682,12.9232643118,13.2630937881,13.3629719854,13.3386114495,13.3580998782,13.3032886724,13.137637028,13.2825822168,13.2850182704,13.4141291108,13.4238733252,12.9683313033,13.6199756395,13.275274056,12.8197320341,13.1266747868,13.197320341,13.2764920828,13.3130328867,13.2984165652,13.0645554202,12.8221680877,12.987819732,12.9829476248
10.8038976857,10.5676004872,10.5079171742,11.3325213155,14.0791717418,9.87088915956,11.5395858709,11.2302070646,11.2789281364,11.4896467722,14.4957369062,14.227771011,14.1595615104,13.9537149817,14.4811205847,13.9500609013,13.8124238733,13.8574908648,13.7831912302,13.9658952497,13.7563946407,13.7198538368,13.9524969549,13.8721071864,13.4409257004,13.8209500609,13.8380024361,13.7978075518,12.730816078,12.3166869671,13.1230207065,12.9817295981,13.0414129111,14.0609013398,14.053593179,13.8136419001,13.8367844093,14.0475030451,13.7612667479,13.580998782,14.1729598051,13.7746650426,13.9488428745,13.7429963459,13.5846528624,13.8038976857,13.8647990256,14.0036540804,14.6565164434,13.640682095,13.5883069428,13.658952497,13.5261875761,13.6236297199,13.9512789281,13.8160779537,13.5018270402,14.0450669915,14.0389768575,13.8136419001,14.0560292326,13.4056029233,13.8185140073,13.5968331303,13.6967113276,14.2521315469,13.8757612667,13.8331303289,13.7259439708,13.5883069428,13.5054811206,13.8002436054,13.6199756395,13.1936662607,13.7259439708,13.7685749086,13.5371498173,13.5542021924,13.4518879415,13.4981729598,13.4933008526,13.3118148599,13.7588306943,13.4299634592,13.5103532278,13.1144945189,13.3130328867,13.3702801462,13.3495736906,13.3495736906,13.4080389769,13.077953715,13.4884287454,13.5249695493,13.802679659,13.484774665,13.5237515225,13.3361753959,14.0584652862,13.7137637028,13.6577344702,13.5712545676,13.3495736906,13.4263093788,13.4689403167,13.3239951279,13.6431181486,13.3568818514,13.5164433618,13.2265529842,13.059683313,13.3434835566,13.1412911084,13.4263093788,13.2886723508,13.0462850183,13.3836784409,13.299634592,13.359317905,13.1948842875,12.9719853837,13.2460414129,13.0487210719,13.6053593179,13.6004872107,13.2387332521,13.4872107186,13.634591961,13.8976857491,13.4738124239,13.3982947625,12.8526187576,13.3313032887,13.3666260658,13.3617539586,13.3641900122,13.3361753959,13.1327649208,13.2971985384,13.3215590743,13.5834348356,13.419001218,13.1230207065,13.5712545676,13.2448233861,12.7235079172,13.0852618758,13.1035322777,13.3045066991,13.3276492083,13.341047503,13.0609013398,12.9135200974,12.9585870889,12.8489646772
10.8891595615,10.556638246,10.5602923264,11.5200974421,14.1412911084,9.84043848965,11.640682095,11.2143727162,11.3349573691,11.5079171742,14.5176613886,14.2204628502,14.1827040195,13.9086479903,14.4799025579,13.9208282582,13.8526187576,13.8526187576,13.7819732034,13.9622411693,13.790499391,13.6540803898,13.84409257,13.8160779537,13.4945188794,13.8404384896,13.9037758831,13.7466504263,12.6979293544,12.299634592,13.15590743,12.9853836784,13.0584652862,14.0901339829,13.9975639464,13.8599269184,13.7527405603,14.0316686967,13.7503045067,13.6053593179,14.2679658952,13.7941534714,13.9013398295,13.6711327649,13.7393422655,13.8733252132,14.0889159562,14.0353227771,14.7503045067,13.7503045067,13.6772228989,13.6187576127,13.5773447016,13.6053593179,13.9366626066,13.8270401949,13.5493300853,14.0292326431,13.9549330085,13.8830694275,14.0267965895,13.4774665043,13.8014616322,13.6711327649,13.6991473812,14.28136419,13.9013398295,13.7710109622,13.6930572473,13.5724725944,13.5079171742,13.7612667479,13.484774665,13.1485992692,13.6053593179,13.7320341048,13.6114494519,13.5115712546,13.3617539586,13.5395858709,13.5274056029,13.3398294762,13.8392204629,13.4665042631,13.5188794153,13.1218026797,13.3690621194,13.347137637,13.1705237515,13.2643118149,13.3447015834,13.1924482339,13.5505481121,13.5590742996,13.784409257,13.490864799,13.5797807552,13.3447015834,14.059683313,13.7417783191,13.6881851401,13.8172959805,13.3788063337,13.4421437272,13.4652862363,13.3179049939,13.5797807552,13.3982947625,13.4518879415,13.1644336175,13.1010962241,13.3580998782,13.137637028,13.4689403167,13.3836784409,13.0475030451,13.4068209501,13.3020706456,13.2606577345,13.2436053593,13.1619975639,13.1412911084,13.1144945189,13.556638246,13.5225334957,13.2350791717,13.5079171742,13.5736906212,13.8903775883,13.490864799,13.3386114495,12.9780755177,13.2838002436,13.359317905,13.2911084044,13.3069427527,13.2862362972,13.1485992692,13.2521315469,13.3227771011,13.4945188794,13.3848964677,13.1729598051,13.425091352,13.2082825822,12.8514007308,13.0998781973,13.137637028,13.2521315469,13.2728380024,13.3727161998,13.0146163216,12.8855054811,12.9305724726,12.7990255786
10.9975639464,10.5773447016,10.5395858709,11.7600487211,14.0925700365,9.8915956151,11.6041412911,11.2082825822,11.4007308161,11.4287454324,14.580998782,14.1693057247,14.1169305725,13.9792935445,14.4226552984,13.940316687,13.8282582217,13.8708891596,13.7673568819,14.0414129111,13.7637028015,13.7295980512,13.8928136419,13.87454324,13.4263093788,13.802679659,13.868453106,13.7697929354,12.6894031669,12.2228989038,13.1802679659,13.0024360536,13.059683313,14.0682095006,14.0182704019,13.8294762485,13.700365408,13.9963459196,13.7405602923,13.6333739342,14.4701583435,13.706455542,13.8721071864,13.5651644336,13.6711327649,13.8538367844,14.0097442144,14.0669914738,14.5651644336,13.7356881851,13.5529841657,13.6138855055,13.5700365408,13.5931790499,13.9732034105,13.8477466504,13.6017052375,13.9732034105,13.9902557856,13.7576126675,14.0267965895,13.4567600487,13.7831912302,13.7040194884,13.7527405603,14.2314250914,13.850182704,13.8270401949,13.6930572473,13.5968331303,13.5347137637,13.7393422655,13.5615103532,13.1278928136,13.6419001218,13.5127892814,13.6199756395,13.4981729598,13.3629719854,13.5079171742,13.5079171742,13.2971985384,13.7417783191,13.4457978076,13.5602923264,13.2119366626,13.3447015834,13.3788063337,13.3678440926,13.4397076736,13.3690621194,13.1132764921,13.3690621194,13.5481120585,13.778319123,13.4884287454,13.5347137637,13.2326431181,14.0584652862,13.7028014616,13.646772229,13.412911084,13.3946406821,13.3970767357,13.3982947625,13.2777101096,13.580998782,13.3812423873,13.4920828258,13.2021924482,13.1010962241,13.2789281364,13.2119366626,13.443361754,13.3154689403,13.0401948843,13.3788063337,13.3605359318,13.3313032887,13.3215590743,13.0767356882,13.2570036541,12.9695493301,13.6151035323,13.5590742996,13.2375152253,13.515225335,13.5797807552,13.868453106,13.4920828258,13.3946406821,13.053593179,13.269183922,13.3264311815,13.341047503,13.2984165652,13.3081607795,13.1132764921,13.3276492083,13.3118148599,13.6662606577,13.4823386114,13.0207064555,13.515225335,13.2411693057,12.8038976857,13.0426309379,13.1656516443,13.2898903776,13.3008526188,13.2594397077,13.0974421437,12.8099878197,12.8903775883,12.8209500609
