0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170
34.2480314961,34.3503937008,34.7204724409,33.7322834646,34.2992125984,33.6771653543,33.3779527559,33.5669291339,33.0826771654,32.7165354331,32.3503937008,32.5866141732,32.2204724409,31.2519685039,30.5669291339,32.7007874016,30.9960629921,29.7047244094,29.7755905512,29.2716535433,31.4094488189,32.0708661417,31.7952755906,32.0905511811,32.1535433071,32.062992126,30.4448818898,31.7834645669,30.5551181102,31.6062992126,31.4488188976,29.7716535433,30.0669291339,29.7440944882,29.0354330709,28.625984252,28.9842519685,28.8700787402,29.3464566929,29.7362204724,28.3307086614,27.9212598425,29.0393700787,28.2362204724,29.311023622,29.4527559055,29.0354330709,27.7047244094,27.4842519685,28.437007874,27.8700787402,28.9094488189,28.6614173228,28.6614173228,28.7874015748,27.9803149606,27.8779527559,27.6299212598,28.8858267717,28.1732283465,28.0708661417,28.3700787402,28.9960629921,28.0590551181,27.7992125984,27.3700787402,27.6653543307,27.0472440945,27.3070866142,28.842519685,26.6771653543,25.905511811,28.0118110236,27.2795275591,29.625984252,28.1102362205,28.4842519685,27.937007874,30.4606299213,30.3503937008,29.8661417323,29.374015748,30.7598425197,30.3188976378,29.3858267717,28.6417322835,27.7244094488,27.2283464567,27.1102362205,28.4724409449,27.6732283465,28.5708661417,27.7283464567,27.6023622047,27.2992125984,26.7559055118,27.3937007874,26.2755905512,25.9645669291,24.8188976378,25.7086614173,28.2952755906,28.7834645669,28.6377952756,29.5669291339,29.6850393701,28.6653543307,27.8188976378,27.5157480315,27.6181102362,26.8858267717,26.9566929134,27.2677165354,26.9488188976,28.811023622,28.8346456693,26.3031496063,27.0669291339,27.9527559055,27.9606299213,28.0118110236,28.0669291339,28.0984251969,28.157480315,28.0236220472,29.2362204724,26.688976378,25.8070866142,27.0472440945,27.4645669291,26.7598425197,27.4842519685,26.8464566929,26.3897637795,25.7086614173,25.5511811024,25.4921259843,25.1968503937,26.0118110236,25.3031496063,25.4763779528,25.4645669291,25.6535433071,24.9606299213,24.6653543307,24.5669291339,25.0393700787,25.1102362205,25.1968503937,25.3937007874,24.7283464567,24.9724409449,25.4803149606,24.2559055118,25.374015748,25.5905511811,25.1496062992,24.6614173228,25.7440944882,25.0157480315,25.2047244094,25.6377952756,25.6496062992,30.6732283465,29.3464566929,24.2125984252,23.7283464567,23.6968503937,23.8503937008,24.0393700787,23.0984251969
34.3976377953,34.6929133858,33.625984252,34.0354330709,33.1377952756,33.311023622,33.2677165354,33.1377952756,34.3385826772,32.5118110236,31.8149606299,31.7007874016,32.0196850394,31.6141732283,30.625984252,32.3228346457,31.0275590551,29.6535433071,29.8070866142,29.0,31.4488188976,32.1181102362,31.4094488189,31.6338582677,31.2480314961,31.5590551181,30.4960629921,31.3464566929,30.5511811024,31.8188976378,30.8307086614,29.6417322835,29.0551181102,29.5866141732,28.9251968504,29.311023622,28.8346456693,29.1023622047,29.1732283465,29.2086614173,28.4212598425,27.9763779528,29.3858267717,28.7637795276,29.4606299213,29.3818897638,29.3188976378,27.6338582677,27.2244094488,28.3582677165,27.8188976378,28.8070866142,28.562992126,28.6181102362,28.4330708661,29.7755905512,27.9330708661,27.4842519685,28.937007874,28.1102362205,27.8976377953,28.3070866142,28.8897637795,28.7007874016,28.4645669291,27.437007874,27.5708661417,27.1968503937,27.6496062992,29.0984251969,26.6771653543,26.4251968504,27.7007874016,27.3228346457,29.5905511811,27.9842519685,28.4488188976,27.9330708661,30.3031496063,30.3346456693,30.5905511811,30.7086614173,30.9488188976,30.8779527559,29.1181102362,28.4409448819,27.6496062992,27.6417322835,27.1102362205,28.2992125984,27.842519685,28.6535433071,27.7716535433,28.0826771654,27.4763779528,27.1614173228,27.2874015748,26.8661417323,26.0157480315,25.0354330709,25.8464566929,27.4251968504,28.8622047244,28.7440944882,29.1220472441,29.7322834646,28.6102362205,27.9645669291,27.5275590551,27.4803149606,27.1496062992,26.968503937,27.1968503937,26.9448818898,28.9527559055,28.9842519685,26.1377952756,27.1496062992,27.8976377953,27.0118110236,27.9606299213,27.4803149606,27.8622047244,28.2047244094,27.7992125984,28.6929133858,26.7598425197,25.8149606299,27.1653543307,27.3858267717,26.657480315,27.0669291339,26.7795275591,26.3818897638,25.5196850394,25.5354330709,25.5748031496,25.4133858268,25.8976377953,25.3622047244,25.4409448819,25.374015748,25.7362204724,24.8622047244,25.0866141732,24.6456692913,25.2086614173,25.1456692913,25.342519685,25.1929133858,24.7755905512,24.7874015748,25.1771653543,24.5196850394,25.3700787402,25.5196850394,24.9921259843,25.1417322835,25.5236220472,25.0039370079,25.0590551181,25.562992126,25.7322834646,30.1653543307,28.9803149606,24.2874015748,23.6181102362,23.9409448819,23.937007874,23.9330708661,23.2204724409
34.3267716535,34.7755905512,33.6338582677,34.3622047244,33.8188976378,33.4803149606,33.2125984252,33.9763779528,34.2755905512,33.3622047244,32.3267716535,32.0905511811,32.0039370079,31.6417322835,31.0787401575,32.437007874,30.7913385827,29.7834645669,28.9409448819,28.9291338583,32.062992126,32.5433070866,32.1968503937,31.5905511811,31.2086614173,31.5393700787,30.468503937,31.1299212598,30.625984252,32.2795275591,30.5787401575,29.968503937,29.1062992126,29.6614173228,28.7874015748,28.437007874,28.7952755906,28.2283464567,29.2755905512,29.1456692913,28.3779527559,27.5196850394,29.1338582677,28.0157480315,29.3858267717,29.2204724409,29.0196850394,27.9606299213,27.4803149606,28.6062992126,28.0118110236,28.6653543307,28.6062992126,28.7283464567,27.8661417323,29.8818897638,29.0669291339,27.5511811024,28.8149606299,27.8070866142,27.9291338583,28.2086614173,28.6692913386,29.2440944882,27.6535433071,27.5511811024,27.2598425197,27.1377952756,28.2716535433,28.7480314961,26.7362204724,27.0039370079,27.6692913386,27.4763779528,29.7519685039,28.062992126,28.5787401575,28.1968503937,30.4448818898,30.1141732283,30.5039370079,31.4842519685,30.2047244094,30.5787401575,28.7952755906,28.2795275591,27.4803149606,27.7401574803,27.188976378,28.3543307087,28.374015748,28.6968503937,28.0354330709,27.5590551181,27.5236220472,26.6141732283,27.0748031496,27.0669291339,26.094488189,25.4291338583,25.6811023622,27.342519685,28.7834645669,28.9606299213,28.6614173228,29.6338582677,28.0866141732,28.031496063,27.1377952756,27.3818897638,27.2598425197,27.1496062992,27.5551181102,26.7047244094,29.3385826772,28.6614173228,25.9842519685,27.0196850394,27.8346456693,27.8188976378,27.7559055118,28.2401574803,28.2086614173,28.094488189,28.2795275591,28.4566929134,26.437007874,26.4251968504,27.5157480315,27.1417322835,26.9015748031,26.9448818898,26.6968503937,26.4291338583,25.9094488189,25.9251968504,25.1771653543,25.5984251969,25.937007874,25.5433070866,25.2322834646,25.5393700787,25.5354330709,25.2440944882,25.1181102362,24.8346456693,25.2244094488,25.0866141732,25.2165354331,25.0511811024,24.842519685,24.9803149606,25.6653543307,24.3897637795,25.5433070866,25.5393700787,24.9015748031,25.3582677165,25.5472440945,25.2165354331,24.905511811,25.7244094488,26.1456692913,30.7125984252,29.0039370079,24.094488189,23.7834645669,23.4960629921,24.0118110236,23.9763779528,23.2480314961
34.2559055118,34.188976378,33.6614173228,34.6181102362,33.7755905512,33.3228346457,33.4094488189,34.0236220472,34.3346456693,32.8070866142,32.4763779528,30.9921259843,31.8661417323,31.1417322835,30.8937007874,33.1456692913,30.6614173228,29.4409448819,29.0708661417,29.0118110236,31.4173228346,31.9330708661,31.4409448819,31.8070866142,30.9960629921,30.9527559055,30.5511811024,31.2874015748,32.0433070866,31.3779527559,30.7283464567,29.4094488189,29.2204724409,29.9094488189,29.5472440945,28.4330708661,28.5590551181,28.1417322835,28.7952755906,29.0669291339,28.3307086614,28.4094488189,28.1141732283,27.3031496063,29.1850393701,29.6732283465,28.5511811024,28.6496062992,27.4488188976,28.6692913386,28.4133858268,28.8228346457,28.4921259843,28.874015748,27.6771653543,29.4448818898,29.2480314961,27.7401574803,28.6220472441,28.0196850394,27.9960629921,28.1811023622,28.5708661417,29.3346456693,27.5748031496,27.531496063,27.1220472441,27.5905511811,28.5354330709,28.5590551181,27.0787401575,26.9488188976,27.4763779528,27.5433070866,29.5984251969,27.7677165354,28.5472440945,28.4409448819,30.6023622047,30.3228346457,30.2637795276,31.2244094488,30.0433070866,29.5551181102,28.7795275591,28.2125984252,27.468503937,28.3661417323,27.1811023622,28.4173228346,27.9960629921,28.5157480315,28.2125984252,28.0118110236,27.562992126,26.7047244094,27.1850393701,27.3976377953,26.3661417323,25.3543307087,25.5551181102,27.7559055118,28.3543307087,29.9094488189,28.4803149606,29.0472440945,28.0157480315,27.342519685,27.4291338583,27.2047244094,27.4488188976,26.9212598425,26.968503937,26.8267716535,29.5039370079,28.9566929134,26.0236220472,26.5826771654,27.3543307087,27.6771653543,27.7755905512,28.1181102362,28.4527559055,28.1181102362,29.2007874016,28.4330708661,26.0984251969,26.6811023622,27.3149606299,26.8897637795,26.5275590551,26.937007874,26.811023622,26.125984252,26.3976377953,25.9212598425,25.437007874,25.8543307087,26.2125984252,25.6062992126,25.2007874016,25.4842519685,25.7519685039,25.468503937,25.0787401575,24.7677165354,25.4015748031,25.342519685,25.1220472441,24.7519685039,24.7913385827,24.7716535433,25.594488189,24.4094488189,25.4960629921,25.625984252,25.2047244094,25.5511811024,25.3228346457,25.3267716535,25.062992126,25.842519685,25.9291338583,31.5472440945,28.9881889764,23.9724409449,23.7086614173,23.6023622047,24.031496063,23.7637795276,23.3188976378
34.1496062992,33.7440944882,33.6023622047,34.5472440945,33.3897637795,33.2755905512,33.6456692913,34.8976377953,34.6062992126,33.905511811,32.6692913386,31.2559055118,31.7559055118,30.3897637795,30.8385826772,32.4015748031,30.5905511811,29.6496062992,28.9645669291,29.0551181102,30.5354330709,33.188976378,31.7283464567,31.5118110236,30.842519685,31.2047244094,30.4251968504,30.6141732283,31.4015748031,31.3149606299,30.7125984252,29.7677165354,29.6692913386,29.625984252,29.5472440945,28.6062992126,27.9251968504,27.9527559055,28.6929133858,29.1496062992,28.7125984252,27.7086614173,28.0,27.1062992126,29.2559055118,28.9763779528,28.3503937008,29.0826771654,27.6023622047,28.5511811024,28.2244094488,28.8779527559,28.3582677165,28.8385826772,27.8582677165,28.8464566929,28.374015748,27.7007874016,28.5157480315,28.1141732283,28.2401574803,28.2637795276,28.5669291339,29.2401574803,27.7716535433,27.8503937008,27.1102362205,27.9960629921,28.8307086614,28.5354330709,27.3307086614,27.3188976378,27.8464566929,27.5826771654,29.4448818898,28.0078740157,28.7677165354,28.6417322835,30.5708661417,30.0472440945,30.0787401575,30.2519685039,29.6811023622,29.9409448819,29.0787401575,28.5866141732,27.6102362205,29.2480314961,27.3031496063,28.6023622047,27.842519685,28.2795275591,27.7322834646,28.5196850394,27.562992126,27.0826771654,27.0984251969,27.3070866142,26.0551181102,25.0118110236,25.6850393701,26.9842519685,28.3622047244,29.6968503937,28.5196850394,28.7834645669,28.0866141732,28.0196850394,27.4803149606,27.2480314961,27.5748031496,26.6811023622,27.5984251969,27.0905511811,29.4133858268,28.7874015748,26.0590551181,26.2362204724,27.2874015748,28.1417322835,27.3267716535,27.5078740157,28.0354330709,27.9488188976,28.9133858268,28.7362204724,26.2992125984,27.2165354331,27.6653543307,26.7834645669,26.3897637795,26.9015748031,26.9409448819,26.1535433071,25.7244094488,26.0118110236,25.9448818898,26.0511811024,25.7283464567,25.5748031496,25.0118110236,25.1968503937,25.8897637795,25.562992126,25.1299212598,24.7322834646,25.4606299213,25.2007874016,25.1692913386,25.1181102362,24.9409448819,24.9251968504,25.5275590551,24.6062992126,25.3543307087,25.625984252,25.1850393701,25.5748031496,25.5039370079,25.1181102362,24.874015748,26.0157480315,25.5669291339,31.2598425197,29.6338582677,23.8346456693,23.8228346457,23.7716535433,23.9488188976,24.0393700787,23.3897637795
33.9763779528,33.5708661417,33.5708661417,34.4409448819,33.4566929134,33.5118110236,34.1181102362,34.7716535433,33.3622047244,33.5157480315,31.6614173228,30.7834645669,32.9763779528,30.4212598425,31.4448818898,32.6181102362,30.4173228346,29.6141732283,28.5551181102,28.937007874,30.3543307087,31.8818897638,31.6811023622,31.5866141732,30.7125984252,30.8149606299,30.1496062992,30.2322834646,30.5078740157,30.6653543307,30.7244094488,30.0078740157,29.6535433071,29.5905511811,30.0236220472,29.2047244094,28.8346456693,28.7598425197,28.7401574803,29.874015748,28.3267716535,27.4606299213,27.5118110236,27.342519685,29.2519685039,28.7755905512,28.5039370079,28.8031496063,28.0590551181,27.968503937,27.2086614173,28.6732283465,28.3503937008,28.5393700787,28.1456692913,28.7165354331,27.5826771654,27.7755905512,28.4330708661,28.3031496063,28.0826771654,28.1929133858,28.3188976378,29.1456692913,27.7913385827,28.2047244094,27.0,27.7165354331,28.8464566929,28.3897637795,26.9448818898,27.3622047244,27.5669291339,27.5905511811,29.4212598425,28.2559055118,28.6653543307,28.7401574803,30.562992126,29.8858267717,29.6023622047,29.9173228346,29.6929133858,29.8149606299,30.6929133858,29.6220472441,27.6456692913,28.1417322835,27.5118110236,28.1338582677,27.9133858268,28.3228346457,27.594488189,28.6968503937,27.5275590551,27.0196850394,27.0118110236,27.2125984252,26.0354330709,24.9488188976,25.9488188976,26.905511811,28.094488189,28.6850393701,28.5157480315,28.6692913386,28.6377952756,27.9960629921,27.7244094488,27.3385826772,27.0511811024,26.4133858268,27.6929133858,26.8661417323,29.311023622,29.3543307087,26.4133858268,25.905511811,26.7125984252,27.4133858268,27.5354330709,27.4566929134,28.0472440945,28.2283464567,28.7362204724,28.0275590551,26.3543307087,27.1653543307,27.4606299213,26.6732283465,26.5433070866,26.4803149606,27.1377952756,26.031496063,25.0196850394,25.9409448819,25.4291338583,25.8700787402,25.374015748,25.7874015748,25.2125984252,25.3070866142,25.7716535433,25.7047244094,25.2834645669,25.1062992126,25.6535433071,25.2283464567,24.968503937,24.8779527559,24.9488188976,25.3267716535,25.6417322835,24.6614173228,25.1496062992,25.7401574803,25.2755905512,25.3503937008,25.7440944882,24.9881889764,24.8858267717,26.0472440945,26.1220472441,31.688976378,29.5393700787,23.6968503937,23.7598425197,23.7755905512,23.6732283465,23.688976378,23.657480315
34.0472440945,33.4881889764,33.1535433071,33.8070866142,33.2519685039,33.8661417323,33.8700787402,34.2086614173,32.8779527559,31.657480315,32.1771653543,32.5905511811,32.1771653543,30.2362204724,30.9527559055,33.1968503937,30.0866141732,29.4724409449,28.8070866142,28.8976377953,29.0866141732,31.7755905512,31.3385826772,31.3307086614,30.5669291339,31.5826771654,30.5905511811,30.8346456693,30.9173228346,30.8149606299,30.3818897638,29.7125984252,29.688976378,29.5590551181,30.0551181102,28.3307086614,28.6456692913,28.9173228346,28.2086614173,28.9606299213,27.6338582677,27.6338582677,27.6220472441,27.6023622047,28.4566929134,28.8976377953,28.7362204724,28.4842519685,28.0826771654,27.5196850394,27.2913385827,28.5551181102,28.1062992126,28.4015748031,28.3858267717,28.6220472441,27.4251968504,28.2440944882,28.1535433071,28.1535433071,27.9133858268,27.8897637795,28.2047244094,28.8622047244,28.1535433071,28.342519685,26.968503937,27.8818897638,28.9212598425,28.4212598425,26.8385826772,27.3700787402,27.6417322835,27.405511811,29.1771653543,28.6496062992,28.2755905512,28.1614173228,31.1062992126,30.031496063,29.7952755906,29.7519685039,29.2125984252,29.2677165354,30.4645669291,28.9606299213,27.9724409449,27.2559055118,27.4133858268,28.3503937008,27.7992125984,28.3622047244,27.2716535433,28.5275590551,27.5866141732,27.1220472441,26.9409448819,26.7952755906,26.1929133858,24.8228346457,25.7913385827,27.1811023622,27.8700787402,28.6496062992,28.2795275591,28.5590551181,27.6220472441,27.7440944882,27.7952755906,27.3543307087,27.1929133858,26.4409448819,27.531496063,26.6023622047,28.9527559055,29.157480315,26.3385826772,26.1181102362,26.8267716535,27.5275590551,27.3464566929,27.8385826772,27.968503937,28.0,28.4212598425,28.062992126,26.4015748031,26.874015748,27.3307086614,26.7598425197,26.7755905512,26.6850393701,27.1062992126,26.0511811024,25.7440944882,25.8858267717,25.4251968504,26.0708661417,25.3228346457,25.5,25.3228346457,25.4803149606,26.0748031496,25.6377952756,25.1220472441,25.2283464567,25.6614173228,24.9173228346,25.0866141732,25.0905511811,24.9881889764,25.0748031496,25.5590551181,24.5866141732,25.2913385827,25.5590551181,25.4173228346,25.342519685,25.7795275591,25.0433070866,24.9606299213,25.7637795276,26.1850393701,30.9842519685,29.3897637795,23.8779527559,23.8346456693,23.5039370079,23.8543307087,23.8582677165,23.8661417323
34.3661417323,33.6062992126,33.2125984252,33.7519685039,33.0511811024,33.3543307087,33.6338582677,33.7165354331,33.2204724409,30.6968503937,32.4330708661,31.6850393701,32.0118110236,30.4881889764,31.2322834646,32.7559055118,29.8267716535,29.7519685039,29.3582677165,28.6220472441,29.5551181102,31.4133858268,31.594488189,31.2716535433,30.5669291339,31.5,30.3700787402,30.7047244094,31.5354330709,30.7047244094,30.2834645669,29.3228346457,29.4527559055,29.5393700787,29.8346456693,27.7795275591,28.7480314961,28.9015748031,28.3858267717,29.0708661417,27.6062992126,27.8543307087,28.4133858268,27.8385826772,27.8937007874,29.1062992126,28.6653543307,28.8267716535,28.2362204724,27.8070866142,27.4094488189,28.6023622047,28.2559055118,28.8228346457,29.3385826772,28.3149606299,27.6771653543,28.8858267717,28.2755905512,28.2637795276,27.937007874,27.7362204724,27.7716535433,29.0984251969,28.7992125984,28.4448818898,27.0354330709,28.0866141732,28.9173228346,28.2677165354,26.4803149606,27.3188976378,27.3149606299,27.5708661417,29.1614173228,28.4291338583,28.2322834646,28.8031496063,31.3188976378,30.5157480315,30.8307086614,30.937007874,29.2086614173,29.6811023622,29.468503937,27.9842519685,27.8149606299,26.9881889764,27.6299212598,28.125984252,27.7440944882,28.2952755906,27.2952755906,28.1929133858,27.6850393701,26.8622047244,26.9094488189,26.8779527559,25.9527559055,24.8779527559,26.0472440945,27.1850393701,27.9803149606,28.5078740157,28.4448818898,28.3070866142,27.8779527559,27.657480315,27.8818897638,27.3818897638,26.6377952756,26.4645669291,27.1141732283,26.9133858268,28.8622047244,29.3188976378,26.7795275591,27.4291338583,27.6299212598,27.6417322835,26.9566929134,27.7677165354,27.6377952756,27.4921259843,28.8385826772,27.1299212598,26.6062992126,26.7322834646,26.9094488189,26.6456692913,26.8543307087,26.5078740157,26.8700787402,25.5118110236,26.2795275591,26.0511811024,25.9566929134,26.1377952756,25.2125984252,25.4803149606,25.3031496063,25.2165354331,25.5826771654,25.6732283465,25.157480315,25.3779527559,25.7204724409,24.8188976378,25.0236220472,25.094488189,24.9842519685,25.2362204724,25.4881889764,24.8149606299,25.5236220472,25.3661417323,25.5551181102,25.4921259843,25.3779527559,24.9763779528,25.031496063,25.968503937,26.2165354331,31.4842519685,28.7007874016,23.8307086614,23.8622047244,23.7362204724,23.9330708661,24.2755905512,24.4173228346
35.0157480315,33.6968503937,33.1338582677,33.7440944882,32.6929133858,33.4527559055,33.688976378,33.4803149606,32.7795275591,29.0118110236,32.5866141732,32.2204724409,32.3307086614,30.3464566929,31.874015748,32.3346456693,29.9330708661,31.4842519685,29.8582677165,29.1456692913,28.625984252,31.3385826772,30.6456692913,31.3779527559,30.6417322835,30.1771653543,31.9133858268,31.1929133858,32.1496062992,30.7755905512,30.0078740157,29.311023622,29.4566929134,29.5866141732,29.7362204724,28.0826771654,28.7283464567,28.5590551181,28.6102362205,29.2204724409,27.9488188976,27.8543307087,27.9763779528,27.8976377953,27.8937007874,29.1732283465,28.5275590551,28.7362204724,28.2086614173,28.3503937008,27.5472440945,28.5433070866,28.3346456693,28.5511811024,28.8937007874,28.3503937008,27.4488188976,29.1732283465,28.031496063,28.4094488189,27.7559055118,27.7401574803,27.688976378,29.5354330709,28.6417322835,28.4015748031,26.8897637795,28.0669291339,28.6023622047,28.6377952756,26.0984251969,27.3267716535,27.7165354331,27.5393700787,29.0196850394,28.7165354331,27.8897637795,28.5708661417,30.9645669291,30.7677165354,31.0157480315,30.9291338583,29.7362204724,29.3858267717,28.7716535433,27.5669291339,27.1811023622,27.2047244094,27.9803149606,27.7677165354,28.3700787402,27.9803149606,27.374015748,28.3070866142,27.6496062992,26.4212598425,26.7795275591,27.0826771654,25.9291338583,24.9645669291,26.0393700787,27.0787401575,27.5,29.2559055118,28.8031496063,28.1102362205,27.937007874,27.5708661417,27.4724409449,27.5669291339,27.2125984252,27.1771653543,26.9566929134,27.3267716535,28.7440944882,29.2165354331,26.7480314961,27.9763779528,28.2519685039,28.0157480315,27.3622047244,27.7992125984,27.3503937008,27.3858267717,27.9724409449,28.6929133858,26.5866141732,26.6653543307,26.562992126,26.9448818898,27.468503937,26.4409448819,26.6338582677,25.6968503937,26.1535433071,25.9881889764,26.5708661417,25.9409448819,25.5984251969,25.2283464567,25.1417322835,25.2047244094,25.5669291339,25.5748031496,25.2401574803,25.2519685039,25.688976378,25.1456692913,24.9842519685,24.9921259843,25.1338582677,25.3937007874,25.4448818898,25.1377952756,25.6338582677,25.7125984252,25.6771653543,25.4960629921,25.405511811,25.0039370079,24.9606299213,25.8149606299,25.9448818898,31.8070866142,29.3937007874,24.2362204724,23.8188976378,23.9251968504,24.3582677165,24.594488189,24.8700787402
35.1732283465,33.6732283465,32.6968503937,33.6653543307,33.2637795276,33.4251968504,33.6614173228,33.1968503937,32.2362204724,29.2401574803,31.7007874016,32.0196850394,31.8779527559,30.7755905512,32.1496062992,32.6811023622,29.8543307087,32.3543307087,30.4409448819,29.3818897638,27.9921259843,31.5708661417,30.7401574803,32.1968503937,31.5275590551,29.9448818898,31.5826771654,31.5118110236,30.8976377953,30.6692913386,29.9527559055,29.811023622,29.4921259843,29.3543307087,29.6220472441,28.1023622047,28.7401574803,29.7559055118,29.4015748031,29.0157480315,27.9763779528,27.9133858268,27.8779527559,28.3228346457,27.8307086614,29.1377952756,28.6614173228,28.1811023622,28.0787401575,27.4330708661,27.8582677165,28.5157480315,27.8267716535,28.2992125984,29.5708661417,28.125984252,27.4724409449,28.4645669291,28.4330708661,28.2677165354,27.5551181102,27.6968503937,27.8464566929,29.3700787402,28.2598425197,28.5196850394,26.8779527559,27.8188976378,28.6496062992,28.3503937008,25.8700787402,27.0039370079,27.5354330709,27.5551181102,28.6850393701,28.405511811,27.9212598425,28.8818897638,30.9133858268,31.1299212598,30.9960629921,31.0039370079,31.1850393701,29.1181102362,28.688976378,27.9133858268,27.2283464567,27.5,27.9724409449,28.2086614173,28.4842519685,27.5039370079,27.2874015748,28.3031496063,28.2204724409,26.6692913386,26.6732283465,26.9488188976,25.7480314961,24.8582677165,26.5275590551,27.1850393701,27.937007874,29.4606299213,29.342519685,28.4606299213,27.874015748,27.5551181102,28.1299212598,27.625984252,26.9409448819,26.9173228346,26.8149606299,27.2519685039,28.7401574803,29.0157480315,26.8700787402,27.7086614173,27.8149606299,27.8188976378,26.7047244094,27.4330708661,27.374015748,27.5787401575,28.1299212598,27.9173228346,27.1850393701,26.9724409449,26.9133858268,27.0,26.8267716535,26.2480314961,26.7322834646,26.0826771654,26.2677165354,26.1614173228,27.6181102362,25.7125984252,25.7874015748,25.0708661417,25.4763779528,25.1692913386,25.9133858268,25.5433070866,25.1929133858,25.0787401575,25.7086614173,25.094488189,24.9409448819,25.1496062992,25.4094488189,25.5826771654,25.3897637795,25.3818897638,25.4409448819,25.7086614173,25.7125984252,25.625984252,25.2716535433,24.8228346457,25.3149606299,25.7559055118,26.3897637795,32.1771653543,29.4409448819,24.4960629921,24.3503937008,23.8543307087,24.3503937008,24.7677165354,24.4409448819
