0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147
24.5931790499,36.2509135201,37.5834348356,27.1242387333,28.7563946407,25.412911084,26.5943970767,26.4823386114,27.4920828258,28.9695493301,25.3970767357,27.5322777101,27.3824604141,26.5395858709,32.1278928136,29.5042630938,26.1449451888,31.1181485993,25.730816078,25.149817296,27.1047503045,25.9415347138,28.2947624848,37.3739342266,26.0316686967,30.197320341,25.8830694275,32.8185140073,33.5931790499,32.4835566382,39.3337393423,34.1230207065,32.6784409257,27.4872107186,27.0316686967,23.6747868453,30.9293544458,27.2728380024,21.7137637028,20.946406821,23.3105968331,24.6577344702,26.1364190012,24.6613885505,26.2387332521,23.4920828258,21.9573690621,22.2070645554,24.1522533496,21.8599269184,23.0669914738,24.1035322777,21.1071863581,24.2959805116,24.0621193666,25.2825822168,23.7295980512,23.4019488429,24.0548112058,22.6029232643,22.5493300853,23.3507917174,24.2021924482,22.6504263094,25.0073081608,24.6906211937,22.87454324,22.7868453106,22.0901339829,24.7344701583,24.425091352,20.7868453106,23.9537149817,22.8696711328,21.4263093788,22.3032886724,20.784409257,21.9975639464,22.9037758831,21.7588306943,22.6138855055,21.3349573691,21.9366626066,19.4884287454,20.6577344702,20.4616321559,20.2886723508,20.509135201,18.5115712546,20.993909866,20.7478684531,20.0730816078,22.6004872107,23.3946406821,23.8270401949,18.7052375152,18.796589525,20.7210718636,20.6151035323,20.9707673569,20.8319123021,21.4226552984,20.6686967113,19.9074299635,20.3897685749,21.9366626066,20.700365408,20.4738124239,22.1084043849,20.0572472594,21.5298416565,21.1035322777,19.84409257,18.9805115713,21.0109622412,19.4116930572,21.2618757613,19.8428745432,21.3848964677,21.0365408039,19.2350791717,21.4068209501,20.9890377588,21.2472594397,20.2387332521,20.2618757613,20.4786845311,21.7088915956,19.6382460414,21.412911084,19.077953715,20.2959805116,20.4299634592,21.6260657734,21.8891595615,19.6820950061,19.6540803898,19.7466504263,20.1023142509,19.5943970767,20.6601705238,20.0694275274,19.9257003654,21.4043848965,19.9951278928,19.9622411693,19.6869671133,20.7831912302
24.3349573691,36.0791717418,38.4531059683,27.0401948843,27.7807551766,26.9658952497,26.4299634592,26.1132764921,27.3300852619,30.3629719854,25.0633373934,27.4457978076,26.8830694275,26.9330085262,31.7746650426,28.9257003654,25.7661388551,31.4738124239,25.3556638246,24.724725944,26.9257003654,26.2387332521,28.2302070646,36.7624847747,26.7040194884,30.6455542022,25.4993909866,32.9123020706,33.4579780755,32.3069427527,34.4945188794,33.3130328867,32.6650426309,27.6455542022,26.8282582217,22.6187576127,30.6723507917,27.3739342266,22.059683313,21.3775883069,23.9646772229,24.8574908648,25.359317905,25.8903775883,26.1522533496,24.1485992692,21.6772228989,23.1132764921,23.2241169306,20.8270401949,22.9902557856,24.5663824604,21.1912302071,23.9074299635,24.6431181486,25.3641900122,24.1303288672,22.928136419,24.2192448234,21.2971985384,21.4092570037,22.5663824604,24.2655298417,22.9829476248,24.8611449452,23.6735688185,23.1571254568,22.8769792935,22.4421437272,24.496954933,24.412911084,21.1193666261,23.8769792935,22.3995127893,21.3191230207,21.8099878197,20.915956151,21.3995127893,23.4628501827,20.8233861145,22.4336175396,21.3252131547,22.0523751523,19.5200974421,20.6808769793,20.5176613886,20.3203410475,20.3605359318,18.3252131547,20.9427527406,20.7271619976,20.3203410475,22.6419001218,23.3386114495,23.4409257004,18.8769792935,18.6138855055,20.5578562728,20.443361754,20.3483556638,20.9805115713,21.0475030451,20.7466504263,20.7088915956,20.4884287454,21.6869671133,20.8246041413,20.3836784409,22.2387332521,20.0803897686,21.4202192448,21.077953715,19.5176613886,19.6638246041,20.7624847747,19.3922046285,21.0755176614,19.3154689403,21.4482338611,20.8781973203,19.3008526188,21.2923264312,21.1266747868,21.1169305725,20.3666260658,20.7040194884,20.1266747868,21.9756394641,20.1729598051,20.778319123,19.0584652862,20.6662606577,20.5371498173,22.1035322777,21.7015834348,19.7149817296,19.7344701583,19.9110840438,19.652862363,19.5943970767,19.8550548112,20.0645554202,19.9671132765,21.2302070646,20.131546894,20.0194884287,19.3751522533,20.4238733252
25.1181485993,35.9853836784,37.6979293544,27.652862363,27.7527405603,28.6492082826,26.1875761267,26.8331303289,28.4835566382,31.1339829476,25.6333739342,27.4604141291,27.28136419,28.3605359318,31.6540803898,28.3264311815,25.197320341,30.922046285,25.9001218027,25.012180268,26.6029232643,26.0669914738,28.4323995128,36.1084043849,26.8221680877,31.2119366626,25.5115712546,33.0170523752,32.5736906212,32.4348355664,40.5858708892,32.8550548112,34.6784409257,27.0133982948,26.928136419,23.347137637,30.5517661389,27.1729598051,21.9829476248,22.7539585871,24.2959805116,25.1827040195,25.2898903776,26.7868453106,25.4859926918,25.4177831912,22.0803897686,23.5542021924,23.5834348356,21.4567600487,22.922046285,25.0133982948,22.4531059683,23.2070645554,24.012180268,25.3008526188,24.4665042631,22.9123020706,24.4543239951,21.1912302071,21.0243605359,21.6516443362,24.1084043849,23.3788063337,25.065773447,22.7381242387,23.6114494519,22.0560292326,23.0255785627,24.4811205847,24.371498173,21.2423873325,23.6723507917,22.341047503,21.4056029233,22.1035322777,21.2557856273,21.0292326431,23.2545676005,20.9049939099,22.3154689403,20.9013398295,22.0767356882,20.0499390987,21.3154689403,20.7149817296,20.4056029233,20.3325213155,17.9963459196,20.8660170524,20.8757612667,20.0974421437,22.9135200974,23.2241169306,23.6211936663,18.9147381242,18.2192448234,20.5347137637,20.5554202192,19.7015834348,21.5432399513,21.1181485993,20.946406821,22.0694275274,20.3179049939,21.5919610231,20.8842874543,20.1778319123,21.9037758831,20.1851400731,21.3995127893,21.0523751523,19.7271619976,20.006090134,20.7490864799,19.071863581,21.2265529842,19.2764920828,21.4238733252,20.9366626066,19.496954933,21.3349573691,21.5420219245,21.3154689403,20.5761266748,20.915956151,20.0426309379,21.8514007308,20.0791717418,20.4116930572,19.1059683313,20.7040194884,20.5700365408,22.1023142509,21.2862362972,19.8976857491,19.5956151035,19.9975639464,19.077953715,19.2959805116,19.7612667479,20.0353227771,19.9269183922,21.143727162,20.1668696711,20.3118148599,19.3252131547,20.9537149817
25.2545676005,36.2679658952,37.2082825822,27.8367844093,28.2618757613,30.1352009744,24.8514007308,28.3495736906,29.3727161998,31.3580998782,26.6711327649,27.8514007308,27.5846528624,32.2241169306,32.0207064555,27.4786845311,25.0012180268,30.515225335,25.5018270402,24.9037758831,26.5310596833,26.0730816078,29.0633373934,35.5444579781,27.4238733252,31.2898903776,25.5822168088,33.2168087698,32.1071863581,32.856272838,41.1790499391,32.5249695493,35.7393422655,26.5347137637,26.6102314251,22.5797807552,30.341047503,26.730816078,22.359317905,22.4859926918,23.3081607795,25.0097442144,25.6114494519,26.6918392205,23.8185140073,25.2557856273,23.0621193666,23.856272838,24.1388550548,21.8099878197,23.084043849,25.4165651644,23.7710109622,22.5919610231,23.8099878197,24.9841656516,24.802679659,23.2241169306,24.4384896468,21.9756394641,20.9683313033,21.0937880633,24.2168087698,23.5663824604,24.7539585871,22.7113276492,23.7576126675,21.7295980512,23.4750304507,24.8733252132,24.490864799,21.7612667479,23.4896467722,22.8233861145,21.9805115713,21.2046285018,20.7405602923,20.0694275274,22.6455542022,21.0901339829,22.1510353228,21.0572472594,22.4116930572,20.3349573691,20.8014616322,20.5456760049,20.269183922,20.5639464068,17.8842874543,21.1705237515,20.9171741778,20.1071863581,22.9841656516,23.4263093788,23.490864799,19.1412911084,18.1936662607,21.5590742996,20.8367844093,19.9829476248,22.0401948843,21.197320341,20.940316687,22.299634592,20.7320341048,21.658952497,21.1449451888,20.1193666261,21.700365408,20.1084043849,21.0998781973,20.9476248477,20.0182704019,19.5992691839,20.6906211937,19.0937880633,21.0426309379,19.3447015834,21.3483556638,21.3239951279,19.6686967113,21.3373934227,21.7624847747,20.9732034105,20.2362971985,20.4957369062,20.2557856273,21.5140073082,19.7052375152,19.9049939099,19.2119366626,20.4238733252,20.2436053593,21.9658952497,21.7454323995,19.9707673569,19.8136419001,20.1181485993,18.8855054811,19.2509135201,19.7661388551,20.0365408039,20.1522533496,21.3982947625,20.2143727162,20.4993909866,19.3946406821,20.862362972
25.484774665,36.1790499391,36.5797807552,27.6906211937,28.4981729598,31.5736906212,23.9537149817,29.4397076736,30.2740560292,31.6760048721,27.4750304507,27.7466504263,28.1778319123,33.275274056,31.5907429963,27.1364190012,24.9805115713,29.9013398295,25.6272838002,24.8647990256,26.5140073082,26.5103532278,29.2971985384,34.9354445798,27.574908648,31.1010962241,29.8769792935,33.8075517661,31.7442143727,32.7198538368,40.4494518879,32.9488428745,34.7892813642,25.9671132765,25.9317904994,22.4835566382,31.3239951279,26.4689403167,22.2204628502,22.2448233861,22.6236297199,25.8063337393,26.4299634592,26.293544458,23.5298416565,24.4104750305,23.5103532278,24.7113276492,24.6224116931,21.0133982948,23.1205846529,25.5578562728,24.1619975639,22.0353227771,23.8331303289,25.2253349574,24.9062119367,23.8124238733,24.2484774665,21.3191230207,21.3093788063,21.2484774665,24.0828258222,23.580998782,24.6309378806,22.7880633374,23.634591961,22.0012180268,23.4555420219,24.6394640682,24.7710109622,22.0450669915,24.7539585871,23.8660170524,22.1364190012,21.3641900122,21.0755176614,20.4555420219,21.2375152253,21.56272838,22.0828258222,20.7028014616,21.8599269184,20.0925700365,19.8063337393,20.3909866017,20.3239951279,20.3946406821,17.8489646772,20.7856272838,20.8172959805,20.4579780755,22.9500609013,23.2898903776,23.5822168088,19.1084043849,18.4116930572,22.5006090134,21.1364190012,20.5822168088,21.862362972,20.5822168088,21.0048721072,22.0438489647,21.4116930572,21.5334957369,20.9829476248,19.8855054811,21.3568818514,20.0097442144,21.2204628502,20.6394640682,20.1047503045,19.915956151,20.8343483557,18.6516443362,20.9074299635,19.5919610231,21.6881851401,21.4531059683,19.7990255786,21.1522533496,21.8355663825,21.3008526188,20.3239951279,20.2180267966,20.4202192448,20.7283800244,19.6224116931,19.3861144945,19.3313032887,19.9208282582,19.8063337393,22.149817296,21.6114494519,19.7088915956,20.4299634592,19.9232643118,18.9756394641,19.353227771,19.8233861145,19.9817295981,19.9147381242,21.143727162,20.2338611449,20.8721071864,19.4068209501,20.5773447016
25.6236297199,36.15590743,36.6126674787,27.778319123,27.3386114495,32.0803897686,24.9866017052,30.2350791717,30.8282582217,29.0584652862,27.3361753959,28.353227771,29.012180268,33.2046285018,30.8526187576,27.2606577345,24.802679659,30.3982947625,25.7149817296,24.6613885505,26.2411693057,26.7052375152,29.3507917174,34.5468940317,27.4579780755,31.3702801462,34.0621193666,33.8550548112,31.5639464068,33.2545676005,25.7880633374,32.275274056,33.509135201,25.8769792935,24.3325213155,22.5834348356,31.0207064555,26.2898903776,21.9707673569,22.227771011,23.7710109622,25.8258221681,26.568818514,25.6297198538,23.9025578563,23.7953714982,23.215590743,25.2107186358,25.2898903776,20.5103532278,23.1863580999,25.1193666261,23.4920828258,22.4409257004,23.0937880633,25.3008526188,25.0755176614,24.1680876979,24.2423873325,21.8733252132,21.7283800244,21.6151035323,23.9926918392,23.6333739342,23.9476248477,22.9805115713,22.4835566382,22.4811205847,23.5188794153,24.4981729598,25.0341047503,22.1693057247,25.1035322777,23.9963459196,21.4360535932,22.1388550548,21.7466504263,21.0889159562,20.7235079172,21.9549330085,21.8587088916,20.7697929354,20.8209500609,20.1339829476,19.2643118149,20.2362971985,20.1132764921,20.3544457978,18.0231425091,20.5724725944,20.652862363,20.7588306943,22.8879415347,23.365408039,23.5018270402,19.1412911084,18.4031668697,21.9037758831,21.2204628502,20.4799025579,22.0304506699,19.8477466504,21.0158343484,21.3483556638,21.6248477467,21.4518879415,20.9671132765,19.7576126675,20.43727162,20.0353227771,20.9926918392,20.4409257004,20.071863581,19.4323995128,20.9330085262,18.071863581,20.87454324,19.4518879415,21.6017052375,21.275274056,20.8051157125,20.9415347138,21.6577344702,21.6565164434,20.7028014616,20.7101096224,20.5529841657,20.341047503,19.928136419,19.6114494519,19.3970767357,19.5761266748,19.5395858709,22.0694275274,21.0207064555,19.4677222899,20.568818514,19.8842874543,18.9366626066,19.1693057247,20.1218026797,19.7137637028,19.8209500609,21.3848964677,20.3264311815,20.9390986602,19.3239951279,21.1108404385
25.6492082826,35.7210718636,37.0377588307,28.5724725944,26.0085261876,32.3885505481,26.8587088916,31.2143727162,31.4689403167,27.1242387333,26.3215590743,28.6260657734,29.7490864799,34.490864799,30.299634592,26.5846528624,25.299634592,28.0584652862,25.922046285,24.6918392205,26.431181486,26.5286236297,29.3239951279,34.3105968331,27.8611449452,31.4068209501,35.8769792935,33.7710109622,31.0828258222,34.341047503,36.6102314251,32.0475030451,33.2021924482,25.9001218027,23.5334957369,23.5176613886,31.5651644336,26.0767356882,21.9086479903,23.0365408039,26.0426309379,26.2825822168,26.0267965895,24.7393422655,23.4299634592,23.3666260658,23.6211936663,25.1193666261,25.7271619976,20.84409257,23.3897685749,24.9013398295,23.9110840438,22.7113276492,23.4616321559,25.5651644336,24.7978075518,24.4738124239,24.4421437272,22.1266747868,22.2228989038,21.8270401949,23.9598051157,23.5395858709,23.7295980512,22.9013398295,21.6479902558,22.7210718636,23.5992691839,24.4202192448,24.8855054811,22.6236297199,24.5213154689,23.2679658952,21.6784409257,22.3885505481,22.0231425091,21.580998782,20.8087697929,22.3666260658,21.7929354446,20.7880633374,20.1790499391,20.3215590743,19.1985383678,20.1071863581,20.3020706456,20.287454324,18.5420219245,20.587088916,21.059683313,20.9512789281,22.9549330085,23.2582216809,23.3142509135,19.2411693057,18.6881851401,21.5188794153,21.2959805116,20.1412911084,22.0,19.8172959805,21.0828258222,21.7088915956,21.9890377588,21.5395858709,20.8721071864,19.8708891596,19.7259439708,19.9451887942,21.0621193666,20.5274056029,19.2911084044,18.928136419,20.9171741778,18.1108404385,20.8246041413,19.2460414129,21.7576126675,21.4104750305,22.5468940317,20.8964677223,21.5249695493,21.7235079172,20.7795371498,21.0621193666,20.7283800244,20.2533495737,20.1193666261,19.3361753959,19.3958587089,19.730816078,19.3069427527,22.1010962241,20.5529841657,19.4616321559,21.0353227771,19.8903775883,19.4336175396,19.1473812424,20.1010962241,19.6272838002,20.0170523752,20.5079171742,20.2728380024,20.8270401949,19.4567600487,21.5542021924
25.4482338611,34.1266747868,34.203410475,28.9037758831,25.509135201,32.2131546894,28.5931790499,31.862362972,31.8099878197,26.5797807552,27.0389768575,28.3958587089,30.4604141291,34.7137637028,29.9890377588,26.9488428745,25.9305724726,26.006090134,25.1985383678,24.8526187576,26.3057247259,27.6954933009,28.8319123021,34.1266747868,27.8891595615,31.3373934227,36.4920828258,33.7929354446,31.4470158343,34.8915956151,32.0864799026,32.0401948843,34.1948842875,26.4518879415,22.8830694275,23.1644336175,30.8587088916,25.7466504263,22.353227771,23.1120584653,26.2058465286,24.7588306943,24.4165651644,24.0426309379,23.4993909866,23.5408038977,24.7758830694,24.6163215591,25.993909866,20.5712545676,24.1010962241,24.3763702801,22.4031668697,23.0073081608,23.2716199756,25.2423873325,24.9829476248,24.4482338611,24.3495736906,21.9062119367,22.0682095006,22.1961023143,24.2021924482,23.4543239951,23.5724725944,23.1705237515,21.8282582217,22.012180268,22.790499391,24.5931790499,24.9634591961,22.9354445798,24.484774665,22.5286236297,21.2570036541,21.6175395859,21.7503045067,21.6138855055,20.8721071864,22.5980511571,21.5140073082,21.0876979294,19.8806333739,20.8514007308,19.5456760049,20.371498173,20.1790499391,20.9232643118,18.5907429963,20.658952497,20.9269183922,21.4518879415,23.1388550548,23.3812423873,23.8197320341,19.3995127893,18.5249695493,20.6735688185,20.8964677223,20.6577344702,21.784409257,20.0036540804,20.9963459196,21.9634591961,21.9658952497,21.4177831912,20.6674786845,20.3203410475,19.1181485993,19.7990255786,21.0328867235,20.6236297199,19.6650426309,19.1680876979,20.8696711328,18.4092570037,20.8928136419,19.6577344702,21.5651644336,21.2911084044,22.3008526188,20.7563946407,21.2801461632,21.7466504263,20.8842874543,20.7539585871,20.9427527406,20.3422655298,21.0901339829,19.5773447016,19.5834348356,19.9610231425,19.197320341,22.4007308161,20.7819732034,19.2923264312,21.0962241169,19.9074299635,19.5432399513,18.8915956151,20.3507917174,19.5773447016,19.9013398295,20.3313032887,20.006090134,20.1230207065,19.1729598051,21.4811205847
18.7405602923,32.2618757613,31.8489646772,27.5225334957,26.1291108404,31.1132764921,30.1778319123,32.7332521315,32.2838002436,26.6881851401,27.4202192448,26.2362971985,31.1266747868,34.2509135201,29.5042630938,26.3057247259,34.6090133983,24.5140073082,25.149817296,24.3824604141,26.1461632156,25.5383678441,28.9269183922,33.712545676,27.6175395859,31.0170523752,36.6833130329,33.6626065773,32.0267965895,34.3166869671,27.7454323995,31.8879415347,34.3995127893,26.796589525,22.9951278928,25.2582216809,30.5980511571,25.3995127893,21.6163215591,23.1790499391,26.5383678441,24.5919610231,24.1607795371,23.9147381242,23.5980511571,22.640682095,24.2655298417,23.6138855055,26.1205846529,21.503045067,24.3958587089,24.6126674787,22.0414129111,22.9415347138,23.3276492083,25.4092570037,24.8428745432,24.6650426309,23.9293544458,22.4567600487,22.7015834348,22.1278928136,23.6126674787,23.1364190012,23.3544457978,23.7941534714,22.053593179,21.6540803898,21.9232643118,24.6419001218,24.6613885505,23.1851400731,23.3215590743,21.6565164434,22.0548112058,21.3580998782,21.4799025579,20.6613885505,20.2764920828,22.7295980512,21.3349573691,20.6613885505,19.8148599269,20.5213154689,19.8294762485,19.6114494519,20.3215590743,20.3057247259,18.712545676,20.7588306943,20.5517661389,21.5018270402,23.0194884287,23.4945188794,23.5481120585,19.4470158343,18.6272838002,20.5761266748,20.3057247259,20.71863581,21.7174177832,20.4409257004,20.1510353228,22.3045066991,22.0572472594,21.9476248477,20.4738124239,20.149817296,18.9488428745,19.8331303289,21.1035322777,20.3897685749,20.0377588307,19.3483556638,21.0621193666,18.7040194884,20.6686967113,19.7795371498,21.3702801462,21.0438489647,22.2862362972,20.7624847747,21.2472594397,22.053593179,20.209500609,20.0170523752,20.8172959805,20.5347137637,21.412911084,19.8635809988,19.4360535932,19.646772229,19.3958587089,22.3982947625,20.4007308161,19.4263093788,20.4567600487,20.006090134,19.6626065773,18.7758830694,20.484774665,19.5797807552,20.0243605359,20.1729598051,19.8416565164,19.5590742996,18.8794153471,21.4640682095
23.2557856273,31.9695493301,30.8952496955,25.9232643118,26.6626065773,30.9257003654,30.8550548112,32.8647990256,32.4713763703,26.9987819732,27.6662606577,26.0255785627,31.7868453106,33.8538367844,28.9257003654,25.2862362972,30.5188794153,24.1619975639,24.724725944,23.1546894032,25.9415347138,24.1546894032,29.1997563946,34.1193666261,28.0097442144,30.9732034105,37.4652862363,34.1412911084,34.0133982948,33.6601705238,31.0207064555,32.5237515225,35.3057247259,27.0243605359,23.3179049939,28.7758830694,30.4628501827,25.4384896468,21.4628501827,23.0791717418,26.3300852619,25.0828258222,24.6613885505,24.1120584653,23.5542021924,22.6747868453,23.8172959805,23.2509135201,26.1510353228,21.269183922,25.0462850183,24.8063337393,22.425091352,23.1802679659,23.5919610231,25.3032886724,24.6321559074,24.6942752741,23.9439707674,21.8258221681,23.2375152253,22.0316686967,24.1522533496,23.0803897686,23.3264311815,23.503045067,22.0073081608,22.0901339829,21.6029232643,24.4177831912,24.3958587089,23.3252131547,23.2070645554,21.7819732034,22.7393422655,21.4226552984,21.365408039,20.2594397077,20.1084043849,22.7929354446,21.3252131547,20.0097442144,19.2143727162,20.1096224117,19.856272838,19.3934226553,20.509135201,20.2375152253,18.7588306943,20.7478684531,20.5919610231,21.5079171742,22.8891595615,23.5188794153,23.7028014616,19.5895249695,18.993909866,20.4226552984,20.6613885505,21.2326431181,21.5846528624,19.9476248477,19.5164433618,22.3398294762,21.2387332521,21.5919610231,20.3836784409,19.6808769793,19.1278928136,19.7563946407,21.077953715,19.9257003654,20.4384896468,19.856272838,21.5079171742,19.0109622412,19.8428745432,20.0462850183,21.4652862363,20.9086479903,21.9987819732,20.7661388551,21.1169305725,21.8112058465,20.419001218,19.922046285,20.0438489647,20.9841656516,20.778319123,19.4543239951,18.706455542,19.2082825822,19.7381242387,22.3897685749,20.1814859927,19.8075517661,19.8428745432,20.1023142509,20.1729598051,18.3702801462,20.509135201,20.1510353228,20.149817296,20.706455542,19.8319123021,19.4031668697,18.7466504263,22.2533495737
