0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169
29.7076735688,36.2679658952,31.5858708892,37.2082825822,27.5225334957,30.4141291108,31.7819732034,32.3885505481,30.4774665043,23.9537149817,29.3727161998,27.9378806334,27.4604141291,27.5846528624,32.2241169306,30.8526187576,27.3105968331,25.0012180268,25.5018270402,25.012180268,26.5310596833,26.0730816078,29.0633373934,34.9354445798,27.4579780755,30.4713763703,27.9610231425,31.3702801462,26.8830694275,36.2326431181,34.640682095,41.1790499391,32.9488428745,31.9561510353,31.7685749086,26.6102314251,22.5797807552,30.341047503,24.6065773447,27.4786845311,22.359317905,23.5895249695,21.6540803898,24.6833130329,25.9914738124,25.0255785627,22.9147381242,22.1059683313,23.6138855055,25.2898903776,21.8099878197,23.084043849,25.5578562728,24.0974421437,23.0974421437,24.3349573691,25.2423873325,23.922046285,25.0755176614,24.6723507917,23.6029232643,23.9293544458,21.3093788063,21.0937880633,24.0828258222,23.0803897686,25.6126674787,23.9123020706,23.7576126675,21.9110840438,22.0974421437,23.4750304507,21.8112058465,24.2789281364,23.3252131547,24.1047503045,21.6565164434,20.856272838,21.3641900122,21.4567600487,22.0231425091,20.4555420219,20.2764920828,21.9549330085,22.1510353228,21.0572472594,22.4116930572,20.3349573691,19.5456760049,18.6674786845,21.3739342266,20.5456760049,20.3239951279,20.5639464068,20.3702801462,18.7588306943,21.1705237515,20.9171741778,20.4579780755,22.3142509135,22.9841656516,23.4043848965,19.1084043849,18.6272838002,21.1120584653,20.3057247259,20.922046285,20.7271619976,20.9269183922,20.9269183922,20.4409257004,20.9963459196,22.6041412911,20.7320341048,21.5797807552,21.658952497,19.8855054811,21.3568818514,21.8928136419,19.7563946407,20.7637028015,20.9926918392,20.4409257004,20.9841656516,20.8721071864,20.5773447016,20.8989037759,19.5018270402,20.6443361754,20.0182704019,21.0426309379,21.275274056,20.2131546894,21.4518879415,19.3800243605,20.7795371498,21.6845310597,20.0438489647,20.6431181486,20.1510353228,21.1327649208,19.4543239951,20.6894031669,19.9549330085,19.2119366626,19.3836784409,17.9890377588,19.8331303289,19.9208282582,20.3459196102,20.0633373934,20.0073081608,20.7076735688,19.6686967113,20.0584652862,19.7429963459,20.2362971985,19.8903775883,19.2509135201,19.9622411693,19.8233861145,18.8367844093,20.2338611449,19.9147381242,21.3325213155,20.3313032887,20.1717417783,20.4993909866,20.3995127893,19.4068209501
28.6090133983,36.1790499391,31.9147381242,36.5797807552,25.9232643118,30.6224116931,31.7892813642,32.2131546894,30.3958587089,24.9866017052,30.2740560292,26.203410475,27.8514007308,28.1778319123,33.275274056,30.299634592,26.7101096224,24.9805115713,25.6272838002,24.9037758831,26.5140073082,26.5103532278,29.2971985384,34.5468940317,27.8611449452,30.9439707674,28.0231425091,31.4068209501,26.6613885505,36.8392204629,33.8197320341,40.4494518879,32.275274056,31.9451887942,30.3751522533,25.9317904994,22.4835566382,31.3239951279,23.7941534714,28.7015834348,22.2204628502,22.4713763703,21.9987819732,23.7052375152,26.7697929354,25.6784409257,22.84409257,21.4957369062,23.2509135201,25.7271619976,21.0133982948,23.1205846529,25.1193666261,24.4543239951,22.9853836784,24.5395858709,25.4092570037,23.9805115713,24.7978075518,24.6504263094,23.2886723508,23.9439707674,21.7283800244,21.2484774665,23.9926918392,22.8952496955,25.5237515225,24.7454323995,23.634591961,22.0353227771,20.8830694275,23.4555420219,21.7917174178,24.1278928136,23.1912302071,24.2241169306,21.7819732034,21.6443361754,22.1388550548,20.9561510353,21.7503045067,21.0889159562,20.1084043849,22.3666260658,22.0828258222,20.7028014616,21.8599269184,20.0925700365,19.8294762485,18.7649208283,21.4421437272,20.3909866017,20.1132764921,20.3946406821,20.56272838,18.7417783191,20.7856272838,20.8172959805,20.7588306943,22.1875761267,22.9500609013,23.2423873325,19.1412911084,18.993909866,21.7076735688,20.6613885505,20.3081607795,20.8489646772,21.2423873325,20.6175395859,19.9476248477,20.1510353228,22.3848964677,21.4116930572,20.8781973203,21.5334957369,19.7576126675,20.43727162,22.2021924482,19.8282582217,20.6504263094,21.0621193666,20.5274056029,20.3057247259,21.0438489647,20.3848964677,21.0316686967,19.3775883069,20.7113276492,19.9683313033,20.9074299635,21.4104750305,20.2521315469,21.2253349574,19.4494518879,20.8842874543,20.6699147381,20.1205846529,20.9098660171,20.3970767357,20.7161997564,18.7588306943,20.9598051157,20.2070645554,19.3313032887,19.8367844093,18.0791717418,20.347137637,19.5761266748,20.3325213155,20.1948842875,20.3203410475,20.4981729598,19.8380024361,20.2582216809,19.8526187576,20.4689403167,19.9074299635,19.353227771,19.7040194884,20.1218026797,18.6686967113,20.2180267966,19.8209500609,21.6492082826,20.1729598051,20.0621193666,20.8721071864,20.3970767357,19.3239951279
28.862362972,36.15590743,32.8976857491,36.6126674787,24.8477466504,30.6954933009,31.71863581,31.1132764921,29.8416565164,26.8587088916,30.8282582217,26.287454324,27.7466504263,29.012180268,33.2046285018,29.9890377588,26.3678440926,24.802679659,25.7149817296,24.8647990256,26.2411693057,26.7052375152,29.3507917174,34.3105968331,27.8891595615,29.131546894,28.5042630938,31.3373934227,26.1144945189,37.4604141291,35.5383678441,25.7880633374,32.0475030451,31.6747868453,29.3361753959,24.3325213155,22.5834348356,31.0207064555,23.0328867235,27.2484774665,21.9707673569,20.9622411693,22.371498173,23.131546894,26.5115712546,25.8769792935,23.4920828258,21.5858708892,24.0231425091,25.993909866,20.5103532278,23.1863580999,24.9013398295,24.9951278928,23.2484774665,24.556638246,25.3032886724,24.1327649208,24.9829476248,24.3191230207,22.6455542022,24.2265529842,22.2228989038,21.6151035323,23.9598051157,22.8587088916,25.1936662607,24.8550548112,22.4835566382,22.4725943971,20.8197320341,23.5188794153,21.3118148599,23.7040194884,23.6236297199,23.8392204629,22.3142509135,21.4348355664,22.3885505481,20.5066991474,21.4799025579,21.580998782,20.6540803898,22.5980511571,21.8587088916,20.7697929354,20.8209500609,20.1339829476,19.856272838,19.0207064555,21.1887941535,20.2362971985,20.3020706456,20.3544457978,20.5542021924,18.993909866,20.5724725944,20.652862363,20.9512789281,22.1900121803,22.8879415347,23.2253349574,19.2411693057,19.3788063337,21.7600487211,20.9025578563,20.1181485993,21.0414129111,21.4713763703,20.9013398295,19.5676004872,19.5164433618,22.1961023143,21.6248477467,20.0803897686,21.4518879415,19.8708891596,19.7259439708,22.2643118149,20.1571254568,20.7454323995,21.0328867235,20.6236297199,19.772228989,21.4141291108,20.4299634592,20.8794153471,19.5261875761,20.4799025579,19.7758830694,20.87454324,21.2911084044,19.6979293544,21.371498173,19.2667478685,20.209500609,20.2496954933,20.2679658952,20.1010962241,20.8038976857,19.8233861145,18.6796589525,20.8830694275,20.2643118149,19.3970767357,19.7174177832,18.203410475,20.0730816078,19.730816078,20.4214372716,20.1035322777,20.4043848965,20.6260657734,19.8891595615,20.0791717418,19.71863581,20.4019488429,20.006090134,19.1693057247,19.5274056029,20.1010962241,18.8416565164,20.2009744214,20.0170523752,21.412911084,20.706455542,20.0267965895,20.9390986602,20.4202192448,19.4567600487
29.8246041413,35.7210718636,33.1266747868,37.0377588307,25.3641900122,28.7563946407,31.6370280146,30.9257003654,29.5676004872,28.5931790499,31.4689403167,27.7210718636,28.353227771,29.7490864799,34.490864799,29.5042630938,26.3909866017,25.299634592,25.922046285,24.6613885505,26.431181486,26.5286236297,29.3239951279,34.1266747868,27.6175395859,27.1412911084,28.3690621194,31.0170523752,25.8830694275,36.6845310597,35.6869671133,36.6102314251,32.0401948843,32.3824604141,28.7941534714,23.5334957369,23.5176613886,31.5651644336,22.1120584653,27.2728380024,21.9086479903,20.946406821,23.3105968331,24.6577344702,26.1364190012,26.2387332521,24.1485992692,21.9573690621,24.6272838002,26.1205846529,20.84409257,23.3897685749,24.3763702801,25.3605359318,23.7028014616,24.9317904994,24.9841656516,24.2387332521,24.8428745432,24.3215590743,22.802679659,23.4092570037,22.0682095006,21.8270401949,24.2021924482,22.8416565164,24.8514007308,24.6906211937,21.6479902558,22.856272838,21.0073081608,23.5992691839,20.946406821,23.7624847747,23.5590742996,23.3154689403,21.4263093788,20.9098660171,21.6175395859,20.4056029233,21.365408039,21.6138855055,21.1875761267,22.7295980512,21.7929354446,20.7880633374,20.1790499391,20.3215590743,20.2838002436,19.3629719854,20.9001218027,20.1071863581,20.1790499391,20.287454324,20.3580998782,19.1522533496,20.587088916,21.059683313,21.4518879415,22.3702801462,22.9549330085,23.2387332521,19.3995127893,19.9451887942,21.8416565164,20.9707673569,19.778319123,21.2009744214,20.8319123021,20.8477466504,19.6894031669,19.3617539586,22.0450669915,21.9890377588,19.2862362972,21.5395858709,20.3203410475,19.1181485993,22.4043848965,20.0560292326,20.6309378806,21.1035322777,20.3897685749,19.7868453106,21.4799025579,20.2679658952,21.0109622412,19.4116930572,20.215590743,19.7466504263,20.8246041413,21.0438489647,19.772228989,21.4068209501,18.9110840438,20.419001218,20.7235079172,20.5018270402,19.7734470158,21.1887941535,19.3495736906,18.868453106,20.8246041413,20.2777101096,19.3958587089,20.3763702801,18.4543239951,20.5066991474,19.9610231425,20.4457978076,20.2959805116,20.4299634592,20.3885505481,19.6820950061,20.3520097442,20.4506699147,20.3057247259,20.1023142509,19.1473812424,19.2070645554,20.3507917174,19.1741778319,20.0694275274,19.9013398295,21.5517661389,20.299634592,19.9951278928,20.8270401949,20.5249695493,19.1729598051
30.9037758831,34.1266747868,30.8306942753,34.203410475,26.6211936663,27.7807551766,31.5615103532,31.425091352,29.8112058465,30.1778319123,31.8099878197,28.9695493301,28.6260657734,30.4604141291,34.7137637028,28.9257003654,27.0073081608,25.9305724726,25.1985383678,24.6918392205,26.3057247259,27.6954933009,28.8319123021,33.712545676,28.0097442144,25.3313032887,28.4226552984,30.9732034105,25.4993909866,37.1291108404,36.1278928136,32.0864799026,31.8879415347,33.9537149817,28.9732034105,22.8830694275,23.1644336175,30.8587088916,22.1352009744,27.3739342266,22.353227771,21.3775883069,23.9646772229,24.8574908648,25.359317905,26.1522533496,25.4177831912,21.6772228989,23.2302070646,26.1510353228,20.5712545676,24.1010962241,24.6126674787,24.0158343484,24.0073081608,24.0706455542,24.7332521315,24.7028014616,24.6321559074,24.7649208283,22.4153471376,22.6029232643,22.7015834348,22.1961023143,23.6126674787,23.071863581,24.6211936663,23.6735688185,21.8282582217,23.3617539586,21.4738124239,22.790499391,20.6577344702,23.2898903776,23.6552984166,23.2545676005,21.3191230207,20.7953714982,21.3580998782,20.7892813642,21.6211936663,20.6613885505,21.8489646772,22.7929354446,21.5140073082,21.0876979294,19.8806333739,20.8514007308,20.646772229,19.4177831912,20.9902557856,20.371498173,20.3215590743,20.9232643118,20.4616321559,19.4689403167,20.658952497,20.9269183922,21.5018270402,22.9317904994,23.1388550548,23.2959805116,19.4470158343,19.4482338611,22.0986601705,20.3483556638,19.5334957369,21.1388550548,20.9805115713,20.9183922046,19.3970767357,19.3349573691,22.0864799026,21.9658952497,19.3032886724,21.4177831912,20.149817296,18.9488428745,22.2594397077,20.4616321559,20.5322777101,21.077953715,19.9257003654,19.4080389769,20.802679659,20.2557856273,20.7624847747,19.3922046285,20.0803897686,19.3922046285,20.8928136419,20.9086479903,19.5468940317,21.2923264312,19.2350791717,20.5274056029,20.6613885505,19.9914738124,19.8660170524,20.4518879415,19.4397076736,18.8380024361,20.9293544458,20.4031668697,19.5834348356,20.4531059683,18.7052375152,20.2959805116,19.646772229,20.3556638246,20.2704019488,20.5371498173,19.9829476248,19.7149817296,20.0950060901,19.9317904994,20.2107186358,19.652862363,18.8915956151,18.6845310597,20.484774665,18.8708891596,20.0645554202,20.0243605359,21.4043848965,20.6419001218,20.131546894,20.1230207065,20.4104750305,18.8794153471
32.2058465286,32.2618757613,28.4957369062,31.8489646772,27.8867235079,27.7527405603,29.2704019488,32.1900121803,29.6431181486,30.8550548112,32.2838002436,30.3629719854,28.3958587089,31.1266747868,34.2509135201,28.3264311815,26.7551766139,34.6090133983,25.149817296,24.8526187576,26.1461632156,25.5383678441,28.9269183922,34.1193666261,27.3020706456,24.4494518879,28.4811205847,30.2728380024,25.5115712546,36.7040194884,36.7149817296,27.7454323995,32.5237515225,34.0292326431,29.7588306943,22.9951278928,25.2582216809,30.5980511571,22.0962241169,27.1729598051,21.6163215591,22.7539585871,24.2959805116,25.1827040195,25.2898903776,25.4859926918,25.2557856273,22.0803897686,23.7880633374,26.4482338611,21.503045067,24.3958587089,24.8063337393,22.4238733252,24.2314250914,23.2472594397,25.4202192448,25.3447015834,24.7271619976,23.8258221681,22.347137637,21.2971985384,23.2375152253,22.1278928136,24.1522533496,22.4774665043,24.6796589525,22.7381242387,22.053593179,23.5858708892,21.3118148599,21.9232643118,20.3995127893,23.3946406821,23.9208282582,23.0475030451,21.4056029233,21.7235079172,21.4226552984,21.1778319123,21.8976857491,20.2594397077,22.0414129111,22.7283800244,21.3349573691,20.6613885505,19.8148599269,20.5213154689,20.7040194884,19.7222898904,20.6090133983,19.6114494519,20.509135201,20.3057247259,20.2947624848,19.3398294762,20.7588306943,20.5517661389,21.5079171742,23.1802679659,23.0194884287,23.1108404385,19.5895249695,19.0864799026,22.0548112058,19.7015834348,20.0876979294,21.3142509135,21.5432399513,20.9805115713,19.6492082826,19.6845310597,22.0133982948,22.0572472594,19.7101096224,21.9476248477,19.6808769793,19.1278928136,21.9732034105,20.7283800244,20.0584652862,21.0523751523,19.5980511571,19.4336175396,20.2302070646,20.2070645554,20.7490864799,19.071863581,20.0803897686,18.9183922046,20.6686967113,21.0730816078,19.2131546894,21.3349573691,19.634591961,21.2984165652,20.0609013398,19.940316687,20.0292326431,20.1339829476,19.6382460414,19.1193666261,21.0669914738,20.5651644336,19.4360535932,20.2533495737,19.0097442144,20.6662606577,19.2082825822,19.9208282582,20.2448233861,20.5700365408,19.9756394641,19.8976857491,19.6479902558,19.4628501827,20.1571254568,19.077953715,18.7758830694,18.4348355664,20.509135201,19.077953715,20.0353227771,20.149817296,21.2302070646,20.0828258222,20.1668696711,19.5590742996,20.7174177832,18.7466504263
31.8124238733,31.9695493301,27.5943970767,30.8952496955,28.9086479903,28.2618757613,27.5505481121,32.2850182704,30.1522533496,31.987819732,32.4713763703,31.1339829476,26.2362971985,31.7868453106,33.8538367844,27.4786845311,26.9829476248,30.5188794153,24.724725944,24.3824604141,25.9415347138,24.1546894032,29.1997563946,33.3191230207,27.221680877,24.6175395859,28.9987819732,30.2862362972,25.5822168088,36.9512789281,36.3897685749,31.0207064555,32.7710109622,34.3313032887,30.0158343484,23.3179049939,28.7758830694,30.4628501827,21.7320341048,26.730816078,21.4628501827,22.4859926918,23.3081607795,25.0097442144,25.6114494519,23.8185140073,24.4104750305,23.0621193666,24.227771011,25.6723507917,21.269183922,25.0462850183,23.2509135201,22.1887941535,25.1096224117,22.0292326431,24.9001218027,25.3154689403,24.4226552984,22.8757612667,22.3763702801,21.1912302071,23.6443361754,22.0316686967,24.2107186358,22.2728380024,24.568818514,22.7113276492,22.0073081608,23.0633373934,20.6601705238,21.6029232643,20.1364190012,22.6894031669,23.9537149817,23.7515225335,21.9805115713,22.0998781973,22.12545676,21.6236297199,22.0450669915,20.7028014616,22.6126674787,22.6114494519,21.3252131547,20.0097442144,19.2143727162,20.1096224117,20.7563946407,19.7478684531,20.4616321559,19.3934226553,20.3605359318,20.2375152253,20.1485992692,20.0475030451,20.7478684531,20.5919610231,21.4762484775,23.3434835566,22.8891595615,22.197320341,19.6090133983,19.7210718636,21.5505481121,19.9829476248,20.0937880633,21.5444579781,22.0401948843,20.9305724726,20.628501827,19.8635809988,21.1875761267,21.2387332521,19.9561510353,21.5919610231,19.6138855055,19.006090134,21.587088916,21.3641900122,19.8136419001,20.9476248477,18.9768574909,19.0669914738,19.9366626066,19.5200974421,20.6906211937,19.0937880633,19.8197320341,19.0133982948,19.8428745432,21.0462850183,19.3995127893,21.3373934227,20.2436053593,21.3800243605,20.1388550548,20.1680876979,20.2350791717,20.1619975639,20.1729598051,19.3020706456,21.1851400731,20.6077953715,18.706455542,19.84409257,19.3069427527,20.7040194884,18.8221680877,20.1157125457,20.3836784409,20.2436053593,20.1181485993,19.9707673569,19.5663824604,19.0974421437,20.3288672351,18.8855054811,18.3702801462,18.419001218,20.2740560292,18.6638246041,20.0365408039,20.4043848965,21.143727162,19.6626065773,20.2143727162,19.4031668697,20.2350791717,18.6370280146
29.371498173,31.3179049939,28.4421437272,30.7052375152,29.0231425091,28.4981729598,26.4153471376,32.137637028,30.3788063337,33.0,32.6297198538,31.3580998782,26.0255785627,32.2862362972,33.4104750305,27.1364190012,26.5200974421,32.1449451888,25.012180268,23.1546894032,26.2387332521,23.4007308161,29.341047503,32.0012180268,27.0341047503,24.8611449452,29.0998781973,30.6565164434,29.8769792935,36.6419001218,35.8976857491,39.4323995128,32.8233861145,33.8075517661,32.1084043849,23.6747868453,31.3227771011,29.7442143727,22.0584652862,26.4689403167,20.8818514007,22.2448233861,22.6236297199,25.8063337393,26.4299634592,23.5298416565,23.7953714982,23.5103532278,25.3179049939,23.8611449452,21.0645554202,25.1607795371,22.1084043849,22.2046285018,23.5663824604,22.1753958587,25.0353227771,24.5261875761,24.4640682095,21.8197320341,21.9841656516,21.9756394641,23.8842874543,21.8794153471,23.7369062119,22.4543239951,24.371498173,22.7880633374,22.1071863581,22.221680877,20.2265529842,21.5590742996,19.5213154689,22.8611449452,23.8769792935,23.3300852619,22.1364190012,22.0609013398,22.2582216809,21.4616321559,22.5018270402,21.3629719854,23.1802679659,22.6077953715,20.9013398295,19.6760048721,19.4884287454,20.2289890378,20.4092570037,19.4531059683,20.5176613886,18.6552984166,20.3325213155,20.0182704019,19.802679659,20.0475030451,20.7271619976,19.9914738124,21.4555420219,23.3775883069,22.5066991474,21.4823386114,19.3020706456,20.1120584653,21.0475030451,20.5822168088,19.8185140073,21.6272838002,21.862362972,20.6163215591,20.7417783191,19.4933008526,20.3897685749,20.7527405603,20.6711327649,21.2070645554,19.5018270402,19.0158343484,21.3288672351,21.3300852619,19.6236297199,20.6394640682,19.0328867235,19.12545676,20.2509135201,19.3544457978,20.8343483557,18.6516443362,19.7978075518,18.4202192448,19.3154689403,20.9829476248,19.2375152253,21.1522533496,19.8514007308,20.4116930572,20.4786845311,20.0499390987,20.1961023143,20.5140073082,20.0791717418,19.7405602923,21.0353227771,20.4275274056,18.4457978076,19.425091352,19.5334957369,20.4238733252,18.9914738124,19.8246041413,20.0913520097,19.8063337393,20.1741778319,19.7088915956,19.6540803898,19.0876979294,20.784409257,18.9756394641,18.7161997564,18.5456760049,20.0207064555,18.6443361754,19.9817295981,20.203410475,21.3982947625,19.5785627284,20.2338611449,19.0876979294,19.7624847747,18.4445797808
28.5432399513,31.8538367844,29.419001218,30.2082825822,27.1291108404,27.3386114495,25.1766138855,32.299634592,27.8928136419,33.7295980512,32.8940316687,31.6760048721,25.7028014616,32.6333739342,33.0353227771,27.2606577345,26.1449451888,31.1181485993,24.9037758831,22.4177831912,26.0669914738,23.5639464068,29.3970767357,31.0901339829,26.9537149817,25.43727162,29.1449451888,31.053593179,34.0621193666,36.4640682095,35.9293544458,31.8489646772,33.3191230207,33.9257003654,33.3008526188,22.6187576127,29.4786845311,30.5213154689,22.3179049939,26.2898903776,20.8355663825,22.227771011,23.7710109622,25.8258221681,26.568818514,23.9025578563,23.3666260658,23.215590743,24.7028014616,22.5992691839,21.8806333739,24.1205846529,21.1644336175,22.1047503045,22.443361754,22.87454324,24.9305724726,25.2971985384,24.0292326431,22.0767356882,22.5919610231,21.3191230207,24.0706455542,22.1144945189,24.2228989038,21.5883069428,24.1023142509,22.9805115713,22.2728380024,21.6845310597,20.0280146163,21.275274056,19.353227771,22.724725944,23.6723507917,22.8696711328,21.4360535932,21.712545676,21.2971985384,20.8051157125,22.6394640682,21.8477466504,22.6382460414,22.4579780755,21.0572472594,19.1278928136,19.5200974421,20.4445797808,20.8355663825,19.4665042631,20.7149817296,18.568818514,20.5639464068,19.9610231425,19.4567600487,20.2570036541,20.8757612667,19.8038976857,21.4616321559,23.347137637,22.5895249695,21.5006090134,19.4591961023,20.7210718636,20.6151035323,20.4799025579,20.3288672351,21.5639464068,22.0304506699,20.3641900122,20.4665042631,19.4506699147,20.4884287454,20.359317905,20.419001218,20.8136419001,19.8855054811,19.509135201,21.1644336175,20.3118148599,19.7320341048,20.4409257004,19.2362971985,18.8855054811,20.1961023143,19.0682095006,20.9330085262,18.071863581,19.8099878197,18.1961023143,19.2764920828,20.7161997564,19.3386114495,20.9415347138,19.7758830694,20.2618757613,20.1266747868,19.790499391,20.0207064555,20.7222898904,19.7052375152,19.7271619976,21.1485992692,20.1595615104,18.3130328867,19.1193666261,19.6662606577,19.9208282582,18.5322777101,19.3520097442,19.293544458,19.5395858709,19.7417783191,19.4677222899,19.7344701583,19.059683313,20.203410475,18.9366626066,18.4384896468,18.7478684531,19.28136419,18.6017052375,19.7137637028,20.1827040195,21.143727162,19.6382460414,20.3264311815,18.9573690621,19.4056029233,18.5980511571
28.2253349574,31.5858708892,31.0316686967,31.149817296,26.3093788063,26.0085261876,24.1936662607,32.9062119367,27.4762484775,33.634591961,32.9719853837,29.0584652862,26.0414129111,32.0414129111,33.0097442144,26.5846528624,25.7661388551,31.4738124239,24.8647990256,22.658952497,26.0730816078,24.341047503,29.9232643118,30.6650426309,27.3203410475,26.0901339829,29.0803897686,31.2362971985,35.8769792935,36.2143727162,35.4482338611,30.3020706456,34.7222898904,34.0304506699,34.8197320341,23.347137637,27.3520097442,31.3045066991,22.0791717418,26.0767356882,21.640682095,23.0365408039,26.0426309379,26.2825822168,26.0267965895,23.4299634592,23.5408038977,23.6211936663,23.1449451888,22.2423873325,22.1425091352,22.6175395859,21.1071863581,21.0194884287,22.2838002436,23.0925700365,25.8855054811,24.772228989,24.5066991474,22.197320341,22.0572472594,21.8733252132,24.3069427527,22.5992691839,23.3252131547,21.5408038977,24.2716199756,22.9013398295,22.5103532278,21.5054811206,20.1607795371,21.4323995128,19.4531059683,22.5493300853,23.4896467722,22.3995127893,21.6784409257,21.5615103532,20.7320341048,20.3946406821,23.1802679659,22.4019488429,21.5700365408,22.4920828258,20.7028014616,18.6004872107,20.0499390987,20.3325213155,20.7417783191,20.0876979294,20.5456760049,18.7758830694,20.3946406821,19.9415347138,19.1668696711,20.3958587089,20.9171741778,19.6784409257,21.3191230207,23.3568818514,22.5188794153,21.934226553,19.4799025579,20.5578562728,20.443361754,20.1412911084,20.7892813642,22.1693057247,22.0,20.8294762485,20.6114494519,19.6443361754,20.3179049939,20.371498173,19.9622411693,20.28136419,20.1352009744,19.4677222899,20.1961023143,20.6930572473,19.3958587089,20.5274056029,19.3812423873,18.7953714982,20.3970767357,18.8989037759,20.9171741778,18.1108404385,19.8806333739,18.3641900122,19.3447015834,20.4945188794,19.3361753959,20.8964677223,20.2387332521,20.7040194884,20.0426309379,19.568818514,20.0572472594,20.8806333739,19.6224116931,19.7235079172,20.9110840438,19.6784409257,18.5517661389,19.1485992692,19.6967113276,19.5761266748,18.2557856273,19.3154689403,18.7758830694,19.3069427527,19.5773447016,19.4616321559,19.5956151035,19.371498173,19.503045067,19.4336175396,18.5493300853,19.0,18.8367844093,18.6333739342,19.6272838002,20.0511571255,21.3848964677,19.8282582217,20.2728380024,18.8148599269,19.1485992692,18.7527405603
