0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169
51.65,64.4464285714,56.1142857143,64.1607142857,47.225,53.1357142857,55.3821428571,55.6035714286,51.8357142857,38.1178571429,49.0785714286,46.7642857143,46.6285714286,45.1857142857,53.0142857143,52.6071428571,45.0464285714,41.5892857143,41.4821428571,40.9428571429,43.575,42.7392857143,47.2785714286,59.2178571429,45.2357142857,50.4571428571,45.3321428571,52.1071428571,42.7821428571,59.2714285714,55.925,66.0642857143,56.3285714286,56.3928571429,55.9178571429,44.0285714286,34.4928571429,49.6178571429,39.0142857143,47.2071428571,35.0214285714,35.7321428571,33.1464285714,37.275,38.9535714286,39.5607142857,35.825,34.3678571429,36.9464285714,40.5285714286,34.7178571429,36.3035714286,40.3642857143,37.8607142857,36.0285714286,38.4607142857,40.7071428571,38.5535714286,40.2785714286,39.0071428571,37.7107142857,38.1428571429,32.85,32.8821428571,38.8142857143,36.4892857143,41.5142857143,38.625,38.2964285714,35.0178571429,35.0357142857,36.825,34.5892857143,39.9607142857,37.6,38.0642857143,33.8357142857,32.6178571429,33.8214285714,33.9428571429,35.6857142857,31.8142857143,31.7571428571,34.9678571429,35.5392857143,33.15,36.65,31.5321428571,29.9964285714,28.5,33.8107142857,32.3035714286,31.6821428571,32.1892857143,30.8821428571,28.6607142857,33.5107142857,33.0678571429,31.8285714286,35.5607142857,36.4464285714,37.625,29.1285714286,27.9607142857,32.7392857143,31.3107142857,33.475,32.25,32.3464285714,32.2214285714,32.2607142857,33.1107142857,35.7892857143,32.3428571429,34.325,34.4607142857,30.6428571429,33.9214285714,34.4642857143,30.8178571429,32.5035714286,32.7678571429,31.7142857143,33.3178571429,32.7642857143,32.5285714286,33.15,30.0285714286,32.4035714286,30.9892857143,33.0821428571,33.6142857143,31.5321428571,33.8214285714,29.65,32.625,33.7607142857,31.1142857143,32.1392857143,30.6607142857,32.6928571429,29.6035714286,32.3321428571,30.5142857143,28.9071428571,28.75,26.9464285714,30.6071428571,31.2714285714,31.7071428571,31.1071428571,31.3464285714,32.425,29.7321428571,30.3035714286,30.3285714286,31.325,30.6714285714,29.5285714286,31.1178571429,30.0035714286,28.4464285714,31.9571428571,30.5035714286,33.7714285714,31.5392857143,30.8392857143,31.525,31.0142857143,30.2142857143
49.9214285714,63.8892857143,56.8285714286,63.2321428571,43.9035714286,53.5214285714,56.05,56.1892857143,52.0642857143,40.4535714286,51.3928571429,42.6678571429,47.475,46.2321428571,55.475,51.4571428571,44.2071428571,41.4,41.8928571429,40.9178571429,43.4892857143,43.725,47.675,58.5821428571,46.2785714286,51.4821428571,45.375,51.8178571429,42.7464285714,58.3642857143,52.6678571429,64.8571428571,55.0357142857,55.9785714286,53.9142857143,40.8928571429,34.4785714286,51.1321428571,37.8214285714,49.0714285714,34.5892857143,33.0964285714,34.0071428571,35.3214285714,42.0107142857,40.75,35.8714285714,33.7285714286,36.2107142857,41.3464285714,33.0535714286,36.5392857143,40.1,38.6428571429,35.9607142857,38.9571428571,41.0357142857,38.875,40.0285714286,38.9785714286,37.3678571429,38.2714285714,33.5357142857,33.0285714286,38.5607142857,36.2892857143,41.4357142857,39.9392857143,38.4357142857,34.9321428571,32.6964285714,36.8821428571,34.8964285714,39.5321428571,37.2785714286,39.0857142857,34.6071428571,34.0785714286,35.2107142857,33.4678571429,35.6607142857,33.125,31.2821428571,35.85,35.6571428571,32.55,35.2857142857,30.1214285714,30.5892857143,28.5892857143,34.125,31.8535714286,31.1321428571,31.6785714286,31.6035714286,28.7571428571,32.8214285714,32.7178571429,32.4107142857,35.3964285714,36.25,37.7214285714,28.8428571429,28.2464285714,34.3285714286,32.3892857143,32.1107142857,32.5642857143,33.3142857143,31.4285714286,30.7357142857,31.4785714286,35.0,33.5464285714,33.2035714286,33.7892857143,30.5035714286,31.6357142857,35.1285714286,31.2571428571,32.125,32.9428571429,31.9892857143,31.5392857143,33.1607142857,32.0607142857,33.4142857143,30.0714285714,32.4428571429,30.8928571429,32.6535714286,33.7892857143,31.2428571429,33.1964285714,29.6571428571,32.2035714286,32.3321428571,30.9714285714,32.5892857143,31.55,32.3285714286,28.0785714286,33.0607142857,31.0928571429,29.0571428571,29.8214285714,26.7107142857,31.3464285714,30.6,31.525,31.2535714286,31.4678571429,32.0321428571,30.3642857143,31.5142857143,30.0107142857,31.8535714286,30.9071428571,29.4642857143,30.5928571429,30.8142857143,28.0928571429,31.6678571429,30.4392857143,34.4428571429,30.6892857143,30.8892857143,32.7571428571,30.9142857143,29.7357142857
50.3678571429,64.3821428571,57.8714285714,63.2392857143,42.0428571429,54.4035714286,56.3357142857,54.6,51.4214285714,44.5285714286,51.85,42.2428571429,46.8464285714,47.8035714286,56.7892857143,51.0785714286,43.4821428571,41.1,42.1714285714,40.8357142857,42.7,44.1035714286,47.8892857143,58.4214285714,46.6178571429,48.6678571429,46.1678571429,51.9071428571,41.9392857143,60.3857142857,56.3892857143,41.6964285714,54.9892857143,55.7357142857,51.9892857143,37.6714285714,34.6535714286,51.2214285714,36.7857142857,46.3785714286,34.275,30.9607142857,34.7,34.425,41.6214285714,41.35,36.7428571429,33.85,37.475,42.0642857143,32.0535714286,36.55,39.9642857143,39.7321428571,36.425,39.1464285714,40.9607142857,39.1785714286,40.2107142857,38.4178571429,36.0392857143,39.4642857143,34.2214285714,33.9107142857,38.6428571429,36.2714285714,40.8214285714,40.2535714286,35.95,35.6142857143,32.3357142857,37.4642857143,33.8357142857,38.9321428571,38.625,38.4035714286,36.0714285714,34.1,36.375,32.1464285714,34.3321428571,34.0964285714,32.3107142857,36.2285714286,35.0178571429,32.7142857143,32.8142857143,31.0428571429,30.6785714286,29.3321428571,33.6,31.8928571429,31.5642857143,31.7821428571,31.6785714286,29.1892857143,32.3142857143,32.6357142857,32.9357142857,35.3535714286,36.2107142857,36.8357142857,29.375,29.3,33.6535714286,33.1,31.9035714286,32.7357142857,33.7607142857,32.2214285714,30.6107142857,30.1035714286,34.9821428571,34.1535714286,31.2107142857,34.2214285714,31.0214285714,30.2,35.2035714286,31.25,32.6642857143,32.8178571429,31.9642857143,30.6964285714,33.8714285714,32.4678571429,33.0892857143,30.2785714286,32.3178571429,30.4785714286,32.4785714286,33.8821428571,30.6071428571,33.3392857143,28.65,30.9,31.4071428571,31.575,31.1142857143,32.2464285714,30.6178571429,27.75,33.0464285714,31.0035714286,29.2428571429,30.2607142857,27.1928571429,31.4142857143,30.5107142857,31.7964285714,31.1892857143,31.8142857143,32.5392857143,30.6964285714,30.7642857143,29.85,31.9642857143,30.9678571429,29.5321428571,30.6071428571,30.9321428571,28.5857142857,32.0892857143,30.8428571429,33.7535714286,31.9821428571,30.4071428571,33.0678571429,31.15,30.2607142857
52.1928571429,63.7928571429,59.6642857143,63.9392857143,43.1928571429,49.6785714286,56.3071428571,54.0178571429,50.9571428571,48.2642857143,53.6071428571,46.5607142857,48.25,49.7607142857,59.5857142857,50.0678571429,43.425,42.0464285714,42.7464285714,40.2392857143,42.8714285714,43.5821428571,48.025,57.7214285714,45.875,44.6678571429,46.1142857143,51.55,41.8392857143,58.9892857143,57.75,56.2785714286,56.0964285714,56.55,50.6857142857,36.025,37.0928571429,52.4607142857,35.3321428571,46.3964285714,34.3178571429,31.1857142857,36.2928571429,38.0857142857,41.2571428571,41.9285714286,37.6714285714,35.2607142857,39.3035714286,42.6785714286,32.9,36.6035714286,38.6178571429,41.6464285714,37.1428571429,40.6678571429,40.8678571429,39.1357142857,40.3035714286,38.575,36.0964285714,37.2214285714,35.0214285714,34.425,38.575,36.3,40.3714285714,40.0642857143,34.625,36.1964285714,32.8285714286,38.3321428571,33.1714285714,38.7035714286,38.1142857143,38.1071428571,33.8821428571,33.3035714286,34.6857142857,32.3857142857,34.15,34.9392857143,33.4892857143,36.4214285714,35.0392857143,32.6642857143,31.9428571429,31.7571428571,31.375,29.8107142857,33.325,31.6071428571,31.2821428571,31.6964285714,31.4,29.4642857143,32.3571428571,34.075,33.625,35.8357142857,36.4178571429,37.4,29.4071428571,30.6928571429,33.9214285714,33.1535714286,30.8571428571,33.55,32.375,31.9214285714,30.85,29.4785714286,34.7107142857,34.4142857143,29.3214285714,34.3357142857,31.675,29.3678571429,35.8464285714,31.2428571429,31.9714285714,33.2392857143,32.0285714286,30.6821428571,34.3357142857,32.2178571429,33.225,29.9857142857,31.55,30.8607142857,32.525,33.2107142857,30.3428571429,33.6285714286,28.0714285714,31.5178571429,32.6785714286,32.85,30.7571428571,33.8857142857,29.675,28.4642857143,32.65,31.3428571429,29.3035714286,31.0857142857,27.5071428571,31.9714285714,31.1392857143,31.6928571429,31.9035714286,31.9964285714,32.1107142857,30.4392857143,31.2357142857,31.7928571429,31.7357142857,30.9571428571,29.1642857143,29.2071428571,31.4535714286,29.5535714286,31.9357142857,30.45,34.3714285714,30.5321428571,30.6892857143,33.0321428571,31.5285714286,29.525
54.0678571429,60.9392857143,54.4357142857,60.0821428571,45.5607142857,47.9892857143,56.225,54.625,52.15,50.9571428571,54.525,48.9285714286,49.1821428571,51.3464285714,60.4464285714,49.4,44.3357142857,44.7535714286,41.2892857143,40.4321428571,43.0071428571,46.4964285714,47.375,56.7392857143,46.1285714286,41.3642857143,46.7392857143,51.4464285714,41.2714285714,59.6035714286,59.6607142857,47.3214285714,55.4571428571,60.5357142857,50.5321428571,35.2642857143,36.35,50.975,35.25,45.1607142857,34.9464285714,32.225,37.625,38.475,40.0928571429,42.7607142857,41.0107142857,34.1214285714,36.9642857143,42.625,32.1035714286,37.9,38.9214285714,38.375,37.4607142857,38.8892857143,40.6321428571,40.2107142857,40.1785714286,39.7571428571,35.3678571429,35.6678571429,36.4035714286,35.2178571429,37.6214285714,36.4142857143,39.7035714286,38.3892857143,35.0964285714,37.4285714286,33.65,36.875,32.3357142857,38.0428571429,38.625,37.65,34.0178571429,32.75,34.2214285714,32.7964285714,34.775,32.7357142857,34.7571428571,36.5678571429,34.1,33.65,31.15,32.0357142857,32.2892857143,30.2,33.1964285714,32.2607142857,31.8464285714,33.2321428571,31.75,30.5107142857,32.5,33.7928571429,33.9785714286,36.9821428571,36.5892857143,37.2214285714,29.325,29.675,34.7464285714,31.7607142857,30.1464285714,33.2785714286,32.6178571429,32.3714285714,29.7928571429,29.575,35.1107142857,34.6071428571,29.5821428571,34.05,31.4392857143,29.1964285714,35.3857142857,32.3464285714,32.2607142857,32.6428571429,31.1714285714,30.0535714286,32.85,32.1464285714,32.7142857143,29.8535714286,31.3607142857,29.5571428571,32.6892857143,32.9607142857,29.9035714286,33.1035714286,29.3571428571,32.1071428571,32.2964285714,31.5428571429,30.9428571429,32.6142857143,29.7571428571,28.7392857143,32.7285714286,31.4714285714,29.6928571429,30.7678571429,28.3607142857,31.75,30.6071428571,31.8964285714,31.4214285714,31.95,31.1642857143,30.5285714286,30.9678571429,30.65,31.45,30.0678571429,29.0785714286,28.4321428571,31.8285714286,28.8357142857,31.8428571429,31.2535714286,33.6678571429,31.3607142857,31.0285714286,30.8428571429,31.325,28.5821428571
56.2321428571,57.4,49.3714285714,56.2214285714,48.1142857143,47.85,51.175,55.35,51.95,52.4571428571,56.2285714286,51.175,48.7214285714,52.725,60.2392857143,48.775,44.2642857143,64.0285714286,41.4571428571,41.4821428571,42.9428571429,41.2964285714,47.9464285714,57.5535714286,45.325,39.9178571429,47.075,50.3357142857,40.6714285714,58.4142857143,58.7571428571,35.4107142857,56.75,60.425,52.0857142857,35.3392857143,36.3857142857,50.6785714286,35.3928571429,44.5607142857,33.2642857143,34.6821428571,38.9392857143,38.4821428571,39.5142857143,41.4535714286,41.6428571429,35.1928571429,37.6892857143,44.0892857143,34.375,38.3607142857,40.5142857143,35.1821428571,38.1642857143,37.9035714286,41.575,40.5678571429,40.1035714286,37.9392857143,35.1214285714,32.65,37.2892857143,34.8892857143,38.3714285714,35.1142857143,39.7428571429,36.3892857143,34.7928571429,38.1857142857,33.5214285714,34.575,31.8857142857,37.9892857143,39.2071428571,37.1357142857,33.9214285714,34.2857142857,33.8535714286,33.7321428571,35.5571428571,32.1285714286,35.4535714286,36.5357142857,33.6678571429,32.9285714286,31.625,31.1392857143,32.0821428571,30.6357142857,32.4714285714,30.5571428571,31.8607142857,31.8714285714,31.3142857143,29.8535714286,32.6107142857,32.7571428571,34.1107142857,37.3678571429,36.4321428571,37.475,29.9928571429,28.7571428571,34.9107142857,30.4357142857,31.125,33.6892857143,34.0,32.5321428571,30.0035714286,30.3571428571,35.5428571429,34.8142857143,30.475,34.9428571429,30.25,29.6964285714,35.5678571429,32.7142857143,31.2392857143,32.8392857143,30.1607142857,30.0535714286,32.3607142857,32.0785714286,32.6678571429,28.9821428571,31.325,28.7285714286,32.4821428571,33.35,28.9892857143,33.6571428571,29.9071428571,33.4285714286,30.8571428571,31.2214285714,31.7178571429,31.6821428571,29.9464285714,29.3964285714,33.2357142857,31.6,29.8964285714,30.45,28.9857142857,32.2071428571,29.6035714286,30.8321428571,31.5178571429,32.3785714286,31.1428571429,30.9214285714,30.4071428571,29.5071428571,31.0821428571,28.9928571429,28.3071428571,27.8571428571,32.1214285714,29.1964285714,31.175,31.1642857143,33.875,29.7821428571,30.9035714286,29.8178571429,32.4821428571,28.3178571429
55.7964285714,56.5107142857,47.4964285714,53.55,50.3071428571,48.8535714286,48.0178571429,56.0642857143,52.6,55.2428571429,56.6928571429,52.7107142857,43.6642857143,54.0464285714,58.7607142857,47.0107142857,44.4607142857,48.6357142857,40.4892857143,40.6321428571,42.7214285714,38.3392857143,48.3142857143,56.3428571429,44.6,40.6107142857,47.5357142857,50.3357142857,40.65,59.15,59.0321428571,44.8857142857,57.2464285714,60.5428571429,52.4714285714,36.1678571429,41.4321428571,49.5642857143,34.6464285714,43.9285714286,33.2785714286,33.8035714286,37.1107142857,38.4392857143,40.1714285714,38.2785714286,39.2035714286,36.4678571429,38.0535714286,42.3678571429,33.8214285714,39.8285714286,36.9285714286,34.7392857143,41.05,34.8107142857,40.3321428571,40.7714285714,39.4285714286,36.0428571429,35.3535714286,32.6178571429,38.3714285714,34.6964285714,38.4464285714,35.0857142857,39.5428571429,36.4821428571,35.0785714286,37.5607142857,32.1607142857,33.8714285714,31.475,36.0357142857,39.6357142857,38.8214285714,35.0214285714,35.4071428571,35.1035714286,34.4678571429,35.625,32.7535714286,36.5071428571,36.6964285714,33.95,31.5428571429,29.9,30.6857142857,32.2964285714,31.2535714286,32.275,30.0142857143,31.8392857143,31.375,31.1178571429,31.6785714286,32.9714285714,32.175,34.0785714286,37.7428571429,36.0571428571,35.0678571429,29.7321428571,30.3035714286,34.4464285714,30.8571428571,31.5892857143,34.3678571429,34.5821428571,32.8857142857,31.7321428571,31.0214285714,34.0142857143,33.45,31.2321428571,34.4678571429,30.4,29.1107142857,34.5714285714,34.2535714286,30.4392857143,32.3428571429,28.8107142857,29.3785714286,31.1357142857,30.3928571429,32.5571428571,29.4214285714,30.5035714286,28.7857142857,30.9321428571,33.6035714286,29.2714285714,33.3,31.5,33.725,31.4857142857,31.3321428571,31.9107142857,31.3607142857,31.2071428571,29.5678571429,33.25,32.0357142857,28.2,30.0392857143,29.6535714286,32.5892857143,28.5571428571,31.2464285714,32.5535714286,31.8964285714,31.3535714286,31.3892857143,29.925,28.7,31.6178571429,28.4535714286,27.6178571429,27.7178571429,32.0285714286,27.7107142857,31.0,31.525,33.4642857143,29.2428571429,31.3714285714,29.8892857143,31.0428571429,28.2821428571
51.5357142857,55.6285714286,48.8392857143,53.4785714286,51.0214285714,49.8464285714,45.5642857143,55.7,52.6464285714,57.7,56.6535714286,52.8071428571,43.9964285714,54.9035714286,57.2464285714,46.2035714286,43.6035714286,50.8928571429,40.9428571429,37.775,43.1571428571,37.2892857143,49.1071428571,54.3892857143,44.1642857143,41.2714285714,47.7178571429,50.375,47.1607142857,58.7928571429,58.0857142857,61.7321428571,56.9464285714,60.275,58.375,36.8214285714,44.3785714286,48.7535714286,34.9035714286,43.6785714286,31.8892857143,33.4142857143,35.7535714286,39.9464285714,41.4607142857,38.1357142857,37.9535714286,36.4535714286,41.025,38.3071428571,33.1785714286,40.8214285714,34.7607142857,35.0571428571,37.9821428571,35.4392857143,40.175,38.5285714286,39.4178571429,34.0357142857,34.85,34.8214285714,38.7892857143,34.6392857143,37.8214285714,36.0928571429,39.1928571429,36.7071428571,34.9142857143,35.9642857143,31.2428571429,34.0392857143,29.8571428571,36.4678571429,40.3071428571,37.4392857143,35.4571428571,35.4714285714,36.1321428571,34.6357142857,36.1071428571,33.85,38.25,36.4214285714,33.1142857143,30.9428571429,30.7607142857,31.0,31.5321428571,29.8535714286,32.0178571429,28.2321428571,31.425,31.25,30.6285714286,31.5571428571,32.6464285714,30.7964285714,34.1928571429,37.6785714286,35.6178571429,33.5714285714,29.6285714286,31.2821428571,33.4107142857,32.1428571429,31.3214285714,33.8892857143,34.2464285714,31.8321428571,32.8214285714,30.1857142857,32.2107142857,32.1464285714,32.5,33.1607142857,29.975,29.175,34.1607142857,34.0892857143,30.3142857143,32.3964285714,28.3642857143,29.7821428571,32.1178571429,30.125,32.7607142857,28.1785714286,30.4642857143,27.6107142857,29.6321428571,32.85,28.9214285714,33.1357142857,30.5928571429,31.9714285714,32.0714285714,31.5714285714,31.3035714286,31.9821428571,31.5178571429,30.575,32.9607142857,31.9071428571,27.8071428571,29.0535714286,29.9714285714,31.9785714286,29.0607142857,30.925,31.2357142857,31.2285714286,31.2964285714,30.9285714286,30.3857142857,28.7071428571,32.6321428571,29.1357142857,28.3821428571,28.075,31.225,27.825,31.2535714286,30.8464285714,33.7392857143,29.4571428571,31.2321428571,29.275,30.5678571429,27.7785714286
49.8035714286,56.2571428571,50.9714285714,52.45,46.8357142857,47.7071428571,42.8035714286,55.7428571429,48.1642857143,58.2892857143,57.9321428571,55.9035714286,42.4714285714,55.125,56.775,46.2285714286,43.4571428571,49.9714285714,40.9178571429,36.1142857143,42.5392857143,37.2,48.9607142857,52.9071428571,44.0678571429,42.2892857143,48.2214285714,50.8714285714,53.1357142857,59.675,59.5178571429,46.8035714286,57.6428571429,59.7321428571,60.4535714286,34.8607142857,42.2107142857,51.8928571429,35.2357142857,42.8964285714,30.7321428571,33.4535714286,37.2035714286,40.3142857143,42.0678571429,38.6821428571,37.1714285714,36.2928571429,40.5642857143,35.8857142857,35.2321428571,38.9642857143,33.1428571429,35.0785714286,35.7285714286,36.8928571429,39.6785714286,39.5285714286,38.3535714286,34.9571428571,36.2178571429,33.0857142857,39.1142857143,34.9107142857,38.5642857143,34.0785714286,38.5035714286,36.8357142857,35.6857142857,34.4607142857,31.0142857143,33.2857142857,29.4607142857,36.7821428571,39.3285714286,37.4321428571,34.5178571429,34.6107142857,34.0928571429,33.1,36.3964285714,34.7678571429,37.3392857143,36.0464285714,33.15,29.2535714286,30.3071428571,31.5535714286,33.3642857143,30.6392857143,32.3535714286,28.1107142857,32.1892857143,30.5964285714,29.8142857143,31.9464285714,32.9821428571,30.5678571429,34.1464285714,37.8321428571,35.8678571429,33.6178571429,29.7214285714,32.6714285714,32.5892857143,32.2607142857,32.3857142857,33.9857142857,34.5785714286,31.9928571429,31.9357142857,30.3714285714,32.1607142857,31.3464285714,32.3035714286,32.3607142857,30.3821428571,30.2464285714,34.5214285714,31.875,30.7178571429,31.7142857143,28.5357142857,28.5571428571,31.7892857143,29.15,32.8464285714,27.1464285714,30.5321428571,27.5071428571,29.5571428571,32.675,29.0821428571,32.7607142857,30.675,31.3821428571,31.9035714286,31.0857142857,31.1285714286,32.7035714286,30.7892857143,30.6107142857,33.7928571429,31.5607142857,27.3785714286,28.3714285714,30.5214285714,31.2714285714,27.8285714286,29.7392857143,29.6107142857,30.4464285714,30.825,29.9428571429,30.5678571429,28.9392857143,31.4178571429,28.8142857143,27.9428571429,28.5428571429,29.1178571429,28.0607142857,30.65,31.2357142857,33.2964285714,29.5571428571,31.175,28.825,29.625,28.1607142857
49.4964285714,56.1142857143,53.9464285714,53.7821428571,46.05,44.9,40.5428571429,57.6428571429,47.5928571429,57.6928571429,57.5964285714,49.6821428571,41.4392857143,54.7785714286,56.4357142857,44.9214285714,42.7142857143,51.3892857143,40.8357142857,35.9642857143,42.7392857143,38.7321428571,50.4178571429,52.2321428571,45.1357142857,43.9035714286,47.9107142857,51.0857142857,55.9142857143,59.0821428571,58.3321428571,47.2428571429,59.9535714286,62.0821428571,64.5321428571,35.9678571429,41.1642857143,53.4285714286,34.9214285714,42.4928571429,31.2071428571,35.2285714286,39.3392857143,42.4285714286,42.3892857143,37.9214285714,37.6357142857,37.5964285714,37.2392857143,35.4571428571,34.2857142857,35.9785714286,32.6071428571,32.725,36.175,37.3892857143,42.7285714286,38.8285714286,39.3321428571,35.125,35.0571428571,33.8642857143,39.7571428571,35.3357142857,36.9071428571,33.5928571429,39.1285714286,37.2464285714,36.3964285714,34.225,31.3928571429,33.6642857143,30.0571428571,36.3964285714,38.3142857143,36.2178571429,35.1357142857,35.1964285714,33.1964285714,32.5714285714,38.1821428571,36.1821428571,34.9464285714,36.125,32.55,28.3142857143,31.4392857143,31.375,32.6,31.6642857143,32.3035714286,28.7571428571,31.6785714286,30.4392857143,29.4857142857,32.2321428571,33.0678571429,29.8035714286,33.8178571429,37.6464285714,35.8642857143,34.4321428571,29.6857142857,32.5178571429,32.2607142857,31.675,32.975,35.9357142857,34.5214285714,32.6142857143,32.75,30.7321428571,31.825,31.575,31.6857142857,31.2178571429,30.4321428571,29.9607142857,31.6321428571,32.8785714286,29.7035714286,31.9892857143,28.7964285714,28.4928571429,32.4071428571,28.8357142857,33.0464285714,27.3428571429,30.7142857143,27.4571428571,29.8642857143,32.7321428571,29.1892857143,32.3857142857,31.2464285714,32.5535714286,31.55,30.7892857143,31.2071428571,32.6714285714,30.675,30.5964285714,32.7964285714,30.6071428571,28.1035714286,28.6714285714,30.75,30.6,26.9428571429,29.775,28.4678571429,30.0035714286,30.2928571429,29.8928571429,30.3821428571,29.4964285714,29.9035714286,29.9464285714,27.8357142857,28.75,28.4464285714,27.975,30.6357142857,30.8678571429,33.8,30.2321428571,31.175,27.9178571429,29.6428571429,28.3714285714
