0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157
92.8362068966,91.2298850575,89.7126436782,85.3045977011,79.1436781609,73.0775862069,75.4626436782,76.9425287356,70.4511494253,70.4942528736,70.9396551724,72.724137931,69.8477011494,67.2471264368,66.0431034483,65.1954022989,67.7298850575,57.9568965517,60.2959770115,49.0977011494,53.8390804598,53.591954023,53.3505747126,58.5402298851,58.1982758621,58.6666666667,58.1724137931,60.8132183908,61.3132183908,53.9770114943,49.7270114943,54.4971264368,52.7931034483,53.4942528736,52.0890804598,53.3304597701,51.3045977011,52.9109195402,53.8448275862,49.0804597701,55.0488505747,62.867816092,62.8477011494,62.2442528736,53.7155172414,47.2011494253,47.1206896552,42.6609195402,47.4137931034,46.6120689655,47.0718390805,45.6264367816,47.3620689655,47.474137931,46.8017241379,46.6551724138,46.7442528736,46.6522988506,45.4166666667,46.5833333333,43.9942528736,42.2931034483,45.1235632184,39.4166666667,39.8247126437,39.0747126437,39.4454022989,39.9482758621,37.2385057471,37.3706896552,38.7528735632,36.2787356322,36.7212643678,36.5632183908,35.316091954,36.9166666667,37.0488505747,36.6925287356,38.5057471264,37.2356321839,37.5201149425,39.275862069,38.341954023,37.6752873563,38.3850574713,39.8994252874,39.2844827586,43.9425287356,43.7701149425,43.9971264368,43.3793103448,42.8218390805,39.816091954,38.4051724138,37.9022988506,31.8218390805,31.5689655172,31.9367816092,32.5086206897,32.0517241379,32.3764367816,32.367816092,31.8333333333,31.2729885057,33.6954022989,32.5402298851,34.0373563218,33.6005747126,32.3103448276,32.0344827586,32.8103448276,32.9655172414,32.2902298851,31.9252873563,32.4022988506,30.9281609195,32.2931034483,33.0833333333,31.3017241379,31.8936781609,33.2586206897,31.0143678161,31.4597701149,31.8649425287,31.367816092,31.5344827586,30.2557471264,31.1954022989,30.9252873563,30.6609195402,30.3103448276,29.8879310345,30.1925287356,30.1264367816,30.117816092,29.816091954,31.8620689655,31.1867816092,32.3448275862,31.6379310345,30.75,30.6034482759,30.7471264368,30.2327586207,30.2298850575,29.8275862069,31.3247126437,30.9712643678,31.4310344828,31.9568965517,30.3218390805,31.3534482759,29.566091954,29.4798850575,28.908045977,30.3247126437,29.6235632184,31.0316091954
91.341954023,92.0890804598,88.591954023,83.9454022989,77.0229885057,71.8620689655,76.0517241379,77.1005747126,70.6235632184,71.0718390805,70.8649425287,73.4195402299,69.1551724138,67.132183908,66.8362068966,65.6896551724,67.132183908,58.9166666667,60.0201149425,50.8362068966,53.683908046,51.8908045977,54.4597701149,60.0143678161,59.0545977011,59.1494252874,57.8218390805,61.617816092,60.6551724138,54.1752873563,50.1551724138,54.6465517241,52.1954022989,53.6034482759,51.0862068966,53.0833333333,52.9942528736,52.1005747126,53.5057471264,48.8247126437,55.1436781609,61.7557471264,62.9310344828,63.2873563218,54.7844827586,47.5344827586,47.0201149425,43.566091954,46.6264367816,47.5287356322,47.4310344828,45.2270114943,47.7385057471,48.3103448276,46.8132183908,46.5632183908,46.1724137931,46.8390804598,45.1867816092,46.5,43.6264367816,42.5545977011,45.632183908,39.2126436782,39.9367816092,39.2040229885,40.0086206897,40.3362068966,37.2155172414,37.7011494253,38.408045977,35.7931034483,36.3764367816,36.7385057471,35.091954023,37.2557471264,36.4454022989,37.6149425287,38.7097701149,37.132183908,37.2586206897,38.3304597701,38.724137931,37.6695402299,38.4109195402,40.1551724138,39.8074712644,44.3189655172,43.7126436782,43.7586206897,43.3132183908,41.7787356322,39.6034482759,38.0689655172,38.2097701149,31.6551724138,31.474137931,32.0143678161,33.091954023,31.8908045977,32.724137931,32.5890804598,32.183908046,31.1264367816,33.4367816092,32.3908045977,33.7528735632,35.2816091954,31.7413793103,32.2816091954,32.4885057471,33.0201149425,32.1034482759,32.367816092,32.6350574713,30.6637931034,32.2471264368,33.1034482759,31.1666666667,31.4051724138,32.5833333333,30.9856321839,30.7729885057,31.882183908,31.3908045977,31.2183908046,30.1293103448,31.4827586207,30.7413793103,30.6494252874,30.1810344828,30.2873563218,30.2557471264,30.1695402299,30.0373563218,29.591954023,32.0287356322,32.1206896552,32.2040229885,31.9137931034,30.8275862069,30.6867816092,30.408045977,30.3103448276,30.158045977,29.8390804598,31.3563218391,30.7212643678,31.6005747126,32.0114942529,30.3103448276,31.3448275862,30.117816092,29.5316091954,28.9885057471,29.9626436782,29.841954023,30.9683908046
93.4425287356,90.775862069,88.3965517241,86.8218390805,81.2614942529,72.841954023,74.6149425287,76.158045977,69.8879310345,70.4252873563,72.1120689655,73.1896551724,69.2643678161,66.3936781609,68.5804597701,66.5775862069,66.8275862069,59.1379310345,59.6752873563,51.9971264368,53.3994252874,50.4367816092,54.9511494253,58.382183908,58.4482758621,58.7557471264,58.5287356322,61.6005747126,60.0143678161,54.1666666667,51.9568965517,53.3103448276,51.5287356322,53.5488505747,51.3247126437,52.8218390805,53.7011494253,51.5890804598,53.4051724138,49.474137931,55.1896551724,62.5172413793,62.7844827586,61.6149425287,53.7586206897,47.8247126437,47.0344827586,43.1235632184,46.7643678161,47.6637931034,47.5488505747,45.4051724138,47.7672413793,47.7787356322,46.3994252874,46.8304597701,45.6206896552,46.8965517241,45.0574712644,46.5201149425,43.9511494253,42.4454022989,45.4683908046,39.7614942529,40.0,39.7931034483,40.4511494253,39.8534482759,37.1867816092,37.4252873563,38.7701149425,36.0517241379,36.5114942529,36.433908046,35.5402298851,37.4597701149,35.8448275862,37.3908045977,38.1637931034,36.9425287356,37.2471264368,37.566091954,38.2327586207,38.2040229885,38.2212643678,39.8304597701,39.3764367816,44.5488505747,43.5373563218,43.7902298851,43.1925287356,41.6005747126,39.9109195402,38.0086206897,38.3304597701,31.2672413793,31.4367816092,32.1695402299,32.2586206897,31.408045977,32.3764367816,32.7183908046,32.9281609195,31.0833333333,33.4597701149,32.5373563218,34.1465517241,34.2988505747,32.0775862069,31.974137931,32.4137931034,33.0172413793,32.2959770115,32.0603448276,33.0775862069,30.5316091954,32.066091954,33.0114942529,31.3362068966,31.5517241379,32.1494252874,31.1063218391,30.9195402299,31.9827586207,31.1522988506,30.9425287356,30.183908046,31.3304597701,30.8764367816,30.6034482759,29.974137931,30.1350574713,30.2557471264,30.2270114943,30.1350574713,29.9166666667,31.9942528736,31.5747126437,31.4281609195,31.7586206897,30.9770114943,30.6695402299,30.2701149425,29.9856321839,30.066091954,29.5287356322,31.8333333333,30.8850574713,31.1982758621,31.9798850575,29.9856321839,31.7586206897,29.3793103448,29.5574712644,29.1781609195,29.8591954023,29.9425287356,30.6408045977
92.6867816092,91.1925287356,88.0201149425,90.3649425287,79.3620689655,71.3275862069,75.6408045977,76.5028735632,71.25,70.9913793103,73.3649425287,74.0804597701,68.775862069,66.6091954023,67.9942528736,66.066091954,64.1034482759,59.3620689655,59.6522988506,54.341954023,52.6293103448,51.4252873563,54.617816092,59.7701149425,58.4166666667,58.2844827586,58.3534482759,61.9195402299,59.6925287356,54.0718390805,53.3074712644,52.316091954,52.4396551724,53.4856321839,52.0517241379,52.4568965517,54.0603448276,51.0201149425,53.5977011494,51.0517241379,54.683908046,61.7988505747,62.7327586207,61.6982758621,54.3045977011,48.132183908,47.0775862069,44.1724137931,46.5402298851,47.3017241379,47.1637931034,45.0143678161,47.6954022989,47.1695402299,46.2614942529,47.2068965517,45.2931034483,46.8936781609,44.6982758621,46.6034482759,44.3218390805,42.933908046,44.8247126437,39.7356321839,39.8764367816,38.9166666667,40.6063218391,38.9655172414,37.0862068966,37.1925287356,38.1954022989,36.4913793103,36.5287356322,36.9798850575,35.816091954,37.5545977011,35.867816092,36.9568965517,38.4454022989,37.0517241379,37.3189655172,37.3649425287,38.2931034483,38.3965517241,38.0747126437,39.4195402299,39.6149425287,44.5603448276,43.7270114943,43.8132183908,43.2298850575,42.1637931034,40.1982758621,38.066091954,38.4885057471,31.3764367816,31.4396551724,32.0775862069,32.2011494253,31.2873563218,32.2672413793,32.6465517241,33.1063218391,31.1551724138,34.1264367816,32.8304597701,35.1293103448,33.7614942529,32.1206896552,32.8247126437,32.3017241379,33.0316091954,32.5431034483,31.9712643678,31.9770114943,30.382183908,32.3649425287,33.0459770115,31.3477011494,31.0229885057,31.7471264368,30.8304597701,31.3591954023,31.9195402299,31.1896551724,31.4137931034,30.1896551724,31.3936781609,30.4885057471,30.8505747126,30.0977011494,30.1609195402,30.316091954,30.1954022989,29.8563218391,29.4224137931,31.7988505747,32.0431034483,31.6034482759,31.5890804598,31.1695402299,31.1436781609,29.9425287356,29.9655172414,30.0488505747,29.5545977011,31.2270114943,30.9137931034,31.3074712644,32.0201149425,30.2873563218,31.8390804598,29.9137931034,29.5,29.2586206897,30.1522988506,29.7183908046,30.1149425287
92.7816091954,89.9482758621,87.9971264368,89.3017241379,81.5775862069,71.0402298851,74.9827586207,76.1666666667,71.0344827586,69.4597701149,74.2327586207,72.632183908,67.617816092,66.5057471264,67.8936781609,65.4913793103,65.1206896552,59.474137931,59.5488505747,55.4971264368,51.816091954,50.6724137931,53.2614942529,59.5143678161,58.7902298851,57.2902298851,58.4827586207,61.5747126437,58.9224137931,53.7183908046,53.8304597701,52.1781609195,51.816091954,52.7097701149,51.7873563218,51.9568965517,53.7298850575,52.2183908046,53.183908046,51.8304597701,54.5804597701,60.8649425287,63.5316091954,59.7701149425,53.6465517241,47.9310344828,46.9856321839,44.8965517241,46.8908045977,47.2155172414,46.8362068966,45.0114942529,48.0402298851,47.1063218391,46.7701149425,47.3362068966,45.3103448276,47.1436781609,44.4454022989,46.8879310345,44.7212643678,43.183908046,44.7298850575,40.1034482759,39.8563218391,39.1551724138,40.6408045977,38.6925287356,37.3764367816,37.5172413793,38.2155172414,36.5833333333,37.2212643678,37.183908046,36.4511494253,37.3362068966,36.0862068966,36.5057471264,37.5603448276,36.5804597701,37.0890804598,37.5086206897,37.7097701149,38.3879310345,38.4109195402,39.2844827586,39.882183908,45.4827586207,43.974137931,43.5114942529,42.9051724138,41.8045977011,40.4425287356,37.6522988506,38.525862069,31.3132183908,31.2471264368,31.6666666667,32.6925287356,31.3706896552,32.316091954,32.3017241379,33.3103448276,31.0201149425,33.9856321839,32.6408045977,34.0459770115,32.591954023,31.8247126437,33.1206896552,32.1005747126,32.617816092,32.408045977,31.75,32.1522988506,30.3908045977,32.1091954023,33.0287356322,31.4913793103,31.4195402299,32.1637931034,30.8534482759,31.4712643678,31.7672413793,31.3534482759,31.4798850575,30.2701149425,31.1034482759,30.5833333333,30.9913793103,30.1867816092,29.9252873563,30.0545977011,30.0632183908,29.8017241379,29.8706896552,31.7155172414,32.0344827586,31.7442528736,31.7155172414,31.025862069,30.8505747126,30.0172413793,29.8505747126,29.8591954023,29.3994252874,31.7873563218,30.7844827586,31.4425287356,31.9281609195,30.1954022989,32.2298850575,29.5545977011,29.3103448276,29.2931034483,30.066091954,29.9885057471,30.5890804598
95.9482758621,89.5718390805,87.2614942529,90.433908046,80.3534482759,70.3103448276,75.7988505747,75.7327586207,71.1752873563,69.5,73.1206896552,72.5862068966,67.867816092,68.091954023,67.7816091954,66.2816091954,63.6551724138,59.4454022989,58.9540229885,56.2298850575,53.6005747126,51.1005747126,54.0488505747,58.8247126437,59.2385057471,57.4712643678,59.1206896552,62.224137931,59.4827586207,53.3333333333,53.9683908046,51.6264367816,49.9137931034,52.3275862069,52.2586206897,50.658045977,54.1436781609,50.1982758621,53.1149425287,52.5143678161,54.3477011494,62.6408045977,63.0201149425,60.4885057471,54.0948275862,47.6954022989,46.3103448276,45.275862069,46.3534482759,47.367816092,47.275862069,45.2270114943,48.2126436782,48.1149425287,46.5689655172,47.3534482759,45.5747126437,46.3563218391,44.3764367816,47.1408045977,44.4511494253,43.4626436782,44.4655172414,40.2442528736,40.1120689655,40.1896551724,39.974137931,38.9540229885,37.6293103448,38.0431034483,37.7270114943,36.7931034483,37.1551724138,37.5431034483,36.4712643678,37.3850574713,36.1408045977,36.7471264368,37.7557471264,36.7356321839,37.5977011494,37.8074712644,37.816091954,38.8649425287,39.0143678161,39.7902298851,39.5,44.6063218391,43.4683908046,43.908045977,42.8563218391,41.9454022989,40.2557471264,37.9770114943,38.2212643678,31.5172413793,31.6494252874,31.8390804598,32.2816091954,31.6436781609,32.7011494253,31.9655172414,33.2270114943,31.0402298851,34.2040229885,32.9195402299,33.525862069,32.7270114943,31.7931034483,33.5431034483,32.2442528736,32.7011494253,32.1637931034,31.5862068966,32.8103448276,30.5143678161,32.4137931034,32.7270114943,31.3275862069,31.1896551724,31.5057471264,30.8189655172,31.2356321839,31.6436781609,31.1666666667,31.0632183908,30.3620689655,31.25,30.5316091954,30.2672413793,30.2040229885,30.0028735632,30.5488505747,30.0632183908,29.7557471264,29.5545977011,31.9310344828,32.2442528736,31.8045977011,31.4885057471,30.8534482759,30.617816092,29.5804597701,29.7988505747,29.7442528736,29.5057471264,31.2068965517,30.7212643678,31.3333333333,31.8620689655,30.4051724138,32.4971264368,29.3764367816,29.2270114943,29.3936781609,30.367816092,29.9224137931,29.9827586207
94.7816091954,89.2959770115,88.408045977,91.2126436782,81.1063218391,71.4626436782,75.9856321839,74.8045977011,70.6494252874,67.566091954,73.0632183908,70.9482758621,66.9454022989,67.9942528736,68.4482758621,66.775862069,64.7356321839,59.474137931,58.8103448276,57.2988505747,51.8448275862,48.8247126437,55.6350574713,58.8534482759,58.5114942529,58.3764367816,57.9626436782,60.908045977,59.1666666667,53.4827586207,53.6149425287,51.1522988506,50.4913793103,52.7068965517,52.132183908,49.8908045977,53.4310344828,49.4310344828,53.0488505747,52.8620689655,54.1666666667,62.0718390805,63.5402298851,61.6609195402,55.4281609195,47.2816091954,46.2385057471,45.1149425287,46.2212643678,47.4137931034,47.2873563218,45.1293103448,48.3448275862,48.382183908,47.3017241379,47.2040229885,45.6867816092,46.2787356322,45.3333333333,46.6896551724,44.2097701149,42.9856321839,44.474137931,40.4712643678,39.8620689655,39.1149425287,38.9770114943,39.0,37.3850574713,37.9770114943,37.7787356322,37.2011494253,37.5718390805,37.5603448276,36.4051724138,37.2183908046,36.3591954023,36.8879310345,37.7873563218,37.1551724138,37.5603448276,38.1609195402,38.1637931034,39.75,39.2701149425,39.2471264368,39.3591954023,44.9540229885,43.2011494253,43.8045977011,42.724137931,41.6982758621,40.1494252874,38.0402298851,38.1206896552,31.2586206897,31.2988505747,31.8074712644,32.4454022989,31.6752873563,32.5201149425,31.7873563218,33.3362068966,31.3304597701,33.7931034483,32.6350574713,32.6005747126,33.1293103448,31.8936781609,33.5373563218,32.2528735632,33.0977011494,31.8879310345,31.3591954023,32.3448275862,30.4166666667,32.4166666667,32.6724137931,31.1752873563,31.2040229885,31.0201149425,31.2643678161,30.8362068966,31.6436781609,31.4971264368,31.0201149425,30.6005747126,30.9482758621,30.3620689655,30.2701149425,30.0344827586,29.9540229885,30.6436781609,30.025862069,30.066091954,29.5718390805,31.4942528736,31.7385057471,31.7270114943,31.5,30.8362068966,31.1206896552,29.724137931,30.0517241379,29.5316091954,29.4511494253,31.4166666667,30.7298850575,31.2672413793,31.9252873563,30.5603448276,32.5545977011,29.3448275862,29.3936781609,29.3994252874,30.2988505747,29.9540229885,30.4166666667
93.3994252874,88.6666666667,87.3908045977,89.0459770115,81.3563218391,70.5459770115,74.6666666667,74.5488505747,70.1752873563,68.3275862069,73.0114942529,71.5574712644,65.6954022989,67.8764367816,68.6350574713,67.5316091954,63.5459770115,59.4224137931,58.5086206897,57.9856321839,51.3965517241,49.9856321839,54.0545977011,58.5804597701,57.9626436782,57.6982758621,59.2557471264,62.6264367816,59.0402298851,54.4252873563,53.591954023,51.3390804598,51.8620689655,52.7614942529,52.2040229885,49.9109195402,53.5086206897,49.2586206897,52.9224137931,52.6293103448,54.316091954,63.9224137931,63.316091954,60.2557471264,56.0747126437,47.0,46.4137931034,45.6695402299,46.3448275862,47.2701149425,46.7729885057,45.3362068966,48.2528735632,48.7097701149,47.3908045977,46.8103448276,46.2528735632,46.9252873563,45.8017241379,46.6408045977,44.2959770115,43.1350574713,44.5287356322,40.2729885057,39.8017241379,39.7413793103,38.816091954,39.3132183908,37.8103448276,38.1925287356,37.8908045977,36.9913793103,38.2298850575,37.7528735632,36.6149425287,37.5057471264,36.816091954,36.4712643678,37.9942528736,37.1206896552,37.7097701149,38.7155172414,38.7183908046,39.0632183908,39.2557471264,38.2126436782,39.2988505747,43.7701149425,43.7298850575,43.7643678161,43.2155172414,42.0833333333,40.1436781609,37.7787356322,37.7212643678,31.091954023,31.4770114943,31.816091954,31.9252873563,31.3218390805,32.6005747126,31.6264367816,34.2212643678,31.2442528736,33.9568965517,32.5948275862,32.8103448276,32.7097701149,32.158045977,33.6637931034,32.3850574713,32.7931034483,32.0804597701,31.1522988506,32.3735632184,31.0,32.25,32.4885057471,31.3793103448,31.3649425287,31.0977011494,31.3505747126,30.6925287356,31.9971264368,31.3189655172,31.0229885057,31.0862068966,30.6752873563,30.5948275862,30.6609195402,30.1695402299,30.3706896552,30.3793103448,29.9166666667,30.1494252874,29.9396551724,31.8189655172,31.7959770115,31.474137931,31.4913793103,30.8936781609,31.0316091954,29.8649425287,30.3534482759,29.6350574713,29.382183908,31.5517241379,30.775862069,31.3189655172,31.433908046,30.4597701149,31.8994252874,29.7097701149,29.4683908046,29.3362068966,30.4137931034,29.9425287356,29.974137931
88.2385057471,88.5689655172,87.7816091954,89.1609195402,79.9913793103,69.9971264368,73.7873563218,73.7873563218,69.1379310345,66.8793103448,72.6522988506,69.7126436782,65.591954023,68.4942528736,68.2327586207,67.8735632184,64.7816091954,58.9827586207,57.7385057471,57.6034482759,51.3735632184,50.8793103448,53.3304597701,59.2212643678,58.3620689655,57.1695402299,59.9137931034,61.025862069,59.2557471264,54.617816092,54.6666666667,50.8304597701,52.566091954,52.8132183908,53.0977011494,49.4770114943,53.0143678161,49.6091954023,51.9281609195,52.4626436782,53.5689655172,63.1724137931,63.1264367816,61.933908046,55.9655172414,46.8505747126,45.5747126437,45.5114942529,46.4626436782,47.3390804598,46.8132183908,46.1408045977,48.117816092,48.7183908046,46.9568965517,46.9597701149,46.2413793103,46.9396551724,45.7902298851,46.6695402299,44.8591954023,42.7902298851,44.2155172414,40.7011494253,39.6954022989,40.3879310345,38.9885057471,39.4224137931,37.8189655172,37.7126436782,37.5,36.7844827586,38.4712643678,37.4252873563,37.1637931034,36.3534482759,36.6781609195,36.6494252874,37.3764367816,36.9425287356,37.5287356322,39.0402298851,38.5833333333,38.7471264368,39.566091954,38.5057471264,39.9827586207,43.7126436782,44.4224137931,43.3793103448,43.4655172414,42.158045977,39.974137931,37.841954023,37.3390804598,31.4051724138,31.4913793103,32.25,32.2270114943,31.2270114943,33.1867816092,31.474137931,33.4511494253,31.5344827586,33.4310344828,32.4712643678,32.4568965517,32.25,32.2586206897,33.0574712644,32.0316091954,33.2097701149,32.0689655172,31.908045977,32.0517241379,31.1091954023,32.5747126437,32.3505747126,31.7643678161,31.5632183908,31.1925287356,31.5488505747,31.0517241379,31.7787356322,31.933908046,31.4827586207,31.3247126437,31.1781609195,30.5632183908,30.5632183908,29.8189655172,30.0431034483,30.1551724138,29.9281609195,30.1522988506,29.9885057471,31.3103448276,31.5172413793,31.4597701149,31.4913793103,30.7672413793,31.2270114943,29.8908045977,30.3017241379,29.658045977,29.4166666667,31.8563218391,30.6724137931,31.3994252874,31.6609195402,30.7672413793,32.1954022989,29.4166666667,29.4712643678,29.6091954023,30.5028735632,30.1379310345,30.6149425287
86.7931034483,87.3879310345,87.3908045977,89.2988505747,81.5431034483,70.867816092,74.8764367816,72.4109195402,70.5373563218,65.316091954,72.2270114943,71.3591954023,65.2816091954,69.4109195402,68.3218390805,67.933908046,63.3362068966,58.6494252874,57.2011494253,57.6149425287,51.5488505747,52.8936781609,54.9166666667,57.9856321839,57.5632183908,56.7528735632,59.5057471264,62.6781609195,58.3908045977,54.0028735632,54.5747126437,52.2528735632,52.9482758621,52.4195402299,52.9626436782,50.3103448276,53.1034482759,51.0517241379,50.9310344828,52.2643678161,54.4252873563,62.5086206897,62.8362068966,61.6494252874,56.8591954023,47.0431034483,45.6867816092,45.1034482759,46.6293103448,46.6091954023,46.0977011494,46.3045977011,47.8505747126,48.4942528736,46.816091954,47.1436781609,46.2298850575,46.8534482759,46.1522988506,46.3793103448,44.7040229885,42.8793103448,44.3448275862,41.4942528736,39.9971264368,40.3620689655,38.974137931,39.6120689655,38.2729885057,37.4454022989,37.6810344828,36.9856321839,38.2413793103,37.4022988506,37.183908046,36.0287356322,36.8477011494,36.5948275862,37.1925287356,37.3218390805,37.2844827586,39.6091954023,38.7385057471,38.5086206897,39.6436781609,38.9913793103,39.8304597701,43.5373563218,45.1637931034,43.3132183908,42.4310344828,41.8764367816,39.8247126437,37.7672413793,37.4367816092,31.3534482759,31.3333333333,32.2557471264,31.7155172414,31.1494252874,32.8908045977,31.658045977,32.8132183908,31.6954022989,34.1666666667,32.3965517241,32.7787356322,32.974137931,32.2385057471,32.9252873563,32.316091954,33.2270114943,32.2183908046,31.6954022989,32.1925287356,30.9655172414,32.6149425287,32.4683908046,31.1149425287,31.2011494253,31.0431034483,31.25,30.2385057471,31.5086206897,32.4022988506,31.4051724138,30.9597701149,30.8534482759,30.7155172414,30.6063218391,29.867816092,30.2471264368,30.3936781609,29.8591954023,30.4971264368,30.117816092,31.382183908,31.25,31.3735632184,31.4913793103,30.5977011494,31.2959770115,30.1063218391,30.4913793103,29.6149425287,29.474137931,31.9109195402,30.8534482759,31.117816092,31.2327586207,30.8390804598,31.6034482759,29.3879310345,29.3218390805,29.7212643678,30.908045977,30.2385057471,30.0488505747
