0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157
40.1515151515,39.2121212121,40.1363636364,37.696969697,34.7121212121,32.2727272727,36.5,32.5454545455,37.2424242424,33.8787878788,31.2272727273,36.4090909091,30.4696969697,29.1515151515,29.4848484848,29.0606060606,35.3333333333,26.5909090909,31.5454545455,24.8939393939,26.6212121212,26.803030303,24.3787878788,31.3787878788,27.196969697,27.0454545455,31.5454545455,32.3181818182,29.3939393939,25.9393939394,24.6363636364,26.1060606061,25.7727272727,26.1666666667,25.8939393939,24.9696969697,23.803030303,25.5303030303,27.0606060606,26.2878787879,29.9393939394,33.5,29.0606060606,27.4393939394,24.1212121212,25.2727272727,24.4393939394,24.0,26.0151515152,24.8333333333,24.696969697,23.4848484848,25.8181818182,24.9545454545,24.4848484848,24.1818181818,24.2575757576,25.2878787879,24.1363636364,24.3484848485,23.7424242424,23.4090909091,29.5606060606,30.2727272727,31.3181818182,30.7575757576,29.5303030303,29.1666666667,22.4393939394,22.5909090909,23.0151515152,22.7424242424,22.5151515152,22.2727272727,22.7727272727,22.196969697,22.696969697,21.7727272727,23.0151515152,22.0606060606,22.6212121212,23.3181818182,21.5454545455,22.5303030303,21.7727272727,23.9393939394,22.2575757576,29.6818181818,29.8484848485,29.1212121212,28.4848484848,28.8939393939,25.803030303,25.3181818182,23.9545454545,24.7424242424,24.1060606061,24.8484848485,27.303030303,24.5303030303,24.5606060606,23.5,22.9545454545,21.2727272727,21.7272727273,20.7727272727,21.5,21.4545454545,20.8181818182,19.9848484848,20.7727272727,20.6060606061,21.2424242424,20.4393939394,21.2878787879,20.0,22.4696969697,22.696969697,21.5303030303,21.7272727273,22.6212121212,20.8333333333,20.7727272727,21.8939393939,21.6818181818,21.2121212121,20.3333333333,22.5454545455,22.4393939394,22.2121212121,21.303030303,21.1666666667,21.1212121212,20.7272727273,20.6818181818,19.9242424242,21.3484848485,21.4696969697,21.1818181818,21.0,20.2575757576,20.5151515152,19.9696969697,20.2575757576,20.303030303,20.2424242424,20.803030303,20.196969697,20.6060606061,20.4090909091,19.9848484848,21.3636363636,22.5,21.9393939394,21.4090909091,21.0,20.3333333333,21.4393939394
41.0757575758,39.5151515152,39.5909090909,37.3484848485,35.8181818182,31.0909090909,36.6515151515,32.8333333333,37.3333333333,34.3636363636,30.3484848485,36.6666666667,30.9242424242,29.8333333333,29.3939393939,28.7727272727,35.1818181818,26.7424242424,31.5757575758,24.8787878788,26.7575757576,26.5303030303,24.5303030303,31.9242424242,27.7727272727,27.6212121212,31.0454545455,32.5606060606,29.0909090909,26.4393939394,24.3636363636,25.6818181818,25.8787878788,26.1818181818,25.4242424242,24.5606060606,23.8484848485,25.9545454545,27.0151515152,25.0606060606,29.7878787879,32.5909090909,28.8939393939,27.9696969697,24.0757575758,25.196969697,24.5,23.696969697,25.6060606061,25.0303030303,24.7272727273,23.5,25.9545454545,24.8939393939,24.3787878788,24.1212121212,24.2878787879,25.7424242424,24.0303030303,24.3181818182,22.6060606061,22.7727272727,29.9696969697,30.3181818182,31.4848484848,31.5303030303,29.9545454545,29.5606060606,22.3939393939,22.6212121212,23.0,22.303030303,22.4090909091,22.5151515152,21.6666666667,22.3939393939,22.7727272727,22.1666666667,23.2575757576,22.1212121212,22.3939393939,22.7272727273,21.8939393939,22.4696969697,21.9242424242,23.8484848485,22.6515151515,29.6060606061,29.7878787879,28.6515151515,28.2272727273,26.8484848485,25.7575757576,25.3484848485,24.0454545455,24.7121212121,24.0757575758,24.9393939394,27.8181818182,23.8787878788,24.6060606061,23.5757575758,23.4696969697,21.0757575758,21.6515151515,20.7878787879,21.5606060606,21.6363636364,20.4848484848,20.2121212121,20.7121212121,20.6212121212,21.303030303,20.5303030303,21.4545454545,20.196969697,22.7121212121,22.5454545455,21.3333333333,21.3181818182,22.0303030303,20.9090909091,20.5303030303,21.8484848485,21.7121212121,20.8484848485,20.3636363636,22.5454545455,22.4242424242,22.3333333333,21.5606060606,21.1363636364,21.2878787879,20.8333333333,20.6666666667,20.3939393939,21.3484848485,21.0151515152,21.3636363636,21.0454545455,20.2272727273,20.5454545455,20.0,20.2424242424,20.4393939394,20.3484848485,20.7424242424,19.9696969697,20.6818181818,20.6363636364,20.0454545455,21.4545454545,21.8333333333,22.0454545455,21.5,20.7878787879,20.7121212121,21.3939393939
42.5454545455,38.7575757576,39.2424242424,39.5909090909,34.9090909091,32.6515151515,36.1060606061,32.6212121212,36.3181818182,33.7121212121,30.1060606061,36.6212121212,31.3636363636,30.0454545455,29.6515151515,28.5606060606,35.5454545455,26.9545454545,31.0909090909,25.7727272727,26.696969697,25.5757575758,25.1818181818,31.3939393939,28.2121212121,27.6363636364,31.6363636364,32.3787878788,29.4393939394,26.9090909091,24.3333333333,25.8333333333,25.7272727273,26.0757575758,24.7878787879,24.4090909091,23.803030303,26.5151515152,27.0606060606,24.4696969697,29.7272727273,33.6666666667,28.9090909091,27.8181818182,24.0,25.3484848485,24.5,23.8333333333,25.4242424242,25.1818181818,24.8787878788,23.4696969697,25.8636363636,24.9393939394,24.3333333333,23.8787878788,24.1363636364,25.803030303,23.8939393939,24.2727272727,22.9090909091,22.7727272727,29.9393939394,30.4393939394,31.5757575758,29.9393939394,29.9848484848,28.8939393939,22.3787878788,22.4545454545,23.1363636364,22.3181818182,22.3181818182,22.3181818182,21.9090909091,22.5151515152,22.1212121212,22.1818181818,22.8333333333,21.8787878788,21.5909090909,21.8333333333,21.9545454545,22.9090909091,21.8333333333,23.9848484848,22.803030303,29.7878787879,29.3636363636,28.696969697,28.0909090909,26.0,25.7727272727,25.2121212121,24.2878787879,24.5757575758,24.0,24.9545454545,26.9090909091,25.3939393939,24.3787878788,24.0151515152,24.5454545455,21.1060606061,21.6515151515,20.8939393939,21.6212121212,21.9242424242,20.4848484848,20.1363636364,20.5303030303,20.5909090909,21.2272727273,20.2424242424,21.0454545455,20.0606060606,22.6818181818,22.6363636364,21.5,21.2424242424,22.3181818182,20.8333333333,20.7121212121,22.0,21.7272727273,21.2121212121,20.3333333333,22.5,22.4393939394,23.1363636364,21.3787878788,21.1363636364,21.2575757576,20.803030303,20.6060606061,19.9696969697,21.3484848485,21.2272727273,21.5606060606,20.9696969697,20.4242424242,20.6212121212,20.0303030303,20.0757575758,20.3484848485,19.9393939394,20.9545454545,20.0303030303,20.3636363636,20.3939393939,19.696969697,21.7121212121,22.2424242424,22.1666666667,21.6212121212,20.9393939394,20.5454545455,21.2121212121
41.7575757576,39.303030303,39.5757575758,41.7575757576,34.2272727273,32.4696969697,36.1818181818,32.696969697,36.5909090909,33.8939393939,29.9696969697,37.7424242424,31.9242424242,30.2727272727,29.3636363636,28.1212121212,34.5151515152,27.0757575758,31.1212121212,25.6212121212,25.8636363636,25.6212121212,25.7272727273,32.4848484848,28.5151515152,27.2424242424,31.5151515152,32.9090909091,29.4848484848,26.9242424242,24.7121212121,25.5151515152,26.1666666667,26.3484848485,24.9393939394,24.2878787879,23.9242424242,26.4545454545,26.9545454545,24.5303030303,29.9848484848,32.7121212121,28.803030303,28.4090909091,24.8333333333,25.1818181818,24.4393939394,24.1060606061,25.4848484848,25.2121212121,24.8939393939,23.3636363636,26.0909090909,24.9696969697,24.1666666667,24.3484848485,24.5,25.6060606061,23.7424242424,24.3484848485,23.196969697,22.8636363636,29.3787878788,30.2727272727,31.7575757576,30.9848484848,30.0757575758,27.1363636364,22.5,22.5606060606,22.8636363636,22.4090909091,22.2575757576,22.6363636364,21.5606060606,22.4393939394,21.5151515152,22.2424242424,23.0,22.0909090909,22.2878787879,22.2424242424,21.9090909091,22.7878787879,21.6212121212,23.7272727273,22.7424242424,29.4848484848,29.3484848485,28.7272727273,28.4393939394,26.5151515152,25.7878787879,25.0606060606,24.6060606061,24.4393939394,24.3181818182,25.3333333333,26.4696969697,25.5454545455,23.6666666667,24.2727272727,23.6666666667,21.0303030303,21.7121212121,20.7878787879,22.0757575758,21.4545454545,20.6212121212,20.6818181818,20.5303030303,20.6818181818,21.2575757576,20.3181818182,21.1666666667,19.5454545455,22.9393939394,22.6212121212,21.4545454545,21.3484848485,21.5757575758,20.7575757576,20.5757575758,21.9242424242,21.6666666667,20.7272727273,20.5,22.5757575758,22.2121212121,22.1363636364,21.5303030303,21.1818181818,21.3484848485,20.8939393939,20.5303030303,20.3636363636,21.2272727273,21.3939393939,20.9545454545,20.6212121212,20.4696969697,20.1818181818,19.9848484848,19.9090909091,20.1212121212,20.2424242424,20.5303030303,20.1212121212,20.5454545455,20.5454545455,20.0,21.6212121212,21.696969697,22.0909090909,21.5757575758,21.0909090909,20.4393939394,21.0
42.1666666667,39.2424242424,39.1818181818,40.8636363636,34.6666666667,32.3484848485,35.9696969697,32.7121212121,36.3181818182,33.7121212121,29.7575757576,36.6212121212,31.303030303,30.3939393939,29.4393939394,28.6363636364,34.6818181818,27.2878787879,31.4090909091,25.8484848485,25.7121212121,25.6515151515,24.5151515152,32.7575757576,28.6515151515,27.2727272727,31.4696969697,32.5,29.3787878788,26.5303030303,25.0151515152,25.6515151515,25.7878787879,26.0757575758,24.7878787879,24.1363636364,24.1212121212,26.1818181818,26.7878787879,24.4848484848,30.0151515152,32.4242424242,29.0909090909,28.2575757576,24.8636363636,25.0151515152,24.6515151515,24.2575757576,25.8333333333,25.1363636364,24.7575757576,23.2575757576,26.2424242424,24.5757575758,24.5909090909,24.7121212121,24.2272727273,25.5909090909,23.696969697,24.4545454545,23.6363636364,23.1060606061,29.4393939394,30.6818181818,31.4848484848,31.1666666667,30.0303030303,27.5909090909,22.4090909091,22.696969697,22.1818181818,22.4242424242,22.4696969697,22.5909090909,21.6363636364,22.7727272727,21.6666666667,22.0606060606,22.5757575758,22.0,22.6060606061,22.3636363636,22.3636363636,22.803030303,21.8333333333,23.7727272727,22.7121212121,30.4393939394,31.0151515152,28.6212121212,28.1060606061,26.2121212121,25.8181818182,24.8484848485,24.7121212121,24.3484848485,24.0303030303,24.8939393939,25.196969697,25.3484848485,23.8484848485,23.8939393939,24.0454545455,21.0,21.8181818182,20.7727272727,22.0606060606,21.0,20.5303030303,20.7575757576,20.5303030303,20.6060606061,20.8939393939,20.1666666667,21.1818181818,19.8484848485,22.6666666667,22.5454545455,21.5606060606,21.5757575758,21.6363636364,20.7272727273,20.8181818182,21.803030303,21.8484848485,20.6818181818,20.4848484848,22.4848484848,22.4696969697,22.1818181818,21.4242424242,21.1515151515,21.3333333333,20.7878787879,20.5303030303,20.0151515152,21.3181818182,20.8939393939,20.9242424242,20.8939393939,20.3484848485,20.5303030303,19.9848484848,20.0151515152,20.1363636364,20.1363636364,20.696969697,20.1212121212,20.696969697,20.4696969697,20.0151515152,21.9848484848,22.3787878788,22.0909090909,21.5303030303,20.7121212121,20.7575757576,21.4545454545
40.8484848485,38.696969697,38.4545454545,41.2272727273,34.5303030303,32.4393939394,36.0303030303,32.6060606061,36.6212121212,33.696969697,30.3636363636,37.0606060606,31.696969697,29.6212121212,29.4242424242,29.5757575758,34.3787878788,27.3787878788,30.9545454545,25.8939393939,25.6060606061,26.1363636364,24.5,32.4090909091,29.0454545455,27.6515151515,31.6666666667,32.8939393939,29.9090909091,26.2727272727,25.0454545455,25.7272727273,24.5151515152,25.9848484848,24.8939393939,24.2121212121,24.3484848485,26.2727272727,26.8787878788,24.803030303,29.7727272727,32.9393939394,28.8636363636,28.6666666667,25.196969697,25.0454545455,24.4242424242,24.2727272727,25.1666666667,25.0454545455,25.0454545455,23.4545454545,26.2424242424,24.2272727273,24.6515151515,24.7272727273,24.2121212121,25.3181818182,23.6363636364,24.6666666667,23.8181818182,23.2121212121,29.1666666667,30.8636363636,31.5303030303,30.1060606061,30.3787878788,27.3787878788,22.6818181818,22.8636363636,22.6666666667,22.4696969697,22.7575757576,22.7727272727,21.7575757576,22.8333333333,21.5606060606,22.3787878788,22.8181818182,22.1212121212,22.7727272727,22.5909090909,22.4393939394,22.9848484848,22.3484848485,23.8333333333,22.696969697,29.8939393939,30.5909090909,28.5303030303,28.0,26.5303030303,25.7272727273,24.8939393939,24.696969697,24.3333333333,24.2575757576,25.0909090909,26.0,24.0909090909,24.0,24.196969697,24.6060606061,21.0151515152,21.9242424242,20.8181818182,21.9545454545,20.7424242424,20.2575757576,20.9242424242,20.3787878788,20.6212121212,21.4090909091,20.2575757576,20.8333333333,19.8484848485,22.8484848485,22.5151515152,21.5606060606,21.4242424242,21.3484848485,20.9848484848,21.0606060606,21.8939393939,21.8939393939,21.0757575758,20.6818181818,22.4848484848,22.3787878788,22.9393939394,21.2878787879,21.0,20.9090909091,20.8333333333,20.4242424242,20.1666666667,21.2121212121,20.9242424242,21.0454545455,20.8939393939,20.1666666667,20.5909090909,20.0757575758,20.0,20.1212121212,20.196969697,20.4242424242,19.8939393939,20.4848484848,20.4090909091,20.0757575758,21.9090909091,22.3484848485,22.0303030303,21.803030303,21.0,20.696969697,20.9696969697
40.8181818182,38.8636363636,39.1363636364,41.5303030303,34.7121212121,31.5606060606,36.0606060606,32.2878787879,36.2272727273,33.3636363636,30.2727272727,35.9090909091,32.3333333333,28.8484848485,29.5909090909,30.0303030303,34.803030303,27.7878787879,30.7575757576,26.1212121212,25.4090909091,25.0303030303,25.7121212121,31.7878787879,29.1060606061,28.1818181818,31.0757575758,32.6212121212,29.5757575758,26.4545454545,25.2424242424,26.0606060606,24.8333333333,25.8484848485,25.1818181818,23.9545454545,24.6515151515,26.1818181818,27.2272727273,24.8181818182,29.3181818182,32.0454545455,29.3333333333,27.803030303,24.8939393939,24.9393939394,24.6666666667,24.2727272727,25.1515151515,24.9545454545,25.196969697,23.696969697,26.7575757576,25.5151515152,24.9696969697,24.7878787879,24.2272727273,25.0606060606,23.9242424242,24.6212121212,23.8939393939,23.4090909091,28.8181818182,31.0151515152,31.4696969697,30.7727272727,28.9393939394,27.6666666667,22.7727272727,22.8636363636,22.5909090909,22.4090909091,22.8333333333,22.9242424242,21.7878787879,22.9242424242,21.4848484848,22.5606060606,22.9696969697,22.3787878788,22.7878787879,22.8939393939,22.6212121212,23.6363636364,22.3939393939,23.4545454545,22.9545454545,30.5303030303,30.0909090909,28.5303030303,27.9848484848,26.4242424242,25.7878787879,24.9242424242,24.7121212121,24.2878787879,24.0151515152,25.1818181818,25.8939393939,24.0151515152,24.8181818182,23.6818181818,24.6818181818,21.1212121212,21.7272727273,20.7727272727,20.7272727273,20.8636363636,20.4393939394,21.0303030303,20.5606060606,20.8484848485,21.0151515152,19.9393939394,21.2424242424,19.7121212121,22.8333333333,22.4242424242,21.5757575758,21.303030303,21.3787878788,20.8484848485,20.7272727273,21.8181818182,21.8636363636,21.1060606061,20.4696969697,22.5,22.3636363636,22.9393939394,21.1212121212,21.1060606061,20.8181818182,20.7727272727,20.9242424242,20.2424242424,21.1212121212,21.2575757576,21.1363636364,20.7121212121,20.3333333333,20.7272727273,20.0454545455,20.3636363636,20.2121212121,20.1363636364,20.4848484848,20.0757575758,20.3636363636,20.4242424242,20.1818181818,21.9696969697,21.9242424242,22.0606060606,21.7727272727,20.6818181818,20.696969697,21.0151515152
41.5757575758,38.2575757576,38.7424242424,41.3787878788,34.4545454545,31.3484848485,35.9696969697,32.4393939394,36.7272727273,34.4545454545,30.7575757576,36.0151515152,31.7121212121,29.803030303,30.0757575758,30.1666666667,34.2424242424,27.9242424242,30.7121212121,26.303030303,24.6212121212,24.3181818182,24.6515151515,31.7272727273,29.1060606061,28.2575757576,32.4848484848,33.3636363636,29.6363636364,26.7575757576,25.4848484848,25.6212121212,25.1212121212,25.7272727273,25.1666666667,23.7727272727,25.1060606061,25.303030303,27.0303030303,25.0151515152,29.803030303,33.1363636364,29.1212121212,28.0151515152,24.7272727273,24.8636363636,24.8939393939,24.2272727273,25.2424242424,24.3181818182,25.0454545455,23.8333333333,26.4848484848,25.5454545455,25.3787878788,24.6363636364,24.5151515152,25.1818181818,24.303030303,24.6212121212,23.8636363636,23.4848484848,29.4545454545,30.7878787879,31.2878787879,29.6060606061,27.5909090909,27.3333333333,22.8636363636,22.803030303,22.8181818182,22.4393939394,23.0606060606,23.1060606061,22.1060606061,23.2575757576,22.0757575758,22.3636363636,23.3484848485,22.4848484848,23.0,23.0757575758,23.0606060606,23.3181818182,22.4242424242,22.8636363636,22.8636363636,29.8484848485,30.6666666667,28.6060606061,28.5303030303,26.5757575758,25.7575757576,24.5757575758,24.8939393939,24.1515151515,24.303030303,24.9696969697,25.3181818182,24.8484848485,25.0909090909,23.7727272727,25.1060606061,20.9848484848,21.8787878788,20.7575757576,20.7878787879,20.5909090909,20.5303030303,21.1212121212,20.6818181818,20.4848484848,20.4848484848,20.0909090909,21.196969697,19.6212121212,22.6666666667,22.5151515152,21.9545454545,21.3333333333,21.6666666667,21.1666666667,20.7424242424,22.303030303,22.0,21.0606060606,20.4242424242,22.2878787879,22.303030303,22.2424242424,21.3939393939,20.8181818182,20.8181818182,20.7272727273,21.2121212121,20.3636363636,21.1212121212,20.8484848485,21.3181818182,20.9090909091,20.2878787879,20.5,20.0606060606,20.1363636364,20.0151515152,20.2272727273,20.5454545455,20.1363636364,20.4545454545,20.3181818182,20.0757575758,21.9545454545,22.4242424242,22.1515151515,21.696969697,20.7575757576,20.6212121212,20.696969697
38.9848484848,38.4393939394,38.8333333333,41.6212121212,34.9696969697,31.6515151515,35.6060606061,32.6212121212,35.5757575758,34.2424242424,30.3636363636,35.6515151515,31.6363636364,29.9848484848,29.9545454545,30.196969697,34.803030303,28.0303030303,30.5757575758,26.1363636364,24.4242424242,25.0151515152,25.0757575758,31.5,29.2424242424,28.4242424242,32.7121212121,32.3636363636,28.8484848485,26.9545454545,25.9696969697,25.7878787879,25.3939393939,25.7575757576,25.5606060606,23.8333333333,25.1212121212,24.6060606061,27.0,25.0606060606,29.6818181818,33.1212121212,29.0303030303,27.1818181818,25.3484848485,25.0606060606,24.7727272727,24.5,25.4242424242,25.0303030303,25.1666666667,24.1363636364,26.4545454545,25.5,25.4242424242,24.5454545455,24.803030303,25.3636363636,24.3484848485,24.2272727273,24.2121212121,23.1060606061,29.7878787879,31.0,31.4242424242,30.9545454545,27.6212121212,27.5151515152,23.1363636364,22.6818181818,23.0,22.4848484848,23.1818181818,23.0,22.4090909091,22.0757575758,22.2272727273,22.3484848485,23.0151515152,22.4242424242,22.1212121212,23.3181818182,22.9696969697,23.0606060606,22.6666666667,22.9242424242,23.0757575758,29.7878787879,32.1212121212,28.4848484848,29.7878787879,26.4696969697,25.7878787879,24.8181818182,24.8181818182,24.4545454545,24.3787878788,25.4090909091,25.6515151515,24.9696969697,24.696969697,23.7272727273,24.6060606061,21.0,21.7878787879,20.9848484848,20.5909090909,20.5,20.8484848485,20.8181818182,20.5,20.8333333333,20.8484848485,20.0757575758,21.0757575758,20.0454545455,22.8333333333,22.4090909091,21.6060606061,21.6515151515,20.9848484848,21.2424242424,20.5606060606,22.1212121212,21.7272727273,20.5454545455,20.8181818182,22.803030303,22.2272727273,22.0606060606,21.1818181818,21.4393939394,21.4848484848,20.7878787879,20.5909090909,20.1818181818,21.2121212121,20.9393939394,20.9848484848,20.6060606061,20.2424242424,20.6060606061,20.0151515152,20.1212121212,20.3181818182,20.2121212121,20.6515151515,20.0,20.4545454545,20.4393939394,20.1818181818,21.9848484848,22.4090909091,22.0909090909,21.8636363636,21.2121212121,20.8636363636,21.1666666667
37.2878787879,37.9696969697,39.0,40.9242424242,35.8636363636,31.7878787879,36.3787878788,32.696969697,35.196969697,33.2878787879,30.6363636364,36.3333333333,31.4696969697,29.803030303,29.9848484848,30.0757575758,34.0909090909,28.5151515152,30.3181818182,26.0303030303,24.1212121212,25.303030303,25.4545454545,31.1212121212,29.3333333333,28.4545454545,32.5757575758,33.4545454545,28.5303030303,27.0151515152,26.1212121212,26.5151515152,25.7575757576,25.9393939394,25.7424242424,23.8939393939,25.4090909091,24.3484848485,26.5454545455,25.7272727273,30.5909090909,33.0757575758,28.8181818182,26.5151515152,25.5757575758,25.4242424242,24.6515151515,24.5303030303,25.0909090909,24.2121212121,25.0303030303,24.3181818182,26.4090909091,25.2272727273,25.4545454545,24.7121212121,24.8939393939,25.3484848485,24.5606060606,24.4848484848,24.303030303,23.3181818182,29.9393939394,31.1818181818,31.3333333333,32.1060606061,27.3333333333,28.0454545455,23.2272727273,22.9696969697,22.5,22.3181818182,23.1515151515,23.1212121212,22.3787878788,21.6363636364,22.3181818182,22.3181818182,23.0606060606,22.5,22.0,23.5909090909,23.2121212121,22.9242424242,22.4545454545,23.1515151515,23.2121212121,29.3636363636,30.9242424242,28.2272727273,28.8484848485,26.2424242424,26.1515151515,24.9545454545,24.5606060606,24.5,24.2424242424,25.3939393939,24.8484848485,24.8939393939,25.6666666667,24.0303030303,25.1666666667,21.3181818182,21.3636363636,20.7121212121,20.803030303,20.9696969697,20.3484848485,20.4545454545,20.2424242424,20.8939393939,20.7727272727,20.0151515152,21.1363636364,20.0606060606,22.7878787879,22.3939393939,21.2121212121,21.5303030303,21.5,21.0757575758,20.3787878788,22.0909090909,22.1060606061,20.8787878788,20.5909090909,22.7121212121,22.4545454545,22.2727272727,21.1060606061,20.696969697,20.8636363636,20.9393939394,20.4242424242,20.3636363636,21.2727272727,20.6515151515,20.9545454545,20.8333333333,20.3484848485,20.5303030303,20.1666666667,20.5303030303,20.1515151515,20.196969697,20.7272727273,20.0303030303,20.3939393939,20.3636363636,20.3636363636,21.8484848485,22.2575757576,22.1818181818,21.9696969697,21.4242424242,20.9848484848,20.9242424242
